,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.3,54,0.61,413.41,Artifact,Weak,,,28,2.06,110.4,1.74,2601.12,Impurity,None,,
2,11.19,50.9,0.76,509.77,Artifact,Weak,,,29,2.03,97.2,28.07,38896.22,Compound,None,,
3,11.07,126.1,0.88,1278.74,Impurity,None,,,30,1.91,8280.2,0.87,90414.78,Compound,None,,
4,10.22,57.4,0.94,724.66,Artifact,Weak,,,31,1.84,102.5,24.53,36388.26,Compound,None,,
5,9.65,56,1.02,748.8,Artifact,Weak,,,32,1.75,253.6,1.58,4599.12,Compound,None,,
6,9.02,52.3,0.42,254.04,Artifact,Weak,,,33,1.74,52.1,0.91,692.35,Artifact,Weak,,
7,8.13,610.9,2.2,17113.7,Compound,None,,,34,1.51,99,38.35,41919.25,Compound,None,,
8,7.95,59,0.76,636.87,Artifact,Weak,,,35,1.36,82.7,0.58,571.01,Impurity,Weak,,
9,7.09,657.2,29.51,252810.56,Compound,None,,,36,1.35,92.5,1.49,1854.55,Impurity,None,,
10,6.53,222.9,1.36,3712.15,Compound,None,,,37,1.33,55,0.64,492.2,Artifact,Weak,,
11,6.52,7007,1.22,105039.38,Compound,None,,,38,1.3,127.8,1.66,3096.26,Impurity,None,,
12,6.13,51,0.43,225.76,Artifact,Weak,,,39,1.26,107.3,1.13,1429.54,Compound,None,,
13,5.75,148.9,3.38,5458.33,Compound,None,,,40,1.25,715.3,46.8,482971.49,Compound,None,,
14,5.44,67.3,8,5142.88,Compound,None,,,41,1.23,2614.7,3.64,137650.01,Compound,None,,
15,4.97,211,285.72,835667.16,Compound,None,,,42,1.21,55.7,1.97,1596.8,Artifact,Weak,,
16,4.36,306.6,1.5,6186.84,Compound,None,,,43,1.16,57.6,0.61,339.15,Artifact,Weak,,
17,4.35,747.6,1.64,14900.12,Compound,None,,,44,1.16,82.4,7.89,8129.31,Compound,None,,
18,4.34,444.2,1.82,10146.32,Compound,None,,,45,1.14,491,3.57,20688.96,Compound,None,,
19,4.31,66.9,2.89,2757.32,Impurity,Weak,,,46,1.13,71.1,2.23,2146.21,Compound,Weak,,
20,2.2,95,2.8,3873.4,Compound,None,,,47,1.12,92.7,1.22,1495.25,Compound,Weak,,
21,2.18,153.2,2.2,4910.95,Compound,None,,,48,1.12,106.7,4.17,4693.12,Compound,None,,
22,2.16,74.1,1.76,1665.79,Compound,None,,,49,1.11,1869.3,0.93,21682,Compound,None,,
23,2.13,188.4,0.72,1557.36,Impurity,None,,,50,1.07,1686.7,0.78,16510.87,Compound,None,,
24,2.12,173.7,0.62,1138.79,Impurity,None,,,51,1.05,3439.5,0.84,37261.19,Compound,None,,
25,2.08,511.2,0.85,5654.48,Compound,None,,,52,1.05,864.1,2.09,19701.6,Compound,None,,
26,2.07,109.3,0.8,1212.46,Compound,None,,,53,1.04,2508.7,1.34,47804.65,Compound,None,,
27,2.06,104,1.6,2385.56,Compound,None,,,54,1.04,1744.7,0.9,19834.68,Compound,None,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,55,1.03,1060.7,1.95,24418.58,Compound,None,,
,,,,,,,,,56,1.03,2337.3,1.31,43118.37,Compound,None,,
,,,,,,,,,57,1.02,230.8,3.46,10036.56,Compound,None,,
,,,,,,,,,58,1,184.3,4.42,11704.79,Compound,None,,
,,,,,,,,,59,0.98,129.3,1.1,1935.8,Compound,None,,
,,,,,,,,,60,0.97,52,0.76,504.5,Artifact,Weak,,
,,,,,,,,,61,0.87,440.4,8.96,56129.15,Compound,None,,
,,,,,,,,,62,0.86,717.3,2.59,25104,Compound,None,,
,,,,,,,,,63,0.85,703.1,2,19032.41,Compound,None,,
,,,,,,,,,64,0.85,776.1,2.77,26469.86,Compound,None,,
,,,,,,,,,65,0.85,813.8,2.8,29869.48,Compound,None,,
,,,,,,,,,66,0.84,995.6,3.71,48845.24,Compound,None,,
,,,,,,,,,67,0.83,525,6,45908.19,Compound,None,,
,,,,,,,,,68,0.82,370,4.43,23211.63,Compound,None,,
,,,,,,,,,69,0.81,155,2.51,5635.33,Compound,None,,
,,,,,,,,,70,0.8,504.4,14.62,107424.58,Compound,None,,
,,,,,,,,,71,0.79,124.1,0.82,1330.16,Compound,None,,
,,,,,,,,,72,0.78,195.3,1.63,4630.18,Compound,None,,
,,,,,,,,,73,0.76,201.1,3.41,9829.72,Compound,None,,
,,,,,,,,,74,0.74,181.1,2.24,5916.35,Compound,None,,
,,,,,,,,,75,0.73,177.3,1.19,2706.22,Compound,None,,
,,,,,,,,,76,0.71,102.6,2.36,2530.38,Impurity,None,,
,,,,,,,,,77,0.68,56.8,0.56,333.66,Artifact,Weak,,
,,,,,,,,,78,0.07,147,1.77,2980.07,CS Reference,None,,
,,,,,,,,,79,-0.06,81.4,1.16,1283.63,Impurity,Weak,,
,,,,,,,,,80,-1.5,48.3,0.72,507.48,Artifact,Weak,,
