,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
14,6.27,0,2.25,0.16,Artifact,Weak,,,43,4.73,0.2,2.21,5.44,Compound,None,,,72,4.27,0.1,2.1,1.6,Compound,None,,,101,3.54,0.2,5.68,12.98,Compound,None,,,130,3.13,0.1,3.5,4.67,Compound,None,,,159,2.66,0.3,1.59,5.7,Solvent,Weak + C13_Sat,,,188,1.81,0,1.25,0.15,Impurity,Weak,,,217,0.99,0,0.97,0.19,Impurity,Weak,,
15,6.2,0.1,2.12,2.06,Compound,None,,,44,4.67,0,1.12,0.11,Impurity,Weak,,,73,4.26,0.1,1.79,1.42,Compound,None,,,102,3.53,0.1,2.51,3.24,Compound,None,,,131,3.12,0.1,2.03,1.2,Artifact,Weak,,,160,2.66,0.1,1.34,1.85,Solvent,Weak + C13_Sat,,,189,1.77,0,2.57,0.56,Impurity,None,,,218,0.89,0,2.43,0.31,Impurity,Weak,,
16,6.18,0.1,2.32,2.6,Compound,None,,,45,4.61,0.1,2.14,2.3,Compound,None,,,74,4.25,0.1,1.83,1.57,Compound,None,,,103,3.53,0,2.31,1.22,Compound,None,,,132,3.11,0.1,2.93,3.31,Compound,None,,,161,2.65,0,1.45,0.11,Artifact,Weak,,,190,1.75,0,1.93,0.17,Impurity,Weak,,,219,0.86,0.1,27.32,26.5,Compound,None,,
17,6.13,0,1.95,0.25,Impurity,Weak,,,46,4.6,0.1,2.1,2.48,Compound,None,,,75,4.21,0,2.84,0.29,Artifact,Weak,,,104,3.52,0.1,1.98,1.38,Artifact,Weak,,,133,3.1,0.1,3.21,3.48,Compound,None,,,162,2.56,0,0.74,0.04,Artifact,Weak,,,191,1.51,0,24.35,5.21,Compound,None,,,220,0.85,0,2.19,0.25,Compound,None,,
18,6.12,0,2.36,0.18,Impurity,Weak,,,47,4.58,0.2,1.83,4.37,Compound,None,,,76,4.2,0,2.78,0.17,Artifact,Weak,,,105,3.51,0.3,2.39,7.28,Compound,None,,,134,3.1,0.1,3.72,2.96,Compound,None,,,163,2.52,0.2,1.01,2.46,Solvent,Weak,,,192,1.35,0.1,1.9,1.55,Compound,None,,,221,0.85,0,2.14,0.41,Compound,None,,
19,5.42,0,6.09,0.64,Artifact,Weak,,,48,4.57,0.2,2.08,5.03,Compound,None,,,77,4.18,0,0.91,0.07,Artifact,Weak,,,106,3.5,0,2.66,1.38,Artifact,Weak,,,135,3.08,0.1,2.08,1.32,Compound,None,,,164,2.51,22.1,1.41,369.64,Solvent,None,,,193,1.26,0.1,173.79,127.02,Compound,None,,,222,0.84,0,2.7,0.47,Impurity,None,,
20,5.22,0,4.23,0.39,Artifact,Weak,,,49,4.55,0,1.73,0.45,Compound,None,,,78,4.13,0,2.52,1.67,Compound,None,,,107,3.48,0.1,160.55,303.49,Compound,None,,,136,3.08,0.1,3.01,1.71,Compound,None,,,165,2.5,58,1.65,1276.43,Solvent,None,,,194,1.26,0,3.45,1.03,Compound,None,,,223,0.75,0,1.59,0.13,Artifact,Weak,,
21,5.11,0,2.9,0.33,Impurity,Weak,,,50,4.54,0,1.35,0.18,Impurity,Weak,,,79,4.11,0,2.46,1.44,Compound,None,,,108,3.48,0.1,4.32,4.72,Artifact,Weak,,,137,3.06,0,1.9,1.23,Compound,None,,,166,2.5,81.7,1.63,1709.07,Solvent,None,,,195,1.24,0.1,4.49,8.24,Compound,None,,,224,0.08,0.1,0.96,0.69,Impurity,None,,
22,5.1,0,3.8,0.65,Compound,None,,,51,4.5,0,1.77,0.15,Artifact,Weak,,,80,3.97,0,2.44,0.16,Artifact,Weak,,,109,3.47,0.1,2.32,2.99,Artifact,Weak,,,138,3.05,0,1.35,0.51,Compound,None,,,167,2.5,54.2,1.48,981.64,Solvent,None,,,196,1.23,0.1,2.91,4.66,Compound,None,,,225,0.07,0,1.83,0.46,Impurity,None,,
23,5.09,0,1.07,0.08,Artifact,Weak,,,52,4.49,0,2.69,0.37,Impurity,Weak,,,81,3.95,0,12.43,3.87,Compound,None,,,110,3.45,0.1,3.39,2.85,Artifact,Weak,,,139,3.05,0,2.29,1.3,Compound,None,,,168,2.49,22.4,1.52,367.98,Solvent,None,,,197,1.22,0,6.65,0.62,Compound,Weak,,,226,-2.78,0,0.47,0.03,Artifact,Weak,,
24,5.08,0,7.35,1.05,Compound,None,,,53,4.48,0.1,2.08,1.33,Compound,None,,,82,3.8,0,1.23,0.11,Impurity,Weak,,,111,3.44,0,2.75,1.48,Artifact,Weak,,,140,3.04,0.1,2.42,2.49,Compound,None,,,169,2.34,0.1,1.32,2.01,Solvent,Weak + C13_Sat,,,198,1.19,0,1.71,0.18,Impurity,Weak,,,,,,,,,,,
25,4.94,0,2.18,0.25,Impurity,Weak,,,54,4.46,0.1,2.38,2.93,Compound,None,,,83,3.68,0,1.43,0.33,Compound,None,,,112,3.44,0.1,2.03,1.67,Artifact,Weak,,,141,3.03,0.1,4.24,3.5,Compound,None,,,170,2.33,0.3,1.63,6.4,Solvent,Weak + C13_Sat,,,199,1.15,0.1,3.92,2.65,Compound,None,,,,,,,,,,,
26,4.93,0,1.59,0.14,Artifact,Weak,,,55,4.45,0,1.88,0.46,Impurity,None,,,84,3.68,0,2.09,0.48,Compound,None,,,113,3.43,0,1.59,0.36,Artifact,Weak,,,142,3.02,0,1.46,0.25,Compound,Weak,,,171,2.33,0.4,1.62,9.47,Solvent,Weak + C13_Sat,,,200,1.13,0,2.85,0.46,Compound,None,,,,,,,,,,,
27,4.91,0,0.94,0.08,Impurity,Weak,,,56,4.45,0.1,2.09,1.37,Compound,None,,,85,3.67,0,2.2,1.05,Compound,None,,,114,3.42,0.1,5.38,9,Artifact,Weak,,,143,3.01,0,1.61,0.52,Compound,None,,,172,2.32,0.3,1.57,6.07,Solvent,Weak + C13_Sat,,,201,1.12,0,2.01,0.51,Compound,None,,,,,,,,,,,
28,4.91,0.1,2.16,1.42,Compound,None,,,57,4.44,0,1.06,0.2,Impurity,Weak,,,86,3.66,0.1,2.9,2.39,Compound,None,,,115,3.4,0.1,3.58,2.92,Artifact,Weak,,,144,2.94,0,2.65,0.25,Artifact,Weak,,,173,2.32,0.1,1.33,1.75,Solvent,Weak + C13_Sat,,,202,1.11,0,2.73,0.79,Compound,None,,,,,,,,,,,
29,4.9,0.1,2.64,3.01,Compound,None,,,58,4.44,0.1,2.05,2.38,Compound,None,,,87,3.65,0,1.69,0.35,Compound,None,,,116,3.39,0.1,2.55,1.87,Artifact,Weak,,,145,2.94,0,1.5,0.16,Impurity,Weak,,,174,2.29,0,3.06,0.53,Impurity,None,,,203,1.09,0.1,1.52,2.85,Compound,None,,,,,,,,,,,
