,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.16,0,0.7,0.05,Artifact,Weak,,,29,3.45,0,2.55,0.66,Artifact,Weak,,,57,2.34,0.1,1.42,2.3,Solvent,Weak + C13_Sat,,,85,1.47,0,1.13,0.11,Compound,None,,,113,1,0,2.62,0.91,Compound,None,,
2,11.72,0,0.65,0.06,Impurity,Weak,,,30,3.44,0,2.87,0.66,Artifact,Weak,,,58,2.33,0.3,1.44,5.25,Solvent,Weak + C13_Sat,,,86,1.36,0,1.72,0.17,Impurity,Weak,,,114,0.99,0,1.21,0.15,Compound,Weak,,
3,11.07,0,0.95,0.13,Impurity,None,,,31,3.44,0,4.15,1.16,Artifact,Weak,,,59,2.33,0.4,1.71,9.59,Solvent,Weak + C13_Sat,,,87,1.34,0,2.62,0.2,Compound,None,,,115,0.89,0,1.64,0.1,Artifact,Weak,,
4,10.2,0,1.16,0.24,Impurity,None,,,32,3.44,0,1.87,0.56,Artifact,Weak,,,60,2.32,0.3,1.46,5.33,Solvent,Weak + C13_Sat,,,88,1.32,0,3.22,0.66,Compound,None,,,116,0.89,0,2.66,0.45,Compound,None,,
5,8.13,0,2.52,0.33,Compound,None,,,33,3.42,0,2.69,1.73,Artifact,Weak,,,61,2.32,0.1,1.35,1.93,Solvent,Weak + C13_Sat,,,89,1.3,0,1.91,0.52,Compound,None,,,117,0.87,0,6.14,1.83,Compound,None,,
6,7.22,0.2,9.56,29.23,Compound,None,,,34,3.42,0,3.09,1.83,Artifact,Weak,,,62,2.28,0,3.04,0.28,Impurity,Weak,,,90,1.3,0,2.01,0.33,Compound,None,,,118,0.86,0,3.16,1.75,Compound,None,,
7,7.1,0.2,9.98,32.23,Compound,None,,,35,3.41,0,5.17,1.81,Artifact,Weak,,,63,2.23,0,1.93,1.11,Compound,None,,,91,1.26,0.1,21.2,17.91,Compound,None,,,119,0.86,0.1,1.53,1.14,Compound,None,,
8,7.02,0,19.78,1.06,Artifact,Weak,,,36,3.41,0,3.37,1.04,Artifact,Weak,,,64,2.22,0,1.82,0.16,Compound,Weak,,,92,1.24,0.1,4.83,7.26,Compound,None,,,120,0.85,0,2.39,1.47,Compound,None,,
9,6.97,0.2,9.6,27.95,Compound,None,,,37,3.39,0,15.89,2.77,Artifact,Weak,,,65,2.21,0.1,1.83,2.02,Compound,None,,,93,1.23,0.2,3.68,11.39,Compound,None,,,121,0.85,0,2.77,1.5,Compound,None,,
10,6.79,0,1.1,0.08,Impurity,Weak,,,38,3.17,0,0.81,0.07,Artifact,Weak,,,66,2.2,0,3.64,0.39,Compound,None,,,94,1.21,0,7.35,0.44,Artifact,Weak,,,122,0.84,0.1,3.29,2.71,Compound,None,,
11,6.53,0,1.11,0.07,Artifact,Weak,,,39,3.16,0,2.25,0.28,Artifact,Weak,,,67,2.19,0,1.82,1.03,Compound,None,,,95,1.18,0.1,1.48,1.01,Compound,None,,,123,0.83,0,4.18,1.6,Compound,None,,
