,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.07,0,0.6,0.05,Artifact,Weak,,,29,5,0,6.1,1.14,Compound,None,,,57,4.46,0.2,2.81,8.09,Compound,None,,,85,3.68,0,2.07,1.01,Compound,None,,,113,3.44,0.1,2.81,3.58,Artifact,Weak,,,141,3.05,0.1,1.83,1.92,Artifact,Weak,,,169,2.49,20.2,1.61,386.7,Solvent,None,,,197,1.48,0,1.84,0.15,Artifact,Weak,,
2,11.72,0,1.96,0.16,Artifact,Weak,,,30,4.94,0,1.75,0.11,Artifact,Weak,,,58,4.45,0.1,3.46,5.82,Compound,None,,,86,3.68,0.1,2.58,2.01,Compound,None,,,114,3.43,0.1,2.49,2.16,Artifact,Weak,,,142,3.05,0.1,2.58,4.13,Compound,None,,,170,2.42,0,1.85,0.22,Artifact,Weak,,,198,1.25,0.1,14.31,16.18,Compound,None,,
3,10.2,0.1,2.06,2.55,Compound,None,,,31,4.93,0,1.63,0.15,Artifact,Weak,,,59,4.44,0.2,2.57,6.36,Compound,None,,,87,3.67,0.1,3.05,3.55,Compound,None,,,115,3.42,0.2,2.96,7.81,Artifact,Weak,,,143,3.04,0.2,3.24,10.47,Compound,None,,,171,2.34,0.1,1.91,2.9,Solvent,Weak + C13_Sat,,,199,1.24,0.3,5.08,20.47,Compound,None,,
4,8.14,0,3.64,0.29,Impurity,Weak,,,32,4.91,0.2,2.52,5.05,Compound,None,,,60,4.42,0.2,2.57,6.75,Compound,None,,,88,3.66,0.1,2.49,3.02,Artifact,Weak,,,116,3.42,0.3,2.79,9.59,Artifact,Weak,,,144,3.03,0.1,3.21,5.57,Compound,None,,,172,2.33,0.2,1.85,5.97,Solvent,Weak + C13_Sat,,,200,1.23,0.1,3.11,4.25,Compound,None,,
5,8.05,0,1.53,0.21,Impurity,Weak,,,33,4.9,0.3,3.04,10.51,Compound,None,,,61,4.4,0.1,3.05,3.69,Compound,None,,,89,3.65,0.1,6.36,11.86,Compound,None,,,117,3.41,0.2,2.73,5.84,Artifact,Weak,,,145,3.02,0.1,9.3,8.18,Artifact,Weak,,,173,2.33,0.4,2.09,11.92,Solvent,Weak + C13_Sat,,,201,1.22,0,2.06,0.29,Compound,Weak,,
6,7.69,0,3.17,0.41,Impurity,Weak,,,34,4.89,0.2,2.1,3.97,Compound,None,,,62,4.39,0.1,2.85,3.85,Compound,None,,,90,3.64,0.1,2.9,4.12,Compound,None,,,118,3.4,0.2,2.62,6.82,Artifact,Weak,,,146,3.01,0.1,2.19,1.79,Artifact,Weak,,,174,2.32,0.2,1.85,6.1,Solvent,Weak + C13_Sat,,,202,1.19,0,1.15,0.1,Artifact,Weak,,
7,7.09,0.2,75.46,154.65,Compound,None,,,35,4.88,0.3,2.58,8.81,Compound,None,,,63,4.38,0,2.09,0.39,Compound,None,,,91,3.63,0.1,3.73,5.38,Compound,None,,,119,3.39,0.2,2.95,5.17,Artifact,Weak,,,147,3,0.1,3.39,2.98,Artifact,Weak,,,175,2.32,0.1,1.7,2.02,Solvent,Weak + C13_Sat,,,203,1.16,0,1.91,0.19,Compound,Weak,,
8,6.57,0.3,2.07,7.93,Compound,None,,,36,4.87,0.3,2.45,8.91,Compound,None,,,64,4.36,0.1,2.83,2.92,Compound,None,,,92,3.62,0,1.47,0.4,Artifact,Weak,,,120,3.37,0.1,1.99,1.72,Artifact,Weak,,,148,3,0,1.61,0.23,Artifact,Weak,,,176,2.3,0,1.85,0.34,Compound,Weak,,,204,1.14,0,4.58,2.6,Compound,None,,
9,6.55,0.3,2.2,9.42,Compound,None,,,37,4.86,0,13.89,6.2,Compound,None,,,65,4.34,0.2,3.88,10.36,Compound,None,,,93,3.61,0,1.48,0.49,Artifact,Weak,,,121,3.27,0.1,26.77,29.56,Artifact,Weak,,,149,2.99,0,2,0.44,Artifact,Weak,,,177,2.28,0.1,1.96,2.18,Compound,None,,,205,1.11,0,2.67,0.54,Impurity,Weak,,
10,6.54,0,2.81,0.83,Impurity,None,,,38,4.84,0,2.57,0.47,Compound,None,,,66,4.33,0.3,4.7,16.87,Compound,None,,,94,3.61,0,1.95,0.97,Artifact,Weak,,,122,3.26,0.1,2.64,2.25,Artifact,Weak,,,150,2.98,0,1.96,0.79,Artifact,Weak,,,178,2.26,0.2,2.06,4.36,Compound,None,,,206,1.11,0,1.48,0.74,Compound,None,,
11,6.52,0,2.09,0.57,Impurity,None,,,39,4.82,0.7,3,24.29,Compound,None,,,67,4.32,0.1,4.02,5.34,Compound,None,,,95,3.6,0,2.69,1.1,Artifact,Weak,,,123,3.25,0.1,3.15,3.24,Artifact,Weak,,,151,2.96,0,1.16,0.16,Impurity,Weak,,,179,2.25,0,2.73,0.44,Compound,None,,,207,1.09,0.3,1.71,7.33,Compound,None,,
12,6.48,0,1.48,0.13,Artifact,Weak,,,40,4.81,0.7,3.06,26.74,Compound,None,,,68,4.31,0.1,2.9,1.91,Compound,None,,,96,3.59,0,1.42,0.67,Artifact,Weak,,,124,3.24,0.1,2.58,2.6,Artifact,Weak,,,152,2.91,0.1,2.27,2,Compound,None,,,180,2.24,0.1,1.59,1.37,Compound,None,,,208,1.07,0.3,1.71,7,Compound,None,,
13,6.39,0,0.85,0.08,Artifact,Weak,,,41,4.75,0.4,3.52,17.11,Compound,None,,,69,4.3,0,1.79,0.46,Compound,None,,,97,3.59,0,2.06,0.72,Artifact,Weak,,,125,3.23,0.1,2.58,4.45,Artifact,Weak,,,153,2.9,0.1,2.55,2.62,Compound,None,,,181,2.23,0,2.48,0.66,Compound,None,,,209,1.04,1.3,4.24,66.27,Compound,None,,
14,6.2,0.2,2.41,6.45,Compound,None,,,42,4.75,0.2,2.32,4.99,Compound,None,,,70,4.28,0.1,1.83,2.92,Compound,None,,,98,3.58,0.1,2.08,2.48,Artifact,Weak,,,126,3.22,0,2.95,1.87,Artifact,Weak,,,154,2.89,0.1,3.09,3.61,Compound,None,,,182,2.22,0,1.12,0.19,Compound,Weak,,,210,1.03,1.2,3.96,54.57,Compound,None,,
15,6.18,0.3,2.79,9.65,Compound,None,,,43,4.74,0.4,3.5,19.51,Compound,None,,,71,4.26,0.2,3.37,7.69,Compound,None,,,99,3.57,0.1,3.48,3.11,Artifact,Weak,,,127,3.22,0.1,5.26,6.64,Artifact,Weak,,,155,2.87,0.1,3.95,6.52,Compound,None,,,183,2.21,0,3.43,1.28,Compound,None,,,211,1.02,0.1,3.57,5.45,Compound,None,,
16,6.13,0,2.48,0.39,Impurity,Weak,,,44,4.73,0.2,2.93,8.61,Compound,None,,,72,4.25,0.2,2.44,5.05,Compound,None,,,100,3.57,0.2,2.81,8.56,Compound,None,,,128,3.21,0.1,2.32,1.57,Artifact,Weak,,,156,2.86,0,2.32,1.51,Compound,None,,,184,2.21,0,0.82,0.12,Impurity,Weak,,,212,1.01,0,2.77,1.42,Compound,None,,
17,6.12,0,4.23,0.65,Impurity,None,,,45,4.72,0,8.63,4.47,Compound,None,,,73,4.22,0,10.08,1.55,Compound,None,,,101,3.56,0.2,2.58,5,Compound,None,,,129,3.18,0.1,241.11,185.79,Artifact,Weak,,,157,2.85,0.1,2.71,2.15,Compound,None,,,185,2.09,0,1.77,0.7,Impurity,None,,,213,1,0.1,2.37,3.25,Compound,None,,
18,5.82,0,1.84,0.13,Artifact,Weak,,,46,4.67,0,1.22,0.12,Artifact,Weak,,,74,4.2,0,1.89,0.22,Compound,Weak,,,102,3.54,0.2,5.58,16.81,Compound,None,,,130,3.16,0,2.2,1.12,Artifact,Weak,,,158,2.77,0,14.96,1.3,Compound,None,,,186,2.08,0,1.03,0.51,Impurity,None,,,214,0.99,0,1.31,0.29,Compound,Weak,,
19,5.78,0,5.91,1.14,Compound,None,,,47,4.66,0,6.22,1.16,Compound,None,,,75,4.13,0.1,3.37,4.38,Compound,None,,,103,3.53,0.1,2.33,4.4,Compound,None,,,131,3.15,0,2.01,1.15,Artifact,Weak,,,159,2.68,0.1,1.82,2.59,Solvent,Weak + C13_Sat,,,187,2.06,0,2.04,0.33,Impurity,Weak,,,215,0.97,0,0.83,0.06,Artifact,Weak,,
20,5.75,0,1.63,0.25,Impurity,Weak,,,48,4.64,0,5.79,1.38,Compound,None,,,76,4.11,0.1,3.27,4.42,Compound,None,,,104,3.53,0.1,3.07,4.3,Artifact,Weak,,,132,3.14,0.1,4.31,4.95,Artifact,Weak,,,160,2.67,0.3,1.85,6.29,Solvent,Weak + C13_Sat,,,188,2.04,0,1.68,0.2,Impurity,Weak,,,216,0.87,0.1,24.97,31.54,Compound,None,,
21,5.65,0,1.66,0.16,Artifact,Weak,,,49,4.63,0,3.41,0.45,Compound,Weak,,,77,4.06,0,6.84,0.55,Artifact,Weak,,,105,3.52,0.1,2.05,1.74,Artifact,Weak,,,133,3.13,0.2,3.44,7.5,Compound,None,,,161,2.67,0.4,2.09,10.77,Solvent,Weak + C13_Sat,,,189,1.91,0.1,1.42,2.58,Compound,None,,,217,0.87,0,4.07,0.55,Compound,None,,
22,5.63,0,1.21,0.17,Impurity,Weak,,,50,4.62,0.2,3.16,8.25,Compound,None,,,78,3.99,0,2.87,0.54,Compound,None,,,106,3.51,0,1.66,0.26,Artifact,Weak,,,134,3.12,0.1,2.33,2.97,Artifact,Weak,,,162,2.66,0.3,1.85,6.73,Solvent,Weak + C13_Sat,,,190,1.87,0,25.11,6.96,Compound,None,,,218,0.85,0.1,2.64,1.77,Compound,None,,
23,5.41,0,5.05,0.75,Impurity,Weak,,,51,4.6,0.2,3.06,8.45,Compound,None,,,79,3.97,0,2.23,0.92,Compound,None,,,107,3.49,0.1,4.15,5.19,Artifact,Weak,,,135,3.11,0.2,3.27,8.73,Compound,None,,,163,2.66,0.1,1.5,1.85,Solvent,Weak + C13_Sat,,,191,1.84,0,11.41,3.5,Compound,None,,,219,0.85,0,2.39,0.38,Compound,None,,
24,5.32,0,10.31,2.16,Compound,None,,,52,4.58,0.2,2.57,7.43,Compound,None,,,80,3.96,0,6,2.69,Compound,None,,,108,3.48,0,2.14,1.31,Artifact,Weak,,,136,3.1,0.2,3.69,8.14,Compound,None,,,164,2.52,0.4,13.66,83.19,Artifact,Weak,,,192,1.82,0,2.97,1.07,Compound,None,,,220,0.84,0,4.06,1.38,Compound,None,,
25,5.22,0,2.4,0.42,Compound,None,,,53,4.57,0.2,2.57,8.29,Compound,None,,,81,3.94,0,3.87,0.51,Compound,None,,,109,3.48,0.2,5.63,11.84,Artifact,Weak,,,137,3.1,0.1,3.32,5.55,Artifact,Weak,,,165,2.51,19.7,1.7,423.9,Solvent,None,,,193,1.81,0,4.07,1.01,Compound,None,,,221,0.74,0,1.24,0.18,Impurity,Weak,,
26,5.21,0,5.5,0.97,Compound,None,,,54,4.55,0,2.93,0.49,Compound,None,,,82,3.82,0,50.29,7.89,Compound,None,,,110,3.47,0.2,2.58,4.92,Artifact,Weak,,,138,3.08,0.1,2.99,5.4,Compound,None,,,166,2.5,54.4,2.07,1461.16,Solvent,None,,,194,1.77,0,2.96,1.12,Compound,None,,,222,0.08,0,1.14,0.61,Impurity,None,,
