,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.72,0,1.34,0.19,Impurity,Weak,,,28,4.42,0,1.38,0.28,Compound,None,,,55,3.44,0.1,2.95,3.93,Artifact,Weak,,,82,2.34,0.1,1.26,1.85,Solvent,Weak + C13_Sat,,,109,1.32,0,2.93,0.3,Impurity,Weak,,,136,0.78,0,2.22,0.37,Compound,None,,
2,10.2,0.1,1.38,1.16,Compound,None,,,29,4.41,0,4.84,1.37,Compound,None,,,56,3.43,0,0.52,0.05,Artifact,Weak,,,83,2.33,0.3,1.62,6.85,Solvent,Weak + C13_Sat,,,110,1.3,0,0.51,0.05,Impurity,Weak,,,137,0.77,0.1,2.89,2.06,Compound,None,,
3,8.54,0,0.48,0.03,Artifact,Weak,,,30,4.4,0,2.49,0.37,Compound,None,,,57,3.42,0.3,3.3,11.04,Artifact,Weak,,,84,2.33,0.4,1.58,9.17,Solvent,Weak + C13_Sat,,,111,1.24,0.4,7.93,44.83,Compound,None,,,138,0.76,0,1.62,0.39,Compound,None,,
4,8.34,0,0.43,0.03,Artifact,Weak,,,31,4.38,0,1.11,0.07,Artifact,Weak,,,58,3.41,0.2,2.86,7.39,Artifact,Weak,,,85,2.32,0.3,1.56,5.8,Solvent,Weak + C13_Sat,,,112,1.23,0.4,3.02,12.96,Compound,None,,,139,0.76,0,1.74,0.67,Compound,None,,
5,8.14,0,1.87,0.2,Impurity,Weak,,,32,4.36,0,2.34,0.33,Impurity,Weak,,,59,3.38,0.5,48.23,299.7,Artifact,Weak,,,86,2.32,0.1,1.34,1.9,Solvent,Weak + C13_Sat,,,113,1.19,0,1.8,0.26,Compound,Weak,,,140,0.74,0,0.87,0.13,Impurity,Weak,,
6,7.51,0,5.19,2.7,Compound,None,,,33,4.35,0,1.81,0.49,Impurity,None,,,60,3.23,0,2.33,0.68,Artifact,Weak,,,87,2.28,0,22.31,7.2,Compound,None,,,114,1.17,0.1,8.13,6.28,Compound,None,,,141,0.72,0,1.59,0.66,Impurity,None,,
7,7.49,0.1,4.42,3.15,Compound,None,,,34,4.33,0,1.7,0.3,Impurity,Weak,,,61,3.22,0,0.77,0.05,Artifact,Weak,,,88,2.26,0,2.96,0.28,Compound,Weak,,,115,1.16,0,4.64,2.5,Compound,None,,,142,0.71,0,1.87,0.68,Impurity,None,,
8,7.35,0,0.7,0.05,Artifact,Weak,,,35,4.28,0,1.28,0.17,Impurity,Weak,,,62,3.21,0,2.13,0.74,Artifact,Weak,,,89,2.23,0,2.42,1.02,Compound,None,,,116,1.15,0,3.4,1.89,Compound,None,,,143,0.7,0,1.56,0.21,Impurity,Weak,,
9,7.26,0,13.18,7.79,Compound,None,,,36,4.27,0,1.33,0.21,Impurity,Weak,,,63,3.2,0,2.14,0.39,Artifact,Weak,,,90,2.21,0.1,2.64,2.46,Compound,None,,,117,1.14,0,1.61,0.17,Impurity,Weak,,,144,0.69,0,2.85,0.25,Artifact,Weak,,
10,7.24,0,18.2,9.28,Compound,None,,,37,4.25,0,0.9,0.12,Impurity,Weak,,,64,3.19,0,1.12,0.2,Artifact,Weak,,,91,2.2,0,2.27,0.53,Compound,None,,,118,1.12,0,0.54,0.05,Impurity,Weak,,,145,0.68,0,1.11,0.08,Artifact,Weak,,
11,7.13,0.1,77.49,91.1,Compound,None,,,38,4.13,0,2.41,0.47,Impurity,Weak,,,65,2.76,0,16.11,4.07,Compound,None,,,92,2.19,0,2.02,0.87,Compound,None,,,119,1.12,0.1,0.97,1.72,Compound,None,,,146,0.66,0,1.84,0.2,Impurity,Weak,,
12,7.03,0,0.43,0.03,Artifact,Weak,,,39,4.06,0,1.76,0.16,Artifact,Weak,,,66,2.74,0,1.76,0.15,Artifact,Weak,,,93,2.18,0,2.11,0.87,Impurity,None,,,120,1.11,0,3.09,0.41,Compound,Weak,,,147,0.61,0,2.72,0.25,Impurity,Weak,,
13,6.55,0,1.01,0.07,Artifact,Weak,,,40,4.03,0,1.23,0.18,Impurity,Weak,,,67,2.68,0.1,1.5,2.44,Solvent,Weak + C13_Sat,,,94,2.18,0,0.69,0.08,Impurity,Weak,,,121,1.1,0.1,0.97,1.69,Compound,None,,,148,0.59,0,2.19,0.4,Impurity,Weak,,
14,6.52,0,1.76,0.58,Impurity,None,,,41,4.01,0,3.27,2.02,Compound,None,,,68,2.67,0.3,1.6,6.07,Solvent,Weak + C13_Sat,,,95,2.16,0,2.44,0.42,Impurity,Weak,,,122,1.07,0.1,0.87,0.65,Impurity,None,,,149,0.13,0,0.85,0.28,Impurity,Weak,,
15,6.22,0,1.62,0.34,Impurity,Weak,,,42,3.67,0,8.41,1.82,Compound,None,,,69,2.67,0.4,1.62,9.38,Solvent,Weak + C13_Sat,,,96,2.08,0,0.61,0.05,Impurity,Weak,,,123,1.05,0.1,0.72,0.91,Compound,None,,,150,0.09,0,0.94,0.13,Impurity,Weak,,
16,6.18,0,1.24,0.1,Artifact,Weak,,,43,3.65,0,2.88,0.29,Compound,None,,,70,2.66,0.3,1.45,5.48,Solvent,Weak + C13_Sat,,,97,2.04,0,1.87,0.31,Impurity,Weak,,,124,1.04,1.5,3.62,63.81,Compound,None,,,151,0.08,0.4,0.95,4.88,Compound,None,,
17,5.82,0,1.52,0.24,Impurity,Weak,,,44,3.63,0,1.72,0.24,Impurity,Weak,,,71,2.66,0.1,1.48,2.53,Solvent,Weak + C13_Sat,,,98,1.91,0.1,0.87,1.24,Compound,None,,,125,1.03,1.5,3.88,68.7,Compound,None,,,152,0.08,0,3.1,0.46,Compound,None,,
18,5.76,0,1.5,0.08,Artifact,Weak,,,45,3.6,0.1,130.39,75.38,Compound,None,,,72,2.6,0.1,44.97,21.86,Artifact,Weak,,,99,1.89,0,23.41,3.07,Compound,None,,,126,1.01,0.2,2.17,4.18,Compound,None,,,153,0.07,0,0.78,0.28,Compound,None,,
19,5.16,0,0.6,0.04,Artifact,Weak,,,46,3.58,0,2.04,0.3,Artifact,Weak,,,73,2.52,0.3,1.3,4.52,Solvent,Weak,,,100,1.86,0,3.57,0.31,Artifact,Weak,,,127,1,0.1,4.01,2.87,Compound,None,,,154,0.07,0.1,1.83,1.35,Compound,None,,
20,5.08,0,13.12,0.96,Artifact,Weak,,,47,3.57,0,1.11,0.27,Artifact,Weak,,,74,2.52,0.3,2.08,9.38,Solvent,Weak,,,101,1.84,0,12.07,1.4,Compound,None,,,128,1,0.1,1.91,3.32,Compound,None,,,155,0.02,0,1.22,0.08,CS Reference,Weak,,
21,4.82,0,2.04,0.2,Artifact,Weak,,,48,3.57,0,1.43,0.46,Artifact,Weak,,,75,2.51,22.6,1.33,365.3,Solvent,None,,,102,1.56,0,0.57,0.03,Artifact,Weak,,,129,0.99,0,0.77,0.07,Impurity,Weak,,,156,0,0,0.76,0.06,CS Reference,Weak,,
22,4.81,0,2.2,0.21,Impurity,Weak,,,49,3.55,0,1.89,0.33,Artifact,Weak,,,76,2.5,58.3,1.62,1256.05,Solvent,None,,,103,1.54,0,3.15,0.7,Compound,None,,,130,0.86,0.1,1.25,1.01,Compound,None,,,157,-0.51,0,0.75,0.07,Artifact,Weak,,
23,4.57,0,5.48,2.84,Compound,None,,,50,3.54,0,4.45,2.32,Artifact,Weak,,,77,2.5,81.3,1.59,1623.22,Solvent,None,,,104,1.52,0,5.8,3.97,Compound,None,,,131,0.85,0,1.65,0.76,Compound,None,,,158,-2.39,0,0.73,0.06,Artifact,Weak,,
24,4.56,0,1.79,0.31,Compound,Weak,,,51,3.49,0.2,3.32,9.66,Artifact,Weak,,,78,2.5,56.9,1.47,1065.7,Solvent,None,,,105,1.5,0.1,5.22,4.11,Compound,None,,,132,0.84,0,2.63,1.21,Compound,None,,,159,-2.64,0,0.69,0.04,Artifact,Weak,,
