,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.76,59.8,0.87,560.04,Artifact,Weak,,,18,1.5,344.5,9.9,49670.75,Compound,None,,
2,7.66,163.6,56.25,124570.87,Compound,None,,,19,1.49,205.4,11.78,28755.42,Compound,None,,
3,7.31,128.8,54.97,66584.72,Compound,None,,,20,1.35,243.7,7.8,27345.96,Compound,None,,
4,7.23,1406.7,14.95,306331.51,Compound,None,,,21,1.32,179.4,29.3,51242.59,Compound,None,,
5,7.16,150.1,10.78,15647,Impurity,None,,,22,1.24,755,31.59,312841.82,Compound,None,,
6,7.12,473.2,16.26,75006.36,Compound,None,,,23,1.23,1994.5,6.88,187187.23,Compound,None,,
7,7.1,1227,8.91,140747.74,Compound,None,,,24,1.14,172,5.84,12100.71,Compound,None,,
8,7.05,94.8,16.25,22445.73,Compound,None,,,25,1.11,146.5,4.59,8547.81,Impurity,None,,
9,6.99,606,17.92,102131.47,Compound,None,,,26,1.07,198.2,74.31,214522.41,Compound,None,,
10,6.97,950.1,7.43,84147.13,Compound,None,,,27,1.05,1759.9,5.44,118699.61,Compound,None,,
11,6.52,309.1,5.22,21386.21,Compound,None,,,28,1.03,2281.5,6.37,183891.86,Compound,None,,
12,5.26,82.7,5.61,6607.88,Impurity,Weak,,,29,1.01,258.3,16.62,48444.9,Compound,None,,
13,1.91,171,3.17,7081.59,Compound,None,,,30,0.89,224.9,88.42,289704.81,Compound,None,,
14,1.89,130.2,57.76,70709.26,Compound,None,,,31,0.85,654.1,19.67,167002.34,Compound,None,,
15,1.64,110.5,22.44,36140.58,Compound,None,,,32,0.8,176.1,28.24,61593.45,Compound,None,,
16,1.54,106.8,6.31,7927.88,Compound,None,,,33,0.06,191.2,5.85,14115.98,Compound,None,,
17,1.52,335.6,9,38216.76,Compound,None,,,,,,,,,,,
