,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.08,0,1.03,0.22,Impurity,None,,,29,5.47,0,1.2,0.15,Impurity,Weak,,,57,4.75,0.1,1.65,2.73,Compound,None,,,85,4.32,0,2.16,0.54,Compound,None,,,113,3.65,0.1,4.08,4.14,Compound,None,,,141,3.41,0.2,3.49,7.76,Artifact,Weak,,,169,3.03,0,1.72,0.71,Compound,None,,,197,2.53,0.3,4.63,23.4,Solvent,Weak,,,225,2.08,0,0.73,0.26,Compound,None,,,253,1.04,0.6,1.22,10.48,Compound,None,,
2,9.67,0,1.79,0.22,Impurity,None,,,30,5.33,0,5.66,1.23,Compound,None,,,58,4.75,0.2,1.95,6.29,Compound,None,,,86,4.31,0,1.35,0.08,Artifact,Weak,,,114,3.64,0.1,3.93,3.69,Compound,None,,,142,3.27,0,2.63,0.39,Artifact,Weak,,,170,3.03,0,1.45,0.56,Compound,None,,,198,2.53,0.1,0.82,1.4,Artifact,Weak,,,226,2.07,0,0.88,0.14,Compound,None,,,254,1.03,0,3.75,2.47,Compound,None,,
3,9.66,0,1.22,0.21,Impurity,None,,,31,5.23,0,4.99,1.33,Compound,None,,,59,4.73,0,2.32,0.77,Compound,None,,,87,4.29,0.1,1.47,1.89,Compound,None,,,115,3.63,0,1.86,0.66,Compound,None,,,143,3.27,0.1,1.87,1.81,Artifact,Weak,,,171,3.02,0,2.42,1.25,Compound,None,,,199,2.52,20.9,1.22,303.23,Solvent,None,,,227,1.92,0.9,0.94,9.95,Compound,None,,,255,1.01,0,1.33,0.22,Compound,None,,
4,8.15,0.1,2.21,2.97,Compound,None,,,32,5.22,0,1.59,0.2,Compound,None,,,60,4.72,0,1.22,0.13,Artifact,Weak,,,88,4.28,0.1,1.71,2.3,Compound,None,,,116,3.62,0,1.86,0.62,Compound,None,,,144,3.26,0.1,1.91,1.58,Artifact,Weak,,,172,3.01,0,1.44,0.09,Artifact,Weak,,,200,2.51,61,1.72,1458.23,Solvent,None,,,228,1.83,0,1.57,0.21,Impurity,None,,,256,1.01,0,1.58,0.43,Compound,None,,
5,7.96,0,4.11,0.26,Artifact,Weak,,,33,5.12,0,3.36,0.93,Compound,None,,,61,4.7,0,0.75,0.07,Artifact,Weak,,,89,4.27,0.1,1.4,1.73,Compound,None,,,117,3.62,0,1.33,0.45,Impurity,None,,,145,3.25,0.1,2.27,2.1,Artifact,Weak,,,173,2.99,0,1.37,0.26,Impurity,None,,,201,2.51,78.3,1.43,1425.55,Solvent,None,,,229,1.78,0,1.32,0.3,Compound,None,,,257,0.99,0,0.87,0.16,Compound,None,,
6,7.95,0,1.49,0.3,Impurity,None,,,34,5.11,0,10.37,4.21,Compound,None,,,62,4.67,0,2.03,0.35,Compound,None,,,90,4.26,0.1,1.59,2.22,Compound,None,,,118,3.61,0,1.76,0.48,Impurity,None,,,146,3.24,0.1,2.04,3.15,Artifact,Weak,,,174,2.97,0,1.34,0.5,Compound,None,,,202,2.51,55.4,1.54,1084.88,Solvent,None,,,230,1.78,0,1.15,0.25,Compound,None,,,258,0.98,0,0.87,0.07,Artifact,Weak,,
7,7.7,0,1.43,0.17,Impurity,Weak,,,35,5.01,0,5.8,0.72,Compound,None,,,63,4.66,0,2.3,0.44,Compound,None,,,91,4.23,0,1.58,0.26,Compound,None,,,119,3.6,0,1.58,0.54,Impurity,None,,,147,3.23,0.1,1.96,1.35,Artifact,Weak,,,175,2.97,0.1,1.93,2.64,Compound,None,,,203,2.5,21.9,1.28,328.52,Solvent,None,,,231,1.76,0,1.42,0.72,Compound,None,,,259,0.92,0,0.79,0.11,Impurity,Weak,,
8,7.25,0,1.46,0.16,Impurity,Weak,,,36,4.98,0,1.96,0.18,Impurity,Weak,,,64,4.63,0.1,1.96,2.58,Compound,None,,,92,4.19,0,1.43,0.16,Impurity,Weak,,,120,3.6,0,1.72,0.4,Artifact,Weak,,,148,3.23,0.1,2.26,1.89,Artifact,Weak,,,176,2.96,0.2,1.95,4.08,Compound,None,,,204,2.47,0,2.21,0.13,Artifact,Weak,,,232,1.5,0,23.15,4.38,Compound,None,,,260,0.91,0,0.79,0.16,Impurity,None,,
9,7.24,0,26.11,2.54,Artifact,Weak,,,37,4.97,0,2.67,0.31,Impurity,Weak,,,65,4.62,0.1,1.96,2.6,Compound,None,,,93,4.14,0,1.59,0.42,Compound,None,,,121,3.59,0.1,2.23,2.52,Artifact,Weak,,,149,3.22,0.1,1.58,1.08,Artifact,Weak,,,177,2.96,0.1,1.61,1.95,Compound,None,,,205,2.35,0.1,1.34,1.97,Solvent,Weak + C13_Sat,,,233,1.37,0,1.53,0.53,Compound,None,,,261,0.88,0.1,7.55,5.66,Compound,None,,
10,7.22,0.1,30.55,20.23,Compound,None,,,38,4.95,0,2.92,0.28,Impurity,Weak,,,66,4.6,0.3,1.71,5.71,Compound,None,,,94,4.13,0,2.37,0.43,Compound,None,,,122,3.58,0.1,3.28,5.02,Artifact,Weak,,,150,3.21,0,1.99,0.22,Artifact,Weak,,,178,2.95,0,1.87,0.82,Compound,None,,,206,2.34,0.3,1.62,6.56,Solvent,Weak + C13_Sat,,,234,1.36,0,1.7,0.41,Compound,None,,,262,0.87,0.1,2.6,4,Compound,None,,
