,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.28,64.2,0.56,432.2,Artifact,Weak,,,30,2.08,242.4,0.89,2552.34,Impurity,None,,
2,11.72,62.4,0.47,368.27,Artifact,Weak,,,31,2.08,84.5,0.59,643.37,Impurity,Weak,,
3,11.68,63.3,0.71,421.98,Artifact,Weak,,,32,2.04,437.6,1.83,10279.32,Compound,None,,
4,11.63,68.9,0.69,563.9,Artifact,Weak,,,33,2.02,78.5,0.79,879.91,Artifact,Weak,,
5,11.07,112.3,1.1,1669.06,Impurity,Weak,,,34,2.02,126.4,1.69,3111.38,Compound,None,,
6,10.2,187.2,1.13,2592.41,Impurity,None,,,35,2.01,190.4,3.34,8510.67,Compound,None,,
7,9.84,72.6,0.63,664.65,Artifact,Weak,,,36,1.91,2615.5,0.87,28022.54,Compound,None,,
8,9.66,79.5,0.66,560.75,Artifact,Weak,,,37,1.86,189.1,31.35,55738.99,Compound,None,,
9,8.13,448.3,1.17,6509.3,Impurity,None,,,38,1.62,114.7,21.4,35760.24,Compound,None,,
10,7.62,111.7,32.35,52625.03,Compound,None,,,39,1.58,61.1,2.83,2522.37,Artifact,Weak,,
11,7.22,2600.9,5.4,180029.79,Compound,None,,,40,1.55,64.3,0.81,688.46,Artifact,Weak,,
12,7.11,323.6,10.24,38957.77,Compound,None,,,41,1.54,317.8,7.91,34592.79,Compound,None,,
13,7.09,2624.9,5.59,189270.48,Compound,None,,,42,1.52,189.5,1.93,5339.49,Compound,None,,
14,6.96,2549.8,5.4,170129.72,Compound,None,,,43,1.52,493.1,5.4,35644.41,Compound,None,,
15,6.53,732.3,1.5,14014.25,Compound,None,,,44,1.5,596.6,5.06,41034.86,Compound,None,,
16,6.52,5934.9,1.45,102988.65,Compound,None,,,45,1.49,407.9,7.17,42602.39,Compound,None,,
17,5.75,77.8,1.71,1740.01,Artifact,Weak,,,46,1.47,93.6,1.18,1364.69,Impurity,Weak,,
18,5.25,103.2,8.84,13003.95,Compound,None,,,47,1.41,1620.3,3.25,70376.5,Compound,None,,
19,5.12,82.6,1.08,1204.78,Impurity,Weak,,,48,1.39,1222,4.49,77165.35,Compound,None,,
20,5.08,66.4,18.88,17827.72,Artifact,Weak,,,49,1.38,578.7,4.59,34872.54,Compound,None,,
21,4.49,67.3,8.28,7952.01,Artifact,Weak,,,50,1.36,112.8,2.19,2335.99,Impurity,Weak,,
22,4.41,267.2,10.52,32715.6,Compound,None,,,51,1.34,82.1,1.74,1915.02,Compound,None,,
23,4.36,167.1,2.36,4716.79,Impurity,None,,,52,1.32,422.2,2.98,14935.29,Compound,None,,
24,4.34,289.7,1.97,6222.08,Impurity,None,,,53,1.3,92.9,1.04,1382.62,Impurity,Weak,,
