,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0,0.8,0.08,Artifact,Weak,,,30,3.44,0,14.14,4.38,Artifact,Weak,,,59,2.18,0,2.44,0.52,Compound,None,,,88,1.14,0,3.45,0.68,Compound,None,,
2,7.51,0,6.44,0.68,Artifact,Weak,,,31,3.42,0,11.52,3.54,Artifact,Weak,,,60,2.04,0,3.76,0.84,Impurity,None,,,89,1.12,0,3.31,1.98,Compound,None,,
3,7.21,0,1.51,0.22,Impurity,Weak,,,32,3.41,0.7,19.57,145.89,Artifact,Weak,,,61,1.95,0,27.34,5.34,Compound,None,,,90,1.11,0,1.32,0.16,Artifact,Weak,,
4,7.19,0,2.02,0.18,Artifact,Weak,,,33,3.04,0,16.63,1.93,Artifact,Weak,,,62,1.91,0.1,1.54,1.3,Compound,None,,,91,1.08,0,1.57,0.38,Compound,None,,
5,7.17,0,2.26,0.29,Artifact,Weak,,,34,2.79,0,2.93,0.47,Compound,None,,,63,1.87,0,25.35,2.65,Artifact,Weak,,,92,1.07,0.1,1.15,1.09,Compound,None,,
6,7.1,0.1,88.12,138.87,Compound,None,,,35,2.77,0,5.56,2.65,Compound,None,,,64,1.87,0,7.48,0.76,Artifact,Weak,,,93,1.05,0.1,1.18,1.84,Compound,None,,
7,7.08,0,12.22,3.15,Impurity,None,,,36,2.75,0,4.46,1.24,Compound,None,,,65,1.84,0,7.21,1.12,Compound,None,,,94,1.05,0.3,3.51,12.53,Compound,None,,
8,6.83,0,16.1,3.4,Compound,None,,,37,2.68,0.1,1.59,1.3,Solvent,Weak + C13_Sat,,,66,1.56,0,9.02,4.1,Compound,None,,,95,1.03,0.2,4.15,9.58,Compound,None,,
9,6.52,0.1,1.6,1.27,Compound,None,,,38,2.67,0.2,1.93,5.78,Solvent,Weak + C13_Sat,,,67,1.54,0,8.19,3.88,Compound,None,,,96,1.03,0.3,4.02,17.06,Compound,None,,
10,5.49,0,38.19,4.39,Artifact,Weak,,,39,2.67,0.4,2.18,12.01,Solvent,Weak + C13_Sat,,,68,1.52,0,2.78,0.92,Compound,None,,,97,1.02,0.1,3.49,4.69,Compound,None,,
11,5.39,0,10.82,1.85,Compound,None,,,40,2.66,0.3,1.88,6.58,Solvent,Weak + C13_Sat,,,69,1.52,0,2.96,1.18,Compound,None,,,98,1.01,0,2.92,0.63,Compound,None,,
12,5.33,0,2.93,0.36,Artifact,Weak,,,41,2.66,0.1,2.21,4.33,Solvent,Weak + C13_Sat,,,70,1.5,0.1,6.13,4.73,Compound,None,,,99,1,0,3.2,2.09,Compound,None,,
13,5.32,0,6.81,1.34,Compound,None,,,42,2.58,0.1,162.37,226.37,Artifact,Weak,,,71,1.48,0,9.43,5.95,Compound,None,,,100,0.87,0,10.52,4.82,Compound,None,,
14,5.1,0,18.51,1.51,Artifact,Weak,,,43,2.53,0,1.25,0.15,Artifact,Weak,,,72,1.44,0,3.74,0.66,Impurity,Weak,,,101,0.85,0,2.91,1.67,Compound,None,,
15,4.66,0,12.4,2.24,Compound,None,,,44,2.51,15.2,1.45,212.77,Solvent,None,,,73,1.39,0,1.82,0.19,Artifact,Weak,,,102,0.85,0,2.39,1.31,Compound,None,,
16,4.59,0,0.53,0.05,Artifact,Weak,,,45,2.5,44.4,1.78,960.62,Solvent,None,,,74,1.37,0,5.43,1.15,Compound,None,,,103,0.83,0,6.74,4.54,Compound,None,,
17,4.57,0,15.02,4.14,Compound,None,,,46,2.5,76.5,2.15,2166.05,Solvent,None,,,75,1.35,0,1.35,0.13,Impurity,Weak,,,104,0.82,0,5.32,3.15,Compound,None,,
18,4.46,0,17.81,7.2,Compound,None,,,47,2.5,54.1,2.16,1589.5,Solvent,None,,,76,1.34,0,1.73,0.28,Impurity,Weak,,,105,0.81,0,1.44,0.19,Artifact,Weak,,
19,4.36,0,2.17,0.37,Impurity,None,,,48,2.49,23.4,2.01,649.62,Solvent,None,,,77,1.33,0,1.96,0.33,Impurity,Weak,,,106,0.8,0,2.08,0.33,Compound,Weak,,
20,4.35,0,1.82,0.86,Impurity,None,,,49,2.41,0.1,99.79,86.86,Artifact,Weak,,,78,1.32,0,3.07,0.55,Impurity,None,,,107,0.71,0,3.65,0.35,Artifact,Weak,,
21,4.33,0,1.87,0.5,Impurity,None,,,50,2.34,0.1,1.35,0.91,Solvent,Weak + C13_Sat,,,79,1.3,0,24.85,16.83,Compound,None,,,108,0.13,0,1.64,0.33,Impurity,None,,
22,4.2,0,14.28,1.91,Compound,None,,,51,2.33,0.2,1.87,5.1,Solvent,Weak + C13_Sat,,,80,1.26,0,3.68,0.78,Compound,None,,,109,0.08,0.3,1.3,4.35,Compound,None,,
23,3.83,0,11.4,1.64,Compound,None,,,52,2.33,0.4,2.37,13.37,Solvent,Weak + C13_Sat,,,81,1.24,0.1,6.1,8.16,Compound,None,,,110,0.07,0,7.99,2.22,Compound,None,,
24,3.82,0,1.57,0.27,Compound,None,,,53,2.32,0.2,1.8,5.78,Solvent,Weak + C13_Sat,,,82,1.23,0.4,4.39,23.53,Compound,None,,,111,0.07,0,0.77,0.09,Impurity,Weak,,
25,3.75,0.2,224.66,604.88,Compound,None,,,54,2.32,0.1,2.3,4.19,Solvent,Weak + C13_Sat,,,83,1.18,0.1,1.83,2.07,Compound,None,,,112,0.06,0,3.05,0.92,Compound,None,,
26,3.52,0.4,106.06,424.33,Artifact,Weak,,,55,2.28,0,9.01,1.72,Compound,None,,,84,1.18,0,6.48,1.94,Compound,None,,,113,-2.66,0,0.55,0.05,Artifact,Weak,,
27,3.51,2.1,2.32,66.48,Compound,None,,,56,2.23,0,2.5,1.07,Compound,None,,,85,1.16,0.1,1.97,1.63,Compound,None,,,,,,,,,,,
28,3.44,0.7,53.12,432.41,Artifact,Weak,,,57,2.21,0.1,3,3.38,Compound,None,,,86,1.16,0.1,2.61,2.23,Compound,None,,,,,,,,,,,
29,3.44,0.1,6.15,4.98,Artifact,Weak,,,58,2.19,0,3,1.89,Compound,None,,,87,1.14,0.1,2.67,3.23,Compound,None,,,,,,,,,,,
