,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.07,0,1,0.15,Impurity,Weak,,,30,3.73,0,0.64,0.04,Artifact,Weak,,,59,3.17,0.1,1.18,1.35,Artifact,Weak,,,88,2.3,0,1.6,0.29,Compound,Weak,,,117,1.54,0,9.47,4.46,Compound,None,,,146,0.98,0,1.4,0.37,Compound,None,,
2,10.22,0,1.71,0.08,Artifact,Weak,,,31,3.66,0,3.64,0.49,Artifact,Weak,,,60,3.16,0.1,1.25,1.27,Artifact,Weak,,,89,2.29,0,1.64,0.25,Compound,Weak,,,118,1.52,0,4.53,0.62,Compound,None,,,147,0.97,0,6.84,0.69,Artifact,Weak,,
3,9.65,0,3.15,0.23,Artifact,Weak,,,32,3.65,0,5.36,1.08,Artifact,Weak,,,61,3.15,0,0.54,0.05,Artifact,Weak,,,90,2.29,0.1,2.57,2.23,Compound,None,,,119,1.51,0,6.44,3.73,Compound,None,,,148,0.89,0,5.46,1.31,Compound,None,,
4,9.65,0,0.6,0.03,Artifact,Weak,,,33,3.64,0,0.66,0.12,Artifact,Weak,,,62,2.96,0,1.24,0.43,Artifact,Weak,,,91,2.28,0,1.98,0.45,Compound,None,,,120,1.49,0,9.87,3.39,Compound,None,,,149,0.88,0,1.75,0.23,Compound,Weak,,
5,8.14,0,3.26,1.6,Compound,None,,,34,3.63,0,3.43,0.32,Artifact,Weak,,,63,2.96,0.1,1.82,2.15,Artifact,Weak,,,92,2.28,0,1.14,0.14,Impurity,Weak,,,121,1.4,0.2,3.26,9.74,Compound,None,,,150,0.87,0.1,4.93,3.33,Compound,None,,
6,7.95,0,3.22,0.28,Artifact,Weak,,,35,3.62,0,1.98,0.2,Artifact,Weak,,,64,2.95,0.1,2.13,3.86,Artifact,Weak,,,93,2.27,0,3.94,1.72,Compound,None,,,122,1.39,0.2,3.78,10.34,Compound,None,,,151,0.86,0.1,2.42,2.1,Compound,None,,
7,7.11,0.3,67.76,257.54,Compound,None,,,36,3.57,0.1,0.97,0.77,Artifact,Weak,,,65,2.95,0.1,1.51,1.48,Artifact,Weak,,,94,2.22,0,3.2,0.29,Artifact,Weak,,,123,1.35,0,2.2,1.3,Compound,None,,,152,0.85,0.2,4.28,9.08,Compound,None,,
8,7.08,0.2,44.68,82.63,Compound,None,,,37,3.57,0,0.72,0.11,Artifact,Weak,,,66,2.94,0,1.44,0.62,Artifact,Weak,,,95,2.22,0,0.74,0.06,Artifact,Weak,,,124,1.32,0,0.68,0.04,Artifact,Weak,,,153,0.84,0.1,3.53,4.32,Compound,None,,
9,6.8,0,4.93,0.41,Artifact,Weak,,,38,3.52,0,4.89,2.47,Artifact,Weak,,,67,2.68,0.1,1.23,1.4,Solvent,Weak + C13_Sat,,,96,2.21,0,3.19,0.63,Impurity,None,,,125,1.3,0,2.82,0.33,Impurity,Weak,,,154,0.84,0.1,3.81,7.35,Compound,None,,
10,6.53,0,1.78,0.17,Artifact,Weak,,,39,3.5,0.1,3.01,5.64,Artifact,Weak,,,68,2.67,0.3,1.72,5.77,Solvent,Weak + C13_Sat,,,97,2.2,0,3.71,0.64,Compound,None,,,126,1.27,0,11.15,3.73,Compound,None,,,155,0.83,0.1,4.42,4.61,Compound,None,,
