,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.97,57.1,0.54,413.97,Artifact,Weak,,,30,2.19,593.7,2.24,17859.79,Compound,None,,
2,10.27,55.3,0.58,469.12,Artifact,Weak,,,31,2.19,60.8,0.65,495.53,Artifact,Weak,,
3,10.2,132.1,0.84,1345.52,Impurity,None,,,32,2.18,114.6,1.83,2785.38,Compound,None,,
4,8.13,87.8,2.61,2255.86,Impurity,Weak,,,33,2.08,233.4,0.73,2150.43,Impurity,None,,
5,7.66,108.1,57.81,71647.15,Compound,None,,,34,2.04,91,1.02,1193.37,Impurity,Weak,,
6,7.22,1612.8,23.41,459716.97,Compound,None,,,35,1.91,1047.8,0.87,11245.55,Compound,None,,
7,7.1,1264.6,57.46,983569.42,Compound,None,,,36,1.86,259,35.54,86575.81,Compound,None,,
8,7.1,903.6,16.47,165741.67,Compound,None,,,37,1.72,86.5,2.03,1739.34,Impurity,Weak,,
9,6.98,1668.6,23.01,464948.46,Compound,None,,,38,1.54,267,5.06,16413.84,Compound,None,,
10,6.92,54.6,1.52,858.76,Artifact,Weak,,,39,1.52,593,5.39,35267.98,Compound,None,,
11,6.8,146.6,1.03,1909.01,Impurity,None,,,40,1.5,663.7,5.23,43035.88,Compound,None,,
12,6.53,73.6,0.62,565.25,Impurity,Weak,,,41,1.49,428,4,24910.16,Compound,None,,
13,6.52,355.1,1.53,7373.67,Compound,None,,,42,1.47,104.6,1.89,1991.45,Compound,Weak,,
14,5.82,54.6,0.76,604.74,Artifact,Weak,,,43,1.41,61.9,0.69,488.18,Artifact,Weak,,
15,5.26,59.9,2.88,1877.49,Artifact,Weak,,,44,1.35,585.1,1.58,12793.62,Compound,None,,
16,5.22,60,3.17,2770.14,Artifact,Weak,,,45,1.34,75.9,2.15,2092.01,Compound,None,,
17,5.08,66.5,0.83,756.58,Artifact,Weak,,,46,1.32,150.2,3.12,6020.29,Impurity,None,,
18,4.9,313,346.9,1432992.1,Compound,None,,,47,1.3,220.3,2.2,6396.51,Impurity,None,,
19,4.53,101.2,144.68,178091.25,Compound,None,,,48,1.28,101,2.55,3754.63,Impurity,None,,
20,4.36,165.1,1.75,3856.26,Compound,None,,,49,1.26,165,12.34,27157.17,Compound,None,,
21,4.34,356,2.07,9593.51,Compound,None,,,50,1.26,293.9,6.45,26763.41,Compound,None,,
22,4.33,187.4,2.1,5667.97,Compound,None,,,51,1.25,1076.1,4.47,63507.83,Compound,None,,
23,4.31,71.7,1.23,1282.67,Artifact,Weak,,,52,1.23,1852.5,4,102087.29,Compound,None,,
24,4.01,92.8,3.18,4135.52,Impurity,Weak,,,53,1.21,60.7,1.19,1002.31,Artifact,Weak,,
25,2.23,479.3,2.25,13850.95,Compound,None,,,54,1.19,879.2,1.45,15508.44,Compound,None,,
26,2.22,78.3,3.13,3173,Compound,None,,,55,1.16,284.8,1.73,6343.34,Compound,None,,
27,2.22,79.8,1.35,1218.87,Impurity,Weak,,,56,1.15,552.8,3.23,23081.36,Compound,None,,
28,2.21,1111.2,2.23,32591.47,Compound,None,,,57,1.12,88.2,0.73,777.91,Impurity,Weak,,
29,2.2,87.6,3.33,2815.71,Compound,Weak,,,58,1.11,231.5,1.08,3020.66,Impurity,None,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,59,1.09,121.8,1.99,3104.41,Compound,None,,
,,,,,,,,,60,1.07,1463.9,0.87,16051.84,Compound,None,,
,,,,,,,,,61,1.06,190.7,1.72,4203.74,Compound,None,,
,,,,,,,,,62,1.05,2889,0.88,32905.81,Compound,None,,
,,,,,,,,,63,1.05,2832,2.76,97220.43,Compound,None,,
,,,,,,,,,64,1.04,2387.8,2.46,70921.49,Compound,None,,
,,,,,,,,,65,1.04,982.2,0.35,4626.49,Compound,None,,
,,,,,,,,,66,1.03,4439.5,3.74,186499.14,Compound,None,,
,,,,,,,,,67,1.02,557,3.02,18894.51,Compound,None,,
,,,,,,,,,68,1.01,135.7,2.25,3723.52,Compound,None,,
,,,,,,,,,69,1,299.9,2.94,8700.67,Compound,None,,
,,,,,,,,,70,0.99,54.5,1.18,705.91,Artifact,Weak,,
,,,,,,,,,71,0.98,117.7,1.13,1449.8,Compound,Weak,,
,,,,,,,,,72,0.89,215,7.87,24041.17,Compound,None,,
,,,,,,,,,73,0.87,301.6,5.07,22267.86,Compound,None,,
,,,,,,,,,74,0.86,460.9,3.13,19756.65,Compound,None,,
,,,,,,,,,75,0.86,404.3,1.18,6475.04,Compound,None,,
,,,,,,,,,76,0.85,280.5,2.13,7326.71,Compound,None,,
,,,,,,,,,77,0.85,458.2,2.48,14262.29,Compound,None,,
,,,,,,,,,78,0.84,307.4,5.13,22776.37,Compound,None,,
,,,,,,,,,79,0.82,338.1,36.03,177487.85,Compound,None,,
,,,,,,,,,80,0.13,196.6,0.86,2138.92,CS Reference,None,,
,,,,,,,,,81,0.09,105.2,0.81,1089.63,CS Reference,Weak,,
,,,,,,,,,82,0.08,3440.6,0.87,36758.24,CS Reference,None,,
,,,,,,,,,83,0.07,85.9,1.45,1505.35,CS Reference,Weak,,
,,,,,,,,,84,0.07,279.8,1.06,4211.8,CS Reference,None,,
,,,,,,,,,85,0.06,211,2.32,6211.48,CS Reference,None,,
