,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.32,0,0.7,0.04,Artifact,Weak,,,24,3.51,0.4,2.7,14.59,Compound,None,,,47,2.38,0,0.99,0.09,Artifact,Weak,,,70,1.28,0,0.82,0.14,Impurity,Weak,,
2,10.34,0,0.74,0.06,Artifact,Weak,,,25,3.48,0,3.34,1.23,Compound,None,,,48,2.34,0.1,1.59,2.38,Solvent,Weak + C13_Sat,,,71,1.25,0.1,11.49,22.62,Compound,None,,
3,7.61,0,44.63,6.35,Compound,None,,,26,3.46,0,2.64,0.22,Artifact,Weak,,,49,2.33,0.3,1.74,6.56,Solvent,Weak + C13_Sat,,,72,1.23,0.1,3.06,5.33,Compound,None,,
4,7.21,0.1,10.51,10.18,Compound,None,,,27,3.45,0,2.01,0.51,Artifact,Weak,,,50,2.33,0.4,1.84,10.31,Solvent,Weak + C13_Sat,,,73,1.22,0,1.15,0.1,Artifact,Weak,,
5,7.09,0.1,9.41,10.16,Compound,None,,,28,3.44,0,2.79,1,Artifact,Weak,,,51,2.32,0.3,1.64,5.9,Solvent,Weak + C13_Sat,,,74,1.16,0,2.04,0.11,Artifact,Weak,,
6,6.98,0,1.53,0.13,Artifact,Weak,,,29,3.42,0,3.65,1.81,Artifact,Weak,,,52,2.32,0.1,1.51,1.94,Solvent,Weak + C13_Sat,,,75,1.15,0.1,3.45,2.3,Compound,None,,
7,6.96,0.1,9.91,8.73,Compound,None,,,30,3.41,0,3.21,1.09,Artifact,Weak,,,53,2.28,0,1.75,0.14,Artifact,Weak,,,76,1.11,0,1.25,0.17,Compound,Weak,,
8,6.95,0,2.38,0.36,Compound,None,,,31,2.93,0,19.15,4.34,Compound,None,,,54,2.23,0,2.62,0.75,Compound,None,,,77,1.11,0.1,1.29,2.33,Compound,None,,
9,6.92,0,2.79,0.24,Artifact,Weak,,,32,2.77,0,17.42,3.74,Compound,None,,,55,2.21,0,2.44,1.44,Compound,None,,,78,1.08,0,1.42,0.13,Impurity,Weak,,
10,6.53,0,1.39,0.46,Compound,None,,,33,2.68,0.1,1.53,2.12,Solvent,Weak + C13_Sat,,,56,2.19,0,2.35,0.72,Compound,None,,,79,1.06,0,1.57,0.46,Compound,None,,
11,6.52,0.2,1.5,3.09,Compound,None,,,34,2.67,0.3,1.92,7.34,Solvent,Weak + C13_Sat,,,57,2.08,0,1.12,0.69,Impurity,None,,,80,1.05,0.2,3.26,9.62,Compound,None,,
12,5.29,0,0.77,0.05,Artifact,Weak,,,35,2.67,0.4,1.7,9.46,Solvent,Weak + C13_Sat,,,58,2.06,0,18.38,2.06,Compound,None,,,81,1.04,0.1,2.2,3.26,Compound,None,,
13,5.26,0,7.91,0.84,Compound,None,,,36,2.66,0.3,1.68,6.19,Solvent,Weak + C13_Sat,,,59,1.91,0.1,1.18,1.48,Compound,None,,,82,1.03,0.3,3.78,13.34,Compound,None,,
14,5.22,0,4.68,0.42,Artifact,Weak,,,37,2.66,0.1,1.56,2.12,Solvent,Weak + C13_Sat,,,60,1.68,0,1.84,0.15,Artifact,Weak,,,83,1.02,0,2.31,0.59,Compound,None,,
15,5.14,0,2.57,0.22,Artifact,Weak,,,38,2.56,0,23.55,4.39,Artifact,Weak,,,61,1.65,0,5.23,0.52,Impurity,Weak,,,84,1,0,1.83,0.39,Impurity,None,,
16,4.31,0,2.83,0.27,Artifact,Weak,,,39,2.52,0.6,11,91.22,Solvent,Weak,,,62,1.54,0,2.57,0.42,Compound,None,,,85,0.85,0.1,16.61,17.77,Compound,None,,
17,4.29,0,0.83,0.07,Artifact,Weak,,,40,2.51,22.8,1.62,444.22,Solvent,None,,,63,1.52,0,7.21,2.46,Compound,None,,,86,0.84,0,1.69,0.2,Impurity,Weak,,
18,4.18,0,1.61,0.27,Impurity,None,,,41,2.5,56.6,1.73,1259.01,Solvent,None,,,64,1.5,0,5.24,1.68,Compound,None,,,87,0.83,0,1.85,0.34,Impurity,None,,
19,4.04,0,47.48,2.82,Artifact,Weak,,,42,2.5,80.4,1.67,1719.77,Solvent,None,,,65,1.49,0,6.23,1.32,Compound,None,,,88,0.82,0,1.06,0.14,Impurity,Weak,,
20,4.03,0,9.16,1.15,Compound,None,,,43,2.5,53.2,1.63,1064.21,Solvent,None,,,66,1.4,0,0.54,0.04,Artifact,Weak,,,89,0.34,0,0.48,0.04,Artifact,Weak,,
21,3.95,0,11.99,3.06,Compound,None,,,44,2.49,22.2,1.58,410.66,Solvent,None,,,67,1.35,0.1,2.04,1.56,Compound,None,,,90,0.07,0.1,2.08,2.09,Compound,None,,
22,3.6,0,155.49,23.66,Compound,None,,,45,2.45,0,1.37,0.16,Artifact,Weak,,,68,1.33,0,0.92,0.11,Impurity,Weak,,,91,-0.81,0,0.43,0.04,Artifact,Weak,,
23,3.55,0,0.53,0.05,Impurity,Weak,,,46,2.44,0,1.78,0.22,Artifact,Weak,,,69,1.3,0,2.3,0.2,Artifact,Weak,,,92,-2.86,0,0.7,0.05,Artifact,Weak,,
