,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.07,0,1.13,0.5,Impurity,None,,,29,6.52,0,2.05,0.62,Impurity,None,,,57,5.29,0,1.02,0.12,Artifact,Weak,,,85,4.78,0,3.6,1.36,Compound,None,,,113,4.35,0.4,3.2,15.6,Compound,None,,,141,3.76,0,2.39,0.86,Compound,None,,,169,3.49,0.1,2.45,2.69,Artifact,Weak,,,197,3.1,0.2,2.68,5.55,Artifact,Weak,,,225,2.67,0.3,2.05,7.4,Solvent,Weak + C13_Sat,,,253,2.24,0.1,1.26,1.42,Compound,None,,,281,1.36,0,4.13,1.32,Compound,None,,,309,0.98,0,1.25,0.33,Compound,None,,
2,10.22,0,0.86,0.14,Impurity,Weak,,,30,6.48,0,1.72,0.16,Impurity,Weak,,,58,5.23,0,3.73,0.58,Compound,None,,,86,4.76,0.5,2.76,17.68,Compound,None,,,114,4.34,0.5,2.95,19.23,Compound,None,,,142,3.76,0,1.16,0.23,Compound,None,,,170,3.48,0.2,4.05,11.03,Artifact,Weak,,,198,3.08,0.2,2.98,8.94,Artifact,Weak,,,226,2.67,0.4,1.89,10.54,Solvent,Weak + C13_Sat,,,254,2.23,0,1.67,0.32,Compound,None,,,282,1.33,0,2.14,0.15,Artifact,Weak,,,310,0.91,0,1.22,0.38,Compound,None,,
3,9.66,0,0.38,0.04,Artifact,Weak,,,31,6.46,0,1.95,0.18,Artifact,Weak,,,59,5.22,0,4.28,0.68,Compound,None,,,87,4.75,0.8,3.87,36.7,Compound,None,,,115,4.33,0.1,2.36,3.05,Compound,None,,,143,3.75,0,1.76,0.25,Compound,None,,,171,3.47,0.3,2.89,9.05,Artifact,Weak,,,199,3.08,0.2,3.55,8.14,Artifact,Weak,,,227,2.66,0.3,1.8,6.51,Solvent,Weak + C13_Sat,,,255,2.22,0,2.91,0.93,Compound,None,,,283,1.3,0,2.02,0.36,Compound,Weak,,,311,0.9,0,1.96,0.32,Compound,Weak,,
4,9.66,0,1.38,0.43,Impurity,None,,,32,6.39,0,1.26,0.08,Artifact,Weak,,,60,5.16,0,1.99,0.21,Impurity,Weak,,,88,4.74,0.4,2.46,12.29,Compound,None,,,116,4.33,0.2,2.84,6.93,Compound,None,,,144,3.74,0,4.2,1.3,Compound,None,,,172,3.46,0,1.38,0.66,Artifact,Weak,,,200,3.06,0.2,2.63,7.54,Artifact,Weak,,,228,2.66,0.1,1.22,1.24,Solvent,Weak + C13_Sat,,,256,2.21,0,1.75,0.42,Compound,None,,,284,1.27,0,7.22,1.61,Compound,None,,,312,0.9,0,2.91,1.56,Compound,None,,
5,9.65,0,0.9,0.24,Impurity,Weak,,,33,6.37,0,0.8,0.07,Artifact,Weak,,,61,5.14,0,1.66,0.23,Impurity,Weak,,,89,4.72,0,2.32,1.24,Compound,None,,,117,4.32,0.1,3,2.87,Compound,None,,,145,3.7,0,3.56,0.64,Compound,None,,,173,3.45,0.4,2.42,12.33,Artifact,Weak,,,201,3.05,0.2,2.05,4.11,Artifact,Weak,,,229,2.6,0,1.33,0.18,Artifact,Weak,,,257,2.21,0,1.68,0.64,Compound,None,,,285,1.25,0.1,12.6,10.24,Compound,None,,,313,0.89,0,3.38,1.52,Compound,None,,
6,8.24,0,169.4,14.8,Artifact,Weak,,,34,6.33,0,1.37,0.17,Impurity,Weak,,,62,5.11,0,3.64,1.48,Compound,None,,,90,4.71,0,4.32,1.37,Compound,None,,,118,4.3,0,3.99,1.69,Compound,None,,,146,3.69,0,2.48,0.3,Compound,Weak,,,174,3.44,0.3,2.71,11.63,Artifact,Weak,,,202,3.05,0.2,2.46,5.84,Artifact,Weak,,,230,2.56,0,0.99,0.44,Artifact,Weak,,,258,2.2,0,2.61,0.46,Compound,None,,,286,1.24,0.1,6.55,8.88,Compound,None,,,314,0.88,0,6.84,2.72,Compound,None,,
7,8.13,0.2,2.45,5.38,Compound,None,,,35,6.23,0,2.02,0.18,Impurity,Weak,,,63,5.1,0.1,9.89,8.11,Compound,None,,,91,4.69,0,2.07,0.16,Impurity,Weak,,,119,4.28,0.3,1.71,5.46,Compound,None,,,147,3.68,0.1,2.48,3.15,Compound,None,,,175,3.43,0.2,2.79,8.57,Artifact,Weak,,,203,3.04,0.4,2.71,13.54,Artifact,Weak,,,231,2.55,0,17.75,6.5,Artifact,Weak,,,259,2.18,0,9.66,1.96,Compound,None,,,287,1.23,0.2,4.14,10.24,Compound,None,,,315,0.87,0.1,5.47,4.13,Compound,None,,
8,8.05,0,2.1,0.28,Impurity,Weak,,,36,6.22,0,2.29,0.18,Artifact,Weak,,,64,5.07,0,3.69,0.32,Impurity,Weak,,,92,4.67,0,1.05,0.16,Impurity,Weak,,,120,4.26,0.4,2.98,11.45,Compound,None,,,148,3.68,0.1,2.46,3.05,Compound,None,,,176,3.42,0.3,2.1,8.76,Artifact,Weak,,,204,3.03,0.2,2.57,7.37,Artifact,Weak,,,232,2.52,0.1,1.06,1.68,Artifact,Weak,,,260,2.16,0,2.11,0.15,Artifact,Weak,,,288,1.21,0,10.52,3.77,Compound,None,,,316,0.86,0.1,3.39,5.58,Compound,None,,
9,7.99,0,3.97,0.39,Artifact,Weak,,,37,6.2,0.3,2.34,7.09,Compound,None,,,65,5.04,0,1.97,0.15,Impurity,Weak,,,93,4.67,0,1.03,0.08,Artifact,Weak,,,121,4.25,0.3,1.82,6.32,Compound,None,,,149,3.67,0.2,2.57,5.12,Artifact,Weak,,,177,3.42,0.4,2.7,13.29,Artifact,Weak,,,205,3.02,0.1,3.11,5.05,Artifact,Weak,,,233,2.51,18.7,1.29,279.27,Solvent,None,,,261,2.13,0.1,0.81,0.68,Compound,None,,,289,1.19,0,293.86,97.46,Compound,None,,,317,0.85,0.1,4.38,7.45,Compound,None,,
10,7.95,0,4.07,0.53,Impurity,Weak,,,38,6.19,0.3,2.2,6.72,Compound,None,,,66,5.03,0,1.93,0.32,Compound,None,,,94,4.66,0,2.38,0.67,Impurity,None,,,122,4.23,0,3.48,0.96,Impurity,None,,,150,3.66,0.2,2.84,6.38,Artifact,Weak,,,178,3.4,0.2,5.58,12.02,Artifact,Weak,,,206,3.02,0.1,1.94,2.1,Artifact,Weak,,,234,2.5,52.1,1.89,1271.55,Solvent,None,,,262,2.12,0.1,0.95,0.84,Compound,None,,,290,1.19,0,0.9,0.13,Compound,Weak,,,318,0.85,0.2,4.54,10.02,Compound,None,,
