,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.75,0,0.47,0.04,Artifact,Weak,,,26,3.94,0,0.33,0.03,Impurity,Weak,,,51,2.66,0.3,1.47,5.5,Solvent,Weak + C13_Sat,,,76,1.52,0,3.49,1.15,Compound,None,,,101,1.05,0.2,2.82,8.34,Compound,None,,
2,15.1,0,0.62,0.04,Artifact,Weak,,,27,3.74,0,3.34,0.37,Compound,None,,,52,2.66,0.1,1.45,2.28,Solvent,Weak + C13_Sat,,,77,1.52,0,10.53,1.39,Compound,None,,,102,1.04,0.2,2.58,6.42,Compound,None,,
3,14.97,0,0.56,0.04,Artifact,Weak,,,28,3.73,0,4.52,0.72,Compound,None,,,53,2.57,0,0.8,0.05,Artifact,Weak,,,78,1.5,0,4.2,1.43,Compound,None,,,103,1.03,0.3,2.78,8.99,Compound,None,,
4,11.12,0,0.6,0.05,Artifact,Weak,,,29,3.57,0,0.85,0.14,Compound,None,,,54,2.52,0.2,1.05,2.17,Artifact,Weak,,,79,1.49,0,3.24,0.99,Compound,None,,,104,1.03,0.2,2.31,5,Compound,None,,
5,8.13,0,1.56,0.1,Artifact,Weak,,,30,3.56,0,1.96,0.21,Compound,None,,,55,2.51,21.6,1.29,311.68,Solvent,None,,,80,1.46,0,1.16,0.09,Artifact,Weak,,,105,1.02,0,2.47,0.86,Compound,None,,
6,7.66,0,30.96,4.02,Compound,None,,,31,3.55,0,4.08,0.75,Compound,None,,,56,2.5,57,1.62,1184.95,Solvent,None,,,81,1.35,0,2.95,0.8,Compound,None,,,106,1,0,2.92,0.7,Compound,None,,
7,7.26,0.1,4.93,3.47,Compound,None,,,32,3.53,0,1.43,0.17,Compound,None,,,57,2.5,83.2,1.62,1703.15,Solvent,None,,,82,1.34,0,0.89,0.07,Artifact,Weak,,,107,0.99,0,1.05,0.13,Compound,Weak,,
8,7.24,0.4,2.52,14.16,Compound,None,,,33,3.5,0.5,2.45,14.02,Compound,None,,,58,2.5,54.9,1.53,1027.95,Solvent,None,,,83,1.33,0,4.55,0.39,Artifact,Weak,,,108,0.97,0,0.91,0.06,Artifact,Weak,,
9,7.16,0,1.4,0.14,Artifact,Weak,,,34,3.49,0,2.92,0.89,Compound,None,,,59,2.49,22.9,1.5,361.83,Solvent,None,,,84,1.32,0,2.02,0.14,Impurity,Weak,,,109,0.89,0,4.06,0.74,Compound,None,,
10,7.14,0.1,4.81,3.78,Compound,None,,,35,3.48,0.1,6.41,5.01,Artifact,Weak,,,60,2.42,0,0.58,0.04,Artifact,Weak,,,85,1.3,0,1.58,0.25,Impurity,None,,,110,0.86,0.1,3.08,2.3,Compound,None,,
11,7.11,0.5,2.35,14.51,Compound,None,,,36,3.46,0,2.72,0.5,Artifact,Weak,,,61,2.34,0.1,1.3,1.72,Solvent,Weak + C13_Sat,,,86,1.3,0,1.59,0.17,Impurity,None,,,111,0.86,0,0.9,0.23,Impurity,None,,
12,7.01,0.1,5.69,5.09,Compound,None,,,37,3.45,0,1.7,0.33,Artifact,Weak,,,62,2.33,0.3,1.61,6.41,Solvent,Weak + C13_Sat,,,87,1.27,0,8.03,2.27,Compound,None,,,112,0.85,0,2.38,0.79,Compound,None,,
13,6.99,0.4,2.45,13.83,Compound,None,,,38,3.45,0,3.43,1.56,Artifact,Weak,,,63,2.33,0.4,1.72,10.26,Solvent,Weak + C13_Sat,,,88,1.26,0,5.99,2.63,Compound,None,,,113,0.85,0,2.07,1.32,Compound,None,,
14,6.53,0,2.25,1.37,Compound,None,,,39,3.43,0,2.19,0.52,Artifact,Weak,,,64,2.32,0.3,1.6,6.22,Solvent,Weak + C13_Sat,,,89,1.25,0.1,5.09,6.98,Compound,None,,,114,0.84,0.1,34.52,26.08,Compound,None,,
15,6.52,0.4,2.11,11.45,Compound,None,,,40,3.42,0,1.47,0.48,Artifact,Weak,,,65,2.32,0.1,1.38,1.79,Solvent,Weak + C13_Sat,,,90,1.23,0.2,3.63,11.56,Compound,None,,,115,0.13,0,1.19,0.18,Impurity,None,,
16,6.22,0,2.86,0.2,Artifact,Weak,,,41,3.42,0.1,3.64,2.75,Artifact,Weak,,,66,2.23,0,1.86,0.6,Compound,None,,,91,1.22,0,7.39,1.68,Compound,None,,,116,0.09,0,0.87,0.13,Compound,Weak,,
17,5.97,0,1.22,0.1,Artifact,Weak,,,42,3.41,0,2.44,1.04,Artifact,Weak,,,67,2.22,0,1.26,0.12,Artifact,Weak,,,92,1.19,0,1.47,0.72,Compound,None,,,117,0.08,0.3,1.01,3.5,Compound,None,,
18,5.75,0,6.26,0.78,Compound,None,,,43,3.4,0,1.98,0.65,Artifact,Weak,,,68,2.21,0.1,2.11,1.59,Compound,None,,,93,1.17,0,1.81,0.13,Compound,Weak,,,118,0.07,0,0.81,0.09,Impurity,Weak,,
19,5.55,0,0.6,0.04,Artifact,Weak,,,44,3.23,0,105.29,11.49,Artifact,Weak,,,69,2.19,0,2.28,0.89,Compound,None,,,94,1.16,0,1.83,0.76,Compound,None,,,119,0.07,0,0.89,0.27,Compound,None,,
