,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.56,60.9,0.9,641.44,Artifact,Weak,,,30,2.21,967.5,2.12,26351.39,Compound,None,,
2,10.2,104,1.34,1955.59,Impurity,Weak,,,31,2.2,167.2,7.88,19184.91,Compound,None,,
3,7.25,1533.9,14.72,291650.06,Compound,None,,,32,2.19,509.6,2.2,14265.27,Compound,None,,
4,7.12,1614,17.37,381197.44,Compound,None,,,33,2.18,106.3,1.9,2006.55,Impurity,Weak,,
5,7,942.6,16.46,160817.66,Compound,None,,,34,2.13,94,0.96,916.74,Impurity,Weak,,
6,7,708.8,12.47,118140.16,Compound,None,,,35,2.12,75.8,1.06,896.6,Artifact,Weak,,
7,6.95,80.9,0.46,502.63,Artifact,Weak,,,36,2.08,150.4,1.16,2280.16,Impurity,Weak,,
8,6.8,135.4,1.56,2922.95,Impurity,Weak,,,37,2.07,510.6,1.16,7186.7,Compound,None,,
9,6.53,126.6,1.44,2661.68,Impurity,Weak,,,38,2.06,130.3,11.78,22354.44,Compound,None,,
10,6.52,579,1.45,10570.26,Impurity,None,,,39,2.04,150,2.36,4806.03,Compound,None,,
11,5.86,64.8,2.49,1565.03,Artifact,Weak,,,40,1.91,945.3,1.14,12732.36,Compound,None,,
12,5.84,60.7,0.9,704.21,Artifact,Weak,,,41,1.86,181.5,25.28,65543.82,Compound,None,,
13,5.26,148.5,7.13,14828.58,Compound,None,,,42,1.69,68,1.15,1004.21,Artifact,Weak,,
14,5.22,104.3,4.29,6388.73,Impurity,Weak,,,43,1.67,82.5,2.36,2841.64,Impurity,Weak,,
15,5.14,86.3,3.93,3375.11,Impurity,Weak,,,44,1.63,164,19.61,45935.85,Compound,None,,
16,5.11,96.4,4.71,4586.37,Impurity,Weak,,,45,1.57,66.6,0.89,726.38,Artifact,Weak,,
17,5.07,60,0.44,342.45,Artifact,Weak,,,46,1.56,111.6,2.61,2905.98,Compound,Weak,,
18,4.56,84.9,2.44,2644.31,Impurity,Weak,,,47,1.54,372.9,3.45,16275,Compound,None,,
19,4.42,65.5,7.75,5652.23,Artifact,Weak,,,48,1.52,659.9,4.16,35549.06,Compound,None,,
20,4.36,989.1,1.8,21940.85,Compound,None,,,49,1.5,736.6,4.63,48015.51,Compound,None,,
21,4.34,2346.8,1.9,54179.66,Compound,None,,,50,1.49,386.6,3.12,15068.66,Compound,None,,
22,4.33,1561.7,1.71,32503.92,Compound,None,,,51,1.44,69.6,1.68,1480.92,Artifact,Weak,,
23,4.32,139.1,3.14,5453.09,Compound,Weak,,,52,1.43,67.2,0.81,781.81,Artifact,Weak,,
24,4.31,296.7,1.85,7814.54,Impurity,None,,,53,1.36,137.6,2.13,4262.05,Impurity,Weak,,
25,4.29,145.3,3.29,6244.48,Impurity,Weak,,,54,1.32,78.5,1.09,826.56,Artifact,Weak,,
26,4.04,107,2.05,2148.9,Impurity,Weak,,,55,1.3,127.4,1.52,1887.29,Impurity,Weak,,
27,4.02,266.8,18.45,67984.83,Compound,None,,,56,1.28,125.1,1.18,2152.86,Impurity,Weak,,
28,3.95,587,10.06,83598.83,Compound,None,,,57,1.26,1140.7,22.2,368963.27,Compound,None,,
29,2.23,492.5,2.61,18361.74,Compound,None,,,58,1.25,1662,4.33,97233.43,Compound,None,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,59,1.23,3201.6,3.65,149873.95,Compound,None,,
,,,,,,,,,60,1.21,147.3,1.89,3970.99,Compound,Weak,,
,,,,,,,,,61,1.21,95.3,0.7,926.7,Impurity,Weak,,
,,,,,,,,,62,1.19,892.2,1.56,17017.09,Compound,None,,
,,,,,,,,,63,1.17,97,1.64,2072.54,Impurity,Weak,,
,,,,,,,,,64,1.16,330.3,1.83,7461.94,Compound,None,,
,,,,,,,,,65,1.15,634.1,3.16,24186.63,Compound,None,,
,,,,,,,,,66,1.11,203.9,1.81,5204.95,Impurity,Weak,,
,,,,,,,,,67,1.09,86.9,1.39,1759.79,Impurity,Weak,,
,,,,,,,,,68,1.07,4532.2,1.22,66266.33,Compound,None,,
,,,,,,,,,69,1.05,9559.5,1.27,156903.74,Compound,None,,
,,,,,,,,,70,1.05,5812.1,2.55,181223.04,Compound,None,,
,,,,,,,,,71,1.04,8932.6,1.88,211458.72,Compound,None,,
,,,,,,,,,72,1.04,5597.7,1.43,98118.02,Compound,None,,
,,,,,,,,,73,1.03,6289.3,2.37,168583.81,Compound,None,,
,,,,,,,,,74,1.03,8464.3,1.75,188461.34,Compound,None,,
,,,,,,,,,75,1.02,949.2,2.86,32115.76,Compound,None,,
,,,,,,,,,76,1,496.3,2.65,16448.55,Compound,None,,
,,,,,,,,,77,0.89,201.2,2.91,6504.22,Impurity,None,,
,,,,,,,,,78,0.86,940.5,2.5,31664.27,Compound,None,,
,,,,,,,,,79,0.86,334.5,1.23,3866.1,Compound,None,,
,,,,,,,,,80,0.85,513,2.7,17655.25,Compound,None,,
,,,,,,,,,81,0.85,794.9,2.2,20068.83,Compound,None,,
,,,,,,,,,82,0.84,222.8,2.28,7327.87,Compound,None,,
,,,,,,,,,83,0.08,79,1.57,1768.31,Artifact,Weak,,
,,,,,,,,,84,0.07,337,2.36,8456.67,Impurity,None,,
,,,,,,,,,85,-0.98,67.3,0.62,522.6,Artifact,Weak,,
