,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.72,107.1,1.28,1818.68,Impurity,Weak,,,22,2.13,92.4,1.37,1248.31,Impurity,Weak,,
2,10.2,470.3,1.49,8642.98,Impurity,None,,,23,2.12,78.5,1.14,1054.88,Artifact,Weak,,
3,8.14,107.9,4.07,4881.42,Impurity,Weak,,,24,2.08,74.7,1.09,766.42,Artifact,Weak,,
4,7.66,92,78.12,94644.32,Compound,None,,,25,2.04,574.2,3.41,27916.43,Compound,None,,
5,7.29,149.9,99.67,217734,Compound,None,,,26,2.03,183.7,63.15,109079.86,Compound,None,,
6,7.24,167.5,19.34,40285.72,Compound,None,,,27,2.01,235.4,5.79,18367.94,Compound,None,,
7,7.22,1040.1,13.25,177102.67,Compound,None,,,28,1.91,1307.5,1.53,26156.1,Compound,None,,
8,7.1,1085.3,16.74,245904.32,Compound,None,,,29,1.9,135.5,3.34,6284.29,Compound,None,,
9,7.09,148.9,3.69,6121.71,Compound,None,,,30,1.89,125.2,5.25,7935.17,Compound,None,,
10,6.97,1002.9,14.98,188436.25,Compound,None,,,31,1.87,95.3,6.77,6200.62,Impurity,Weak,,
11,6.97,140.4,5.16,6931.79,Compound,None,,,32,1.85,278.7,29.7,100645.18,Compound,None,,
12,6.52,770.9,1.74,16425.99,Compound,None,,,33,1.57,89.2,1.89,2460.53,Impurity,Weak,,
13,5.22,63.7,0.92,796.46,Artifact,Weak,,,34,1.52,502,16.36,107570.03,Compound,None,,
14,4.49,111.3,28.12,41989.28,Compound,None,,,35,1.5,249.2,5.04,15865.69,Compound,None,,
15,4.42,280.5,12.09,34637.08,Compound,None,,,36,1.49,351.7,11.04,55480.93,Compound,None,,
16,4.36,76.3,1.28,1425.45,Artifact,Weak,,,37,1.41,1462.6,3.43,59558.23,Compound,None,,
17,4.34,107.1,2.29,3006.51,Impurity,Weak,,,38,1.39,1449.2,5.47,107874.53,Compound,None,,
18,4.33,68.9,2.83,2400.74,Artifact,Weak,,,39,1.37,211,7.91,22776.49,Compound,None,,
19,4.13,96,6.52,6711.11,Impurity,Weak,,,40,1.35,151.2,2.3,4515.74,Compound,None,,
20,2.19,214.3,2.25,7019.57,Compound,None,,,41,1.32,172.9,5.54,11252.64,Impurity,None,,
21,2.18,148.7,9.8,21217.09,Compound,None,,,42,1.3,96.4,1.07,1501.12,Impurity,Weak,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,43,1.24,3285.7,9.37,428952.3,Compound,None,,
,,,,,,,,,44,1.23,1529,4.24,85711.96,Compound,None,,
,,,,,,,,,45,1.21,170.2,69.72,172868.88,Compound,None,,
,,,,,,,,,46,1.18,119.5,2.24,3906.46,Compound,Weak + C13_Sat,,
,,,,,,,,,47,1.16,123.9,2.6,3541.48,Compound,None,,
,,,,,,,,,48,1.14,424.6,4.23,24559.23,Compound,None,,
,,,,,,,,,49,1.08,153.6,3.01,4340.27,Artifact,Weak,,
,,,,,,,,,50,1.07,145.1,1.26,2091.9,Artifact,Weak,,
,,,,,,,,,51,1.04,11775.3,3.39,420929.82,Compound,None,,
,,,,,,,,,52,1.03,15527,5.25,1043611.63,Compound,None,,
,,,,,,,,,53,1.02,2579.9,4.14,141456.88,Compound,None,,
,,,,,,,,,54,1,2227.3,3.94,121447.68,Compound,None,,
,,,,,,,,,55,0.98,341.3,22.7,96860.4,Compound,None,,
,,,,,,,,,56,0.87,159.8,3.34,5027.45,Compound,Weak + C13_Sat,,
,,,,,,,,,57,0.85,657.8,3.97,37163.44,Compound,None,,
,,,,,,,,,58,0.84,736,85.4,805529.5,Compound,None,,
,,,,,,,,,59,0.84,420,3.92,23972.13,Compound,None,,
,,,,,,,,,60,0.83,373.4,16.03,85123.28,Compound,None,,
,,,,,,,,,61,0.13,131.5,1.22,1900.25,CS Reference,Weak,,
,,,,,,,,,62,0.08,2042.8,1.4,36590.24,CS Reference,None,,
,,,,,,,,,63,0.07,277.6,7.31,28360.56,CS Reference,None,,
