,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.81,0,0.82,0.07,Artifact,Weak,,,31,3.46,0.1,3.73,4.53,Artifact,Weak,,,61,2.32,0.3,2.16,7.68,Solvent,Weak + C13_Sat,,,91,1.32,0,3.46,1,Compound,None,,
2,13.05,0,0.6,0.04,Artifact,Weak,,,32,3.45,0.2,4.04,9.39,Artifact,Weak,,,62,2.32,0.1,1.86,2.28,Solvent,Weak + C13_Sat,,,92,1.31,0,0.51,0.04,Artifact,Weak,,
3,12.95,0,1.06,0.09,Artifact,Weak,,,33,3.43,0.2,51.2,134.26,Artifact,Weak,,,63,2.3,0,8.58,2.05,Compound,None,,,93,1.3,0,3.16,0.81,Compound,None,,
4,11.85,0,0.94,0.06,Artifact,Weak,,,34,3.42,0.2,4.81,14.76,Artifact,Weak,,,64,2.28,0,4.66,2.02,Compound,None,,,94,1.3,0,1.23,0.12,Artifact,Weak,,
5,10.21,0,0.42,0.03,Artifact,Weak,,,35,3.42,0.1,3.12,4.83,Artifact,Weak,,,65,2.28,0,3.17,0.49,Compound,None,,,95,1.28,0,1.86,0.41,Compound,None,,
6,7.62,0,37.68,10.29,Compound,None,,,36,3.41,0.1,4.03,7.21,Artifact,Weak,,,66,2.26,0,5.59,1.31,Compound,None,,,96,1.27,0,12.69,7.59,Compound,None,,
7,7.22,0,9.84,5.45,Compound,None,,,37,3.4,0.1,3.2,3.69,Artifact,Weak,,,67,2.23,0,2.45,1.26,Compound,None,,,97,1.26,0,5.67,2.6,Compound,None,,
8,7.11,0,1.59,0.17,Impurity,Weak,,,38,3.38,0.1,14.17,28.4,Artifact,Weak,,,68,2.21,0.1,2.57,3,Compound,None,,,98,1.25,0.3,4.91,17.85,Compound,None,,
9,7.09,0,8.45,4.55,Compound,None,,,39,3.24,0,2.05,0.22,Artifact,Weak,,,69,2.19,0,2.52,1.47,Compound,None,,,99,1.23,0.2,4.46,13.27,Compound,None,,
10,6.98,0,16.08,2.13,Compound,None,,,40,3.23,0,2.58,0.54,Artifact,Weak,,,70,2.18,0,3.52,0.32,Compound,Weak,,,100,1.18,0,1.18,0.11,Artifact,Weak,,
11,6.96,0,8.14,3.45,Compound,None,,,41,3.21,0,3.65,1.01,Artifact,Weak,,,71,2.16,0,1.66,0.18,Impurity,Weak,,,101,1.15,0,3.61,1.67,Compound,None,,
12,6.53,0,1.78,0.24,Compound,Weak,,,42,3.2,0,1.07,0.15,Artifact,Weak,,,72,2.11,0,78.4,11.83,Compound,None,,,102,1.12,0,0.75,0.09,Artifact,Weak,,
13,6.52,0.1,2.04,2.48,Compound,None,,,43,3.19,0,1.99,0.2,Artifact,Weak,,,73,2.08,0,1.49,0.62,Compound,None,,,103,1.11,0.1,1.85,1.88,Compound,None,,
14,5.25,0,17.72,0.98,Artifact,Weak,,,44,2.93,0,13.37,0.93,Artifact,Weak,,,74,2.06,0,22.43,5.4,Compound,None,,,104,1.1,0,2.32,0.3,Artifact,Weak,,
15,4.6,0,0.7,0.05,Artifact,Weak,,,45,2.78,0,12.57,2.24,Compound,None,,,75,2.04,0,4.54,1.68,Compound,None,,,105,1.09,0,0.78,0.08,Artifact,Weak,,
16,4.41,0,8.59,2.68,Compound,None,,,46,2.76,0,21.19,5.46,Compound,None,,,76,2.01,0,3.69,0.49,Impurity,None,,,106,1.08,0,1.96,0.44,Artifact,Weak,,
17,4.4,0,2,0.37,Compound,None,,,47,2.68,0.1,1.52,1.46,Solvent,Weak + C13_Sat,,,77,1.93,0,6.97,0.48,Artifact,Weak,,,107,1.04,1.7,3.7,69.87,Compound,None,,
18,4.13,0,6.55,0.61,Compound,None,,,48,2.67,0.2,2.09,6.68,Solvent,Weak + C13_Sat,,,78,1.91,0.1,1.52,1.8,Compound,None,,,108,1.03,1.8,4.38,98.07,Compound,None,,
19,3.66,0,4.79,1.02,Compound,None,,,49,2.67,0.4,2.49,12.57,Solvent,Weak + C13_Sat,,,79,1.87,0,30.44,7.93,Compound,None,,,109,1.02,0.2,2.6,5.19,Compound,None,,
20,3.65,0,3.82,0.89,Compound,None,,,50,2.66,0.2,1.95,5.94,Solvent,Weak + C13_Sat,,,80,1.65,0,3.88,0.62,Compound,None,,,110,1,0.2,2.91,5.86,Compound,None,,
21,3.64,0,3.32,0.46,Compound,None,,,51,2.66,0.1,1.83,2.48,Solvent,Weak + C13_Sat,,,81,1.63,0,3.26,0.39,Compound,None,,,111,0.99,0,1.2,0.11,Artifact,Weak,,
22,3.62,0,1.36,0.17,Impurity,Weak,,,52,2.52,0,1.13,0.6,Artifact,Weak,,,82,1.61,0,3.13,0.26,Artifact,Weak,,,112,0.89,0,3.4,0.84,Compound,None,,
