,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,7.94,0,3.4,0.74,Impurity,None,,,28,4.93,0,4.87,2.46,Compound,None,,,55,4.35,0.3,5.68,19.11,Compound,None,,,82,3.51,0,2.94,1.28,Artifact,Weak,,,109,3,0.1,5.17,4.75,Artifact,Weak,,,136,1.81,0,5.35,1.61,Impurity,None,,
2,7.33,0,461.62,259.46,Compound,None,,,29,4.91,0.2,5.28,11.57,Compound,None,,,56,4.33,0.3,5.34,19.22,Compound,None,,,83,3.49,0.2,9.63,22.36,Artifact,Weak,,,110,2.98,0,3.46,0.79,Artifact,Weak,,,137,1.77,0,3.82,1.27,Impurity,None,,
3,7.25,0.1,116.94,57.26,Compound,None,,,30,4.9,0.3,4.12,13.58,Compound,None,,,57,4.32,0.1,7,12.27,Compound,None,,,84,3.48,0.2,11.35,36.67,Artifact,Weak,,,111,2.91,0.1,3.81,2.64,Artifact,Weak,,,138,1.75,0,2.26,0.37,Impurity,Weak,,
4,7.14,0,3.88,1.05,Impurity,None,,,31,4.89,0.1,3.97,6.83,Compound,None,,,58,4.28,0.1,3.24,4.73,Compound,None,,,85,3.47,0.1,4.18,5.06,Artifact,Weak,,,112,2.9,0.1,3.79,3.1,Artifact,Weak,,,139,1.51,0.1,26.91,22.14,Compound,None,,
5,7.1,0,11.22,2.66,Compound,None,,,32,4.88,0.3,3.97,14.68,Compound,None,,,59,4.26,0.2,4.37,13.08,Compound,None,,,86,3.45,0.2,11.83,36.88,Artifact,Weak,,,113,2.89,0.1,5.16,7.39,Artifact,Weak,,,140,1.27,0.1,108.32,186.89,Compound,None,,
6,7.02,0.1,110.23,96.42,Compound,None,,,33,4.87,0.3,3.97,15.7,Compound,None,,,60,4.25,0.1,3.53,5.96,Compound,None,,,87,3.44,0.1,5,6.71,Artifact,Weak,,,114,2.87,0.1,4.21,6.48,Compound,None,,,141,1.24,0.3,7.82,35.56,Compound,None,,
7,6.67,0,13.54,1.97,Artifact,Weak,,,34,4.85,0.1,11.61,8.94,Compound,None,,,61,4.22,0,13.64,2.62,Compound,Weak,,,88,3.42,0.3,5.17,20.01,Artifact,Weak,,,115,2.87,0,3.97,2.61,Compound,None,,,142,1.23,0.2,4.67,10.97,Compound,None,,
8,6.57,0.3,3.65,12.01,Compound,None,,,35,4.82,0.7,4.56,39.94,Compound,None,,,62,4.2,0,1.22,0.15,Artifact,Weak,,,89,3.4,0.2,3.59,6.25,Artifact,Weak,,,116,2.85,0,4.19,2.39,Compound,None,,,143,1.14,0.1,6.84,6.59,Compound,None,,
9,6.55,0.3,3.6,11.88,Compound,None,,,36,4.81,0.7,4.2,34.99,Compound,None,,,63,4.13,0.1,5.33,4.15,Compound,None,,,90,3.24,0.1,8.29,7.76,Artifact,Weak,,,117,2.76,0,15.39,3.64,Artifact,Weak,,,144,1.13,0,3.51,0.93,Compound,Weak,,
10,6.52,0.1,4.07,6.63,Compound,None,,,37,4.76,0.5,5.34,34.19,Compound,None,,,64,4.12,0,5.11,2.29,Compound,None,,,91,3.23,0.1,3.5,4.28,Artifact,Weak,,,118,2.67,0.5,7.07,44.08,Solvent,Weak + C13_Sat,,,145,1.11,0.1,15.99,22.15,Compound,None,,
