,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0,1.8,0.15,Impurity,Weak,,,30,3.66,0,6.13,1.07,Compound,None,,,59,2.72,0,7.23,3.68,Compound,None,,,88,2.19,0.1,2.2,1.55,Compound,None,,,117,1.27,0.1,6.44,4.12,Compound,None,,
2,9.5,0,0.49,0.04,Artifact,Weak,,,31,3.65,0,5.16,0.94,Compound,None,,,60,2.72,0,1.74,0.25,Impurity,None,,,89,2.18,0,0.77,0.04,Artifact,Weak,,,118,1.25,0.4,5.65,29.14,Compound,None,,
3,8.95,0,22.94,2.47,Compound,None,,,32,3.63,0,1.2,0.19,Compound,None,,,61,2.71,0,3.73,0.97,Compound,None,,,90,2.18,0,3.43,0.7,Compound,None,,,119,1.23,0.2,3.76,11.07,Compound,None,,
4,8.13,0,1.58,0.17,Impurity,Weak,,,33,3.63,0,0.66,0.06,Artifact,Weak,,,62,2.68,0.1,1.55,1.8,Solvent,Weak + C13_Sat,,,91,2.14,0,23.87,3.24,Compound,None,,,120,1.18,0,2.38,0.2,Impurity,Weak,,
5,7.62,0,36.79,12.16,Compound,None,,,34,3.57,0.1,1.43,0.98,Artifact,Weak,,,63,2.67,0.3,2.07,6.91,Solvent,Weak + C13_Sat,,,92,2.08,0,1.22,0.68,Compound,None,,,121,1.15,0,3.58,1.84,Compound,None,,
6,7.49,0,1.17,0.13,Impurity,Weak,,,35,3.57,0,0.92,0.05,Artifact,Weak,,,64,2.67,0.4,2.1,11.29,Solvent,Weak + C13_Sat,,,93,2.07,0,18.52,6.32,Compound,None,,,122,1.13,0,1.19,0.11,Artifact,Weak,,
7,7.24,0,6.11,2.23,Compound,None,,,36,3.53,0,3.63,0.33,Artifact,Weak,,,65,2.66,0.3,1.86,6.18,Solvent,Weak + C13_Sat,,,94,2.06,0,6.97,0.81,Compound,None,,,123,1.11,0.1,1.44,1.79,Compound,None,,
8,7.22,0.3,4.65,20.17,Compound,None,,,37,3.52,0,2.39,0.96,Artifact,Weak,,,66,2.66,0.1,1.56,1.75,Solvent,Weak + C13_Sat,,,95,2.04,0,5.56,1.78,Compound,None,,,124,1.08,0,1.48,0.13,Artifact,Weak,,
9,7.12,0,7.96,4.8,Compound,None,,,38,3.51,0.1,4.1,5.54,Artifact,Weak,,,67,2.56,0,22.15,12.11,Artifact,Weak,,,96,1.91,0.1,1.42,1.57,Compound,None,,,125,1.04,1.8,3.73,72.2,Compound,None,,
10,7.09,0.3,4.09,17.71,Compound,None,,,39,3.49,0.2,5.25,17.34,Artifact,Weak,,,68,2.55,0,1.08,0.14,Artifact,Weak,,,97,1.89,0,19.59,4.08,Compound,None,,,126,1.03,1.8,3.81,78.2,Compound,None,,
11,6.99,0.1,8.65,6.03,Compound,None,,,40,3.48,0.2,3.96,11.24,Artifact,Weak,,,69,2.52,0.1,0.86,0.61,Artifact,Weak,,,98,1.86,0,25.07,8.81,Compound,None,,,127,1.02,0.2,2.39,5.06,Compound,None,,
12,6.97,0.3,4.36,18.02,Compound,None,,,41,3.46,0.1,2.99,4.11,Artifact,Weak,,,70,2.51,20.1,1.68,358.87,Solvent,None,,,99,1.77,0,3.31,0.27,Artifact,Weak,,,128,1,0,2.51,1.27,Compound,Weak,,
13,6.75,0,0.48,0.03,Artifact,Weak,,,42,3.44,0.3,4.42,14.09,Artifact,Weak,,,71,2.5,49.7,1.86,1140.95,Solvent,None,,,100,1.64,0,15.16,4.13,Compound,None,,,129,1,0.2,2.15,4.49,Compound,None,,
14,6.52,0.1,2.09,3.39,Compound,None,,,43,3.43,0,2.13,0.87,Artifact,Weak,,,72,2.5,80.2,2.1,2189.59,Solvent,None,,,101,1.56,0,3.13,0.42,Compound,None,,,130,0.99,0,1.34,0.18,Artifact,Weak,,
15,5.32,0,1.81,0.15,Artifact,Weak,,,44,3.42,0.2,3.74,9.8,Artifact,Weak,,,73,2.5,50.1,1.97,1238.26,Solvent,None,,,102,1.54,0,2.24,0.55,Compound,None,,,131,0.89,0,1.55,0.21,Compound,Weak,,
16,5.26,0,11.64,1.72,Compound,None,,,45,3.42,0.2,3.88,9.33,Artifact,Weak,,,74,2.49,17.5,1.49,282.96,Solvent,None,,,103,1.54,0,3.64,1.57,Compound,None,,,132,0.87,0.1,9.57,8.9,Compound,None,,
