,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.35,51.5,0.79,579.2,Artifact,Weak,,,28,6.65,80.9,1.76,1875.15,Impurity,Weak,,,,,,,,,,,,82,4.75,5488,3.54,222467.97,Compound,None,,,109,4.35,3299.8,3.02,126873.93,Compound,None,,,136,1.49,198.1,22.51,56081.98,Compound,None,,,163,0.99,58.1,3.23,1851.03,Artifact,Weak,,
2,12.09,55.4,234.51,189207.85,Artifact,Weak,,,29,6.57,4456,1.48,82202.34,Compound,None,,,,,,,,,,,,83,4.74,2985.3,2.64,106114.16,Compound,None,,,110,4.34,3668.7,2.96,144043.52,Compound,None,,,137,1.37,267,267.12,882999.52,Compound,None,,,164,0.98,139.5,1.37,2656.55,Compound,Weak,,
3,11.07,1018.5,1.08,13444.02,Compound,None,,,30,6.55,4495.7,1.46,82325.61,Compound,None,,,,,,,,,,,,84,4.72,394.7,2.9,15323.34,Compound,None,,,111,4.33,523,1.72,11788.05,Compound,None,,,138,1.36,196.3,21.35,39424.13,Compound,None,,,165,0.97,108,1.09,1643.91,Impurity,Weak,,
4,10.22,918.4,0.84,9561.61,Compound,None,,,31,6.55,93.2,1.05,945.23,Impurity,Weak,,,,,,,,,,,,85,4.71,144.5,2.29,4447.82,Compound,None,,,112,4.33,1337.5,2.78,48075.08,Compound,None,,,139,1.36,246,1.49,4911.55,Compound,None,,,166,0.97,71,0.79,615.08,Impurity,Weak,,
5,9.66,64,1.42,1263.72,Artifact,Weak,,,32,6.53,195.7,1.62,4230.23,Compound,None,,,,,,,,,,,,86,4.71,67.2,1.27,1245.8,Impurity,Weak,,,113,4.31,157,2.02,3962.96,Compound,None,,,140,1.3,55.8,2.11,1397.65,Artifact,Weak,,,167,0.91,207.5,0.92,2131.11,Impurity,Weak,,
6,9.65,179.7,1.49,3614.38,Impurity,None,,,33,6.52,2297.6,1.38,38736.67,Compound,None,,,,,,,,,,,,87,4.7,73.3,1.66,1643.23,Impurity,Weak,,,114,4.31,110,4.24,6564.55,Compound,None,,,141,1.27,540,157.24,1167788.44,Compound,None,,,168,0.9,244.6,0.94,3031.57,Compound,None,,
7,9.65,168.6,0.8,1729.34,Impurity,Weak,,,34,6.33,68,1.66,1649.77,Impurity,Weak,,,,,,,,,,,,88,4.67,49.3,0.72,384.19,Artifact,Weak,,,115,4.29,74.6,1.43,1015.24,Impurity,Weak,,,142,1.25,665.9,24.3,235752.04,Compound,None,,,169,0.89,468.5,12.29,81762.13,Compound,None,,
8,9.21,60.5,0.79,611.48,Artifact,Weak,,,35,6.27,60.9,1.41,1194.13,Artifact,Weak,,,,,,,,,,,,89,4.66,206.1,2.66,7409.71,Compound,None,,,116,4.28,2064.8,1.48,38379.86,Compound,None,,,143,1.24,991.1,6.08,78265.31,Compound,None,,,170,0.87,554.6,6.23,43182.8,Compound,None,,
9,8.13,1503.2,2.26,44837.05,Compound,None,,,36,6.26,56.1,1.72,1102.49,Artifact,Weak,,,,,,,,,,,,90,4.65,279,10.08,36819.32,Compound,None,,,117,4.26,2717.7,2.75,81965.28,Compound,None,,,144,1.23,1737.3,3.42,79699.15,Compound,None,,,171,0.86,1017.2,2.77,38966.43,Compound,None,,
10,7.98,84.8,6.78,7533.59,Compound,None,,,37,6.23,50.6,0.85,447.45,Artifact,Weak,,,,,,,,,,,,91,4.62,1808,2.57,63032.3,Compound,None,,,118,4.25,2207.4,1.72,49266.33,Compound,None,,,145,1.21,179.9,5.9,15110,Compound,None,,,172,0.85,1196.3,3.37,48637.24,Compound,None,,
11,7.95,73.9,4.63,4436.58,Impurity,Weak,,,38,6.2,2110.8,2.22,52098.75,Compound,None,,,,,,,,,,,,92,4.61,1822.4,2.57,60766.22,Compound,None,,,119,4.23,246.5,2.77,8568.42,Impurity,None,,,146,1.16,71.7,0.93,801.73,Impurity,Weak,,,173,0.85,1329.3,3.69,65856.46,Compound,None,,
12,7.94,135.3,1.42,2344.39,Impurity,Weak,,,39,6.19,2104.2,2.09,45820.31,Compound,None,,,,,,,,,,,,93,4.59,3197.6,2.07,84707.18,Compound,None,,,120,4.22,117.2,2.37,3862.49,Impurity,Weak,,,147,1.14,446.2,3.74,20858.45,Compound,None,,,174,0.84,1129.7,4.21,62143,Compound,None,,
13,7.89,57.8,1.1,736.54,Artifact,Weak,,,40,6.14,63.6,3.27,1955.94,Artifact,Weak,,,,,,,,,,,,94,4.57,3282.9,2.08,84784.99,Compound,None,,,121,4.21,128.7,2.91,5356.48,Impurity,None,,,148,1.13,92.1,1.75,2342.37,Compound,Weak,,,175,0.83,588,3.67,29522.21,Compound,None,,
14,7.87,78.6,1.21,1189.37,Impurity,Weak,,,41,6.13,85.3,1.7,2091.86,Impurity,Weak,,,,,,,,,,,,95,4.56,96.6,2.39,2214.2,Compound,Weak,,,122,4.18,116.6,1.31,1746.8,Impurity,Weak,,,149,1.12,111,1.26,1941.73,Compound,Weak,,,176,0.82,576.2,5.19,41517.56,Compound,None,,
15,7.69,96.7,3.41,3628.48,Impurity,Weak,,,42,6.11,62.1,2.81,1644.78,Artifact,Weak,,,,,,,,,,,,96,4.54,51.1,0.8,575.71,Artifact,Weak,,,123,4.16,67,4.27,3887.11,Impurity,Weak,,,150,1.11,1767.2,1,23157.31,Compound,None,,,177,0.81,492.8,7.91,49946.53,Compound,None,,
16,7.27,98.9,19.22,19747.81,Compound,None,,,43,6.1,121.3,1.93,2557.65,Impurity,Weak,,,,,,,,,,,,97,4.51,125.7,2.97,4593.64,Compound,None,,,124,4.13,182.9,3.93,7423.27,Compound,None,,,151,1.09,91,1.77,1573.38,Compound,Weak,,,178,0.8,239.8,4.3,14151.05,Compound,None,,
17,7.24,52.6,10.8,8282.15,Artifact,Weak,,,44,6.08,53.4,1.4,1046.15,Artifact,Weak,,,,,,,,,,,,98,4.49,346.6,3.32,13899.15,Compound,None,,,125,4.12,132.4,2.64,4613.87,Compound,None,,,152,1.09,1410,1.22,22928.48,Compound,None,,,179,0.79,119.3,1.85,2941.73,Compound,Weak,,
18,7.22,1311.2,22.64,321004.53,Compound,None,,,45,5.78,124.8,3.52,5734.9,Impurity,None,,,,,,,,,,,,99,4.48,1571.6,2.45,49504.09,Compound,None,,,126,4.12,166.6,3.44,6765.21,Compound,None,,,153,1.07,1113.5,1.23,15936.84,Compound,None,,,180,0.79,241.9,1.47,4732.37,Compound,None,,
19,7.15,103.2,1.31,1584.37,Impurity,Weak,,,46,5.77,72.4,1.63,1292.2,Impurity,Weak,,,,,,,,,,,,100,4.47,2966.6,2.45,92397.72,Compound,None,,,127,4.11,101.8,2.33,2570.52,Impurity,Weak,,,154,1.07,5480,0.87,61043.41,Compound,None,,,181,0.78,282.4,2.28,8882.33,Compound,None,,
20,7.1,1776.2,36.4,932113,Compound,None,,,47,5.75,131.3,2.86,4818.75,Impurity,None,,,,,,,,,,,,101,4.45,1479,2.56,50667.49,Compound,None,,,128,1.91,8838.2,0.94,97677.39,Compound,None,,,155,1.05,11093.4,0.82,112730.43,Compound,None,,,182,0.78,114,2.18,2994.66,Compound,Weak,,
21,6.98,1339.2,23.07,360710.96,Compound,None,,,48,5.46,98.6,5.52,5919.53,Impurity,Weak,,,,,,,,,,,,102,4.44,1661.3,2.2,46456.55,Compound,None,,,129,1.91,107.9,19,23595.56,Compound,None,,,156,1.05,2367.1,2.7,90415.86,Compound,None,,,183,0.77,75.2,2.13,1928.21,Compound,Weak,,
22,6.84,151.2,1.57,3386.54,Impurity,None,,,49,5.44,84,2.01,2400.93,Compound,None,,,,,,,,,,,,103,4.43,1801.5,2.32,53995.3,Compound,None,,,130,1.84,186.1,23.65,51460.63,Compound,None,,,157,1.04,6799.7,1.26,120677.83,Compound,None,,,184,0.76,217.6,3.56,10217.81,Compound,None,,
23,6.82,140.5,1.48,2817.1,Impurity,Weak,,,50,5.42,121.3,4.98,8811.22,Compound,None,,,,,,,,,,,,104,4.41,253.6,3.42,10813.36,Compound,None,,,131,1.82,185,1.69,3975.04,Compound,None,,,158,1.04,5735.9,0.9,62381.79,Compound,None,,,185,0.74,172.2,5.7,13971.29,Compound,None,,
24,6.8,63.1,6.75,4449.34,Artifact,Weak,,,51,5.41,119.5,5.94,9758.94,Compound,None,,,,,,,,,,,,105,4.39,256.4,3.12,10295.58,Compound,None,,,132,1.81,92.7,3.77,4386.55,Impurity,Weak,,,159,1.03,7091.5,1.44,142160.72,Compound,None,,,186,0.73,171.8,1.78,4084.61,Compound,None,,
25,6.7,66.9,0.9,878.58,Impurity,Weak,,,52,5.37,77.5,1.46,1645.18,Impurity,Weak,,,,,,,,,,,,106,4.38,121.5,2.79,4247,Compound,None,,,133,1.77,326.8,2.81,9551,Compound,None,,,160,1.02,476.1,2.18,14244.4,Compound,None,,,187,0.71,120.2,2.6,3678.25,Impurity,Weak,,
26,6.68,58.4,3.71,2034,Artifact,Weak,,,53,5.32,202,8.29,22118.42,Compound,None,,,,,,,,,,,,107,4.36,1502.5,2.19,42566.54,Compound,None,,,134,1.75,514.1,1.38,7986.41,Compound,None,,,161,1.01,133.8,4.38,7313.1,Compound,None,,,188,0.07,107.4,2.47,3700.06,Impurity,Weak,,
27,6.67,107.2,2.3,3333.61,Impurity,Weak,,,54,5.3,60.4,1,854.98,Artifact,Weak,,,,,,,,,,,,108,4.36,756.4,2.49,25616.26,Compound,None,,,135,1.52,125.4,23.15,34450.03,Compound,None,,,162,1,202.5,2.32,4569.78,Compound,None,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,55,5.23,126.7,2.66,4859.7,Impurity,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,5.22,91.8,4.5,4456.79,Impurity,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,57,5.16,66,1,859.41,Artifact,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,58,5.15,57.6,1.55,1208.2,Artifact,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,59,5.11,416,5.73,32855.56,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60,5.1,337.5,3.96,19008.98,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,61,5.08,199.6,8.2,21342.97,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,62,5.07,124.3,2.42,4147.72,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,63,5.04,54.4,1.95,998.6,Artifact,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,64,5.01,194.1,11.8,29339.22,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,65,4.97,97.9,4.71,5352.98,Impurity,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66,4.96,98,4.23,5461.93,Compound,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,67,4.94,260.2,3.28,12423.48,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,4.93,305.7,2.2,8874.41,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,69,4.92,266.4,2.1,6972.12,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,70,4.91,1354.4,2.2,37843.32,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,71,4.9,2117,2.73,70495.02,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,4.89,1325.8,1.87,26857.2,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,73,4.88,3289.6,2.13,84844.62,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,74,4.87,3438.9,2.32,103459.34,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75,4.85,345.6,5.64,28413.3,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,76,4.84,307.8,3.51,15347.44,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,77,4.82,8993,2.23,248728.62,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,78,4.81,9400.2,2.29,260391.04,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,79,4.8,193.1,2.41,5481.96,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,4.78,226.3,2.91,8815.07,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
