,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.87,0,0.69,0.05,Artifact,Weak,,,29,3.46,0.1,3.98,3.56,Artifact,Weak,,,57,2.5,49.3,1.94,1213.97,Solvent,None,,,85,1.32,0,2.37,0.2,Artifact,Weak,,
2,10.52,0,0.69,0.06,Artifact,Weak,,,30,3.46,0,2.55,1.24,Artifact,Weak,,,58,2.5,79.3,2.12,2187.89,Solvent,None,,,86,1.3,0,7.12,0.96,Impurity,Weak,,
3,10.51,0,0.5,0.04,Artifact,Weak,,,31,3.45,0.1,1.55,2.2,Artifact,Weak,,,59,2.5,51.2,1.92,1243.05,Solvent,None,,,87,1.28,0,1.4,0.24,Compound,Weak,,
4,10.2,0,1.51,0.85,Impurity,None,,,32,3.45,0.1,3.81,7.14,Artifact,Weak,,,60,2.49,18,1.41,270.87,Solvent,None,,,88,1.27,0,10.53,2.17,Compound,None,,
5,7.08,1.2,22.13,359.67,Compound,None,,,33,3.44,0.2,2.64,6.97,Artifact,Weak,,,61,2.34,0.1,1.38,1.44,Solvent,Weak + C13_Sat,,,89,1.26,0,3.46,1.49,Compound,None,,
6,6.52,0,2.03,0.81,Impurity,None,,,34,3.44,0.1,1.45,2.2,Artifact,Weak,,,62,2.33,0.3,2.07,6.78,Solvent,Weak + C13_Sat,,,90,1.24,0.5,3.97,28.53,Compound,None,,
7,4.96,0,289.35,154.99,Compound,None,,,35,3.42,0.3,2.63,10.76,Artifact,Weak,,,63,2.33,0.4,2.1,11.47,Solvent,Weak + C13_Sat,,,91,1.23,0.3,3.06,10.4,Compound,None,,
8,4.49,0,31.75,4.19,Compound,None,,,36,3.42,0.2,2.8,5.99,Artifact,Weak,,,64,2.32,0.3,1.94,6.77,Solvent,Weak + C13_Sat,,,92,1.21,0,1.27,0.09,Artifact,Weak,,
9,4.41,0,12.47,2.65,Compound,None,,,37,3.41,0.2,3.34,6.23,Artifact,Weak,,,65,2.32,0.1,1.47,1.6,Solvent,Weak + C13_Sat,,,93,1.19,0,2.27,0.14,Artifact,Weak,,
10,4.36,0.1,1.96,1.77,Compound,None,,,38,3.38,0.3,90.1,369.92,Artifact,Weak,,,66,2.3,0,2.04,0.36,Impurity,Weak,,,94,1.17,0,1.22,0.08,Artifact,Weak,,
11,4.34,0.2,2.05,4.05,Compound,None,,,39,3.23,0,1.78,0.31,Artifact,Weak,,,67,2.28,0,1.96,0.67,Impurity,None,,,95,1.15,0.1,3.97,2.61,Compound,None,,
12,4.33,0.1,1.87,2.55,Compound,None,,,40,3.21,0,3.01,0.32,Artifact,Weak,,,68,2.26,0,2.67,0.95,Compound,None,,,96,1.12,0,1.76,0.19,Artifact,Weak,,
13,3.79,0,1.14,0.13,Impurity,Weak,,,41,3.2,0,1.97,0.31,Artifact,Weak,,,69,2.24,0,2.68,1.68,Compound,None,,,97,1.11,0.1,10.93,7.63,Compound,None,,
14,3.78,0,2.15,0.22,Impurity,Weak,,,42,3.19,0,1.31,0.15,Artifact,Weak,,,70,2.22,0,2.93,1.36,Compound,None,,,98,1.09,0.1,148.54,153.17,Compound,None,,
15,3.76,0,1.18,0.24,Impurity,Weak,,,43,3.17,0,1.85,0.34,Artifact,Weak,,,71,2.21,0,3.73,1.32,Compound,None,,,99,1.07,0.3,1.31,5.13,Compound,None,,
16,3.76,0,1.57,0.17,Impurity,Weak,,,44,3.16,0,1.51,0.27,Artifact,Weak,,,72,2.19,0,5.3,1.25,Compound,None,,,100,1.05,0.6,1.21,7.15,Compound,None,,
17,3.75,0,2.84,0.32,Impurity,Weak,,,45,3.08,0,0.76,0.06,Artifact,Weak,,,73,2.18,0,2.35,0.39,Compound,None,,,101,1.04,1.6,4.21,82.07,Compound,None,,
