,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.37,58.7,0.63,541.02,Artifact,Weak,,,19,1.49,96.6,34.89,39700.93,Compound,None,,
2,14.27,62.6,0.61,516.16,Artifact,Weak,,,20,1.36,161.1,3.59,8071.72,Impurity,None,,
3,14.09,73.5,0.71,491.44,Artifact,Weak,,,21,1.3,63.5,2,1441.06,Artifact,Weak,,
4,7.08,2332.9,43.83,1251979.81,Compound,None,,,22,1.26,274.2,9.73,38892.38,Compound,None,,
5,7.07,141,15.82,20981.11,Impurity,None,,,23,1.24,744.4,5.53,49749.38,Compound,None,,
6,6.53,524.4,3.46,23840.26,Compound,None,,,24,1.23,1867.2,4.74,119315.08,Compound,None,,
7,6.52,3695.3,3.18,153221.31,Compound,None,,,25,1.15,381.8,4.14,20782.01,Compound,None,,
8,5.75,164.9,5.06,11591.14,Compound,None,,,26,1.07,2241.6,2.81,81750.83,Compound,None,,
9,5.43,90.9,0.85,1131,Impurity,Weak,,,27,1.05,4806.3,3.1,196156.92,Compound,None,,
10,5.42,80.9,2.6,3030.19,Impurity,Weak,,,28,1.04,2904.4,3.73,134386.06,Compound,None,,
11,5.42,107.5,4.13,6409.32,Impurity,Weak,,,29,1.04,2613.6,3.07,104045.27,Compound,None,,
12,4.95,130.9,640.29,1220885.11,Compound,None,,,30,1.03,2837,3.8,141720.84,Compound,None,,
13,4.66,76.7,0.72,696.63,Artifact,Weak,,,31,1,118.2,5.37,8072.75,Impurity,None,,
14,4.36,670.4,3.21,26567.22,Compound,None,,,32,0.85,597.8,24.65,213611.61,Compound,None,,
15,4.34,1650.6,3.2,67862.06,Compound,None,,,33,0.39,72.6,1.18,1153.38,Artifact,Weak,,
16,4.33,894.6,3.2,33634.16,Compound,None,,,34,0.07,432.9,4.39,25711.58,Compound,None,,
17,1.91,297.7,3.17,12137.53,Compound,None,,,35,-1.56,59.1,0.6,476.21,Artifact,Weak,,
18,1.52,61.3,4.52,4042.52,Artifact,Weak,,,,,,,,,,,
