,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.02,0,1.43,0.11,Artifact,Weak,,,27,4.09,0,2.53,0.36,Impurity,Weak,,,53,3.45,0,2.17,0.22,Artifact,Weak,,,79,2.51,19.5,1.33,267.63,Solvent,None,,,105,1.75,0,1.47,0.72,Compound,None,,,131,0.97,0,0.72,0.05,Artifact,Weak,,
2,11.07,0.1,1.05,0.73,Compound,None,,,28,4.04,0,4.13,2.41,Compound,None,,,54,3.44,0.2,2.57,6.76,Artifact,Weak,,,80,2.5,53.4,1.65,1149.91,Solvent,None,,,106,1.52,0,24.2,2.75,Compound,None,,,132,0.97,0,2.65,0.21,Artifact,Weak,,
3,10.22,0.1,0.82,0.96,Compound,None,,,29,3.96,0,1.75,0.14,Artifact,Weak,,,55,3.43,0.2,1.61,4.61,Artifact,Weak,,,81,2.5,85.7,1.76,1989.95,Solvent,None,,,107,1.51,0,15.39,1.66,Compound,None,,,133,0.89,0,1.41,0.15,Impurity,Weak,,
4,9.66,0,0.93,0.09,Impurity,Weak,,,30,3.95,0,9.75,2.05,Compound,None,,,56,3.42,0.3,2.1,7.84,Artifact,Weak,,,82,2.5,51.6,1.49,909.68,Solvent,None,,,108,1.49,0,10.46,1.1,Compound,None,,,134,0.87,0,6.02,3.66,Compound,None,,
5,8.47,0,5.51,0.45,Artifact,Weak,,,31,3.82,0,7.61,1.11,Compound,None,,,57,3.42,0.1,1.59,1.35,Artifact,Weak,,,83,2.49,22.8,1.37,357.56,Solvent,None,,,109,1.46,0,1.58,0.11,Artifact,Weak,,,135,0.86,0.1,2.7,4.16,Compound,None,,
6,8.27,0,0.94,0.07,Impurity,Weak,,,32,3.81,0,1.91,0.23,Compound,None,,,58,3.4,0.2,12.82,41.22,Artifact,Weak,,,84,2.41,0,2.56,0.35,Artifact,Weak,,,110,1.36,0,5.47,1.55,Compound,None,,,136,0.85,0.1,2.54,3.28,Compound,None,,
7,8.14,0,3.73,1.84,Compound,None,,,33,3.8,0,1.78,0.2,Impurity,Weak,,,59,3.18,0,2.84,0.37,Artifact,Weak,,,85,2.4,0,0.73,0.07,Artifact,Weak,,,111,1.3,0,1.66,0.21,Compound,None,,,137,0.85,0.1,4.96,10.04,Compound,None,,
8,7.98,0,5.19,0.67,Compound,None,,,34,3.79,0,2.45,0.5,Impurity,None,,,60,3.17,0.1,1.17,1.43,Artifact,Weak,,,86,2.34,0.1,1.24,0.94,Solvent,Weak + C13_Sat,,,112,1.28,0,4.51,0.9,Compound,None,,,138,0.84,0.1,3.8,6.43,Compound,None,,
9,7.95,0,5.24,0.36,Artifact,Weak,,,35,3.78,0,1.46,0.2,Impurity,Weak,,,61,3.16,0.1,1.26,1.57,Artifact,Weak,,,87,2.33,0.3,1.82,6.68,Solvent,Weak + C13_Sat,,,113,1.25,0,19.19,11.05,Compound,None,,,139,0.83,0.1,4.15,3.74,Compound,None,,
10,7.1,0.5,51.41,337.7,Compound,None,,,36,3.77,0,1.5,0.35,Impurity,Weak,,,62,2.99,0,0.72,0.06,Artifact,Weak,,,88,2.33,0.4,1.88,10.39,Solvent,Weak + C13_Sat,,,114,1.23,0.2,5.73,18.39,Compound,None,,,140,0.82,0.1,3.79,2.88,Compound,None,,
