,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.31,49.6,0.55,331.91,Artifact,Weak,,,26,2.06,52.2,1.4,901.14,Artifact,Weak,,
2,13.11,54.6,0.59,410.33,Artifact,Weak,,,27,2.06,98.5,7.98,11459.75,Compound,None,,
3,11.15,49.6,0.63,305.46,Artifact,Weak,,,28,2.04,89.4,5.65,7355.31,Compound,None,,
4,10.2,101.5,0.81,1203.61,Impurity,Weak,,,29,2.01,95.2,12.21,16934.53,Compound,None,,
5,9.65,85.4,1.43,1564.52,Impurity,Weak,,,30,1.91,71.2,0.83,606.31,Impurity,Weak,,
6,9.65,61.5,1.07,764.95,Artifact,Weak,,,31,1.91,7159.6,0.87,75764.87,Compound,None,,
7,9.3,50.5,0.62,296.19,Artifact,Weak,,,32,1.75,222.8,1.47,3749.2,Impurity,None,,
8,8.14,364.8,2.58,11322.49,Compound,None,,,33,1.51,362.8,24.55,116675.87,Compound,None,,
9,7.5,61.8,1.92,1726.31,Artifact,Weak,,,34,1.39,413.2,7.58,34847.84,Compound,None,,
10,7.49,58.3,3.89,3303.15,Artifact,Weak,,,35,1.37,498.5,10.77,63451.87,Compound,None,,
11,7.18,59.2,0.58,499.82,Artifact,Weak,,,36,1.35,206.8,2.45,6046.94,Compound,None,,
12,7.07,997.1,67.92,783032.86,Compound,None,,,37,1.27,71.4,1.43,1280.32,Impurity,Weak,,
13,6.61,54.2,0.44,273.91,Artifact,Weak,,,38,1.26,86.3,1.01,816.32,Impurity,Weak,,
14,6.52,1225,1.23,18777.88,Compound,None,,,39,1.24,2338.7,8.13,264593.83,Compound,None,,
15,5.75,173.5,1.13,2851,Impurity,None,,,40,1.23,1827.3,2.27,49257.69,Compound,None,,
16,5.11,53.6,22.36,14584.42,Artifact,Weak,,,41,1.21,54.1,0.68,458.6,Artifact,Weak,,
17,4.41,246.6,7.12,19627.96,Compound,None,,,42,1.15,450.6,3.25,17059.47,Compound,None,,
18,4.4,128.9,1.52,2384.31,Compound,None,,,43,1.12,75.6,0.76,775.72,Impurity,Weak,,
19,4.36,338.7,1.34,6046.51,Compound,None,,,44,1.11,1712.2,0.89,20052.89,Compound,None,,
20,4.35,800.2,1.34,13456.41,Compound,None,,,45,1.07,1439.5,0.8,14050.27,Compound,None,,
21,4.34,420,1.51,7553.91,Compound,None,,,46,1.05,2707.4,0.74,25100.14,Compound,None,,
22,2.12,170.4,0.78,1699.86,Impurity,Weak,,,47,1.04,12823.2,2.81,404988.47,Compound,None,,
23,2.09,55.1,17.19,10215.19,Artifact,Weak,,,48,1.04,1953.2,7.43,187101.9,Compound,None,,
24,2.08,332,0.8,3517.53,Impurity,None,,,49,1.03,14015.7,3.1,538698,Compound,None,,
25,2.07,103.3,1.22,1817.23,Compound,Weak,,,50,1.01,1380.5,1.7,27948.65,Compound,None,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,51,1,342.5,1.67,6549.81,Compound,None,,
,,,,,,,,,52,1,1429.9,1.72,28045.73,Compound,None,,
,,,,,,,,,53,0.98,117.6,1.13,1525.65,Impurity,Weak,,
,,,,,,,,,54,0.97,49.5,0.7,455.6,Artifact,Weak,,
,,,,,,,,,55,0.87,345,7.49,33096.01,Compound,None,,
,,,,,,,,,56,0.86,363.1,2.04,9788.8,Compound,None,,
,,,,,,,,,57,0.86,639.9,1.91,16111.77,Compound,None,,
,,,,,,,,,58,0.85,658.7,2.12,17948.25,Compound,None,,
,,,,,,,,,59,0.84,1116.1,20.88,339485.96,Compound,None,,
,,,,,,,,,60,0.84,643,2.84,25415.77,Compound,None,,
,,,,,,,,,61,0.83,222,2.81,9074.28,Compound,None,,
,,,,,,,,,62,0.82,549.8,13.14,105214.42,Compound,None,,
,,,,,,,,,63,0.8,145,1.85,2986.08,Compound,None,,
,,,,,,,,,64,0.79,193.8,1.34,3779.27,Impurity,None,,
,,,,,,,,,65,0.78,209.2,1.52,3942.42,Impurity,None,,
,,,,,,,,,66,0.78,100,1.13,1120.08,Impurity,Weak,,
,,,,,,,,,67,0.76,205.4,3.88,10649.61,Compound,None,,
,,,,,,,,,68,0.74,181.6,2.27,6007.24,Compound,None,,
,,,,,,,,,69,0.73,202.6,1.16,3093.83,Impurity,None,,
,,,,,,,,,70,0.71,137.2,3.24,5095.4,Impurity,None,,
,,,,,,,,,71,0.69,65.8,2.61,1733.96,Artifact,Weak,,
,,,,,,,,,72,0.07,274.9,2.08,6965.54,Impurity,None,,
,,,,,,,,,73,0.06,134.6,1.43,2296.07,Impurity,Weak,,
,,,,,,,,,74,-0.08,58.3,0.73,571.1,Artifact,Weak,,
,,,,,,,,,75,-1.62,52.1,0.73,430.07,Artifact,Weak,,
