,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,90,1.19,1174.63,Impurity,Weak,,,30,1.25,561.3,27.46,224562.97,Compound,None,,
2,9.06,60.1,0.96,758.54,Artifact,Weak,,,31,1.24,891.2,3.68,40971.34,Compound,None,,
3,8.39,64.4,0.47,421.04,Artifact,Weak,,,32,1.23,2335.6,3.8,118978.07,Compound,None,,
4,7.2,268.9,38.78,136137.88,Compound,None,,,33,1.19,827.4,1.5,15926.47,Compound,None,,
5,7.1,931.5,86.2,1055337.16,Compound,None,,,34,1.16,110.3,1.68,2500.56,Impurity,Weak,,
6,6.98,106.3,27.09,27088.22,Compound,None,,,35,1.15,518.2,3.85,25782.17,Compound,None,,
7,6.96,72.6,0.78,749.1,Artifact,Weak,,,36,1.13,96.2,1.47,1972.6,Impurity,Weak,,
8,6.8,134.4,1.22,2245.98,Impurity,Weak,,,37,1.11,112.6,1.91,3132.22,Impurity,Weak,,
9,6.53,191.7,2.82,7805.18,Compound,None,,,38,1.09,61.8,2.03,1177.48,Artifact,Weak,,
10,6.52,1008.2,1.32,15848.31,Compound,None,,,39,1.08,110.5,1.47,2268.75,Impurity,Weak,,
11,5.42,57,1.57,843.02,Artifact,Weak,,,40,1.07,88.8,0.71,726.43,Impurity,Weak,,
12,4.48,75.2,7.26,7395.99,Artifact,Weak,,,41,1.05,3116.3,3.38,118816.13,Compound,None,,
13,4.31,77.6,1.85,2093.59,Impurity,Weak,,,42,1.03,3877.8,5.05,246642.98,Compound,None,,
14,4.2,64.4,0.41,306.06,Artifact,Weak,,,43,1.02,583,2.34,17565.57,Compound,None,,
15,4.02,70.4,17.99,15886.17,Artifact,Weak,,,44,1,369,3.12,15911.14,Compound,None,,
16,2.04,180.7,2.31,4178.62,Impurity,None,,,45,0.98,88.5,1.35,1437.09,Impurity,Weak,,
17,1.91,802.9,1.08,10972.49,Impurity,None,,,46,0.89,72.6,1.98,2096.79,Artifact,Weak,,
18,1.87,144.1,32.07,56333.45,Compound,None,,,47,0.87,97,0.37,525.79,Impurity,Weak,,
19,1.54,70.6,1.34,887.64,Artifact,Weak,,,48,0.87,115.1,3.49,3914.88,Compound,None,,
20,1.54,140.3,2.14,4373.49,Compound,Weak,,,49,0.85,318.8,2.91,9630.13,Compound,None,,
21,1.52,130.7,2.2,3495,Compound,Weak,,,50,0.85,524.9,55.04,391082.6,Compound,None,,
22,1.52,366.4,6.94,35299.26,Compound,None,,,51,0.84,220.5,7.87,25263.91,Compound,None,,
23,1.5,367.8,4.77,21939.85,Compound,None,,,52,0.13,163.2,0.86,1611.69,CS Reference,Weak,,
24,1.48,317.8,7.74,35832.43,Compound,None,,,53,0.08,2823.6,1.04,37181.4,CS Reference,None,,
25,1.34,84.7,2.78,2621.57,Impurity,Weak,,,54,0.07,92.6,0.92,1167.19,CS Reference,Weak,,
26,1.32,175.5,3.03,7561.42,Impurity,None,,,55,0.07,141.3,0.72,1319.89,CS Reference,Weak,,
27,1.3,176.5,2.31,4791.38,Impurity,None,,,56,0.06,325.8,3.08,13134.73,CS Reference,None,,
28,1.3,158.9,1.84,4248.91,Impurity,Weak,,,57,-1.86,63.1,0.57,451.26,Artifact,Weak,,
29,1.26,130.1,2.43,3958.71,Compound,Weak,,,,,,,,,,,
