,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.22,0,1.39,0.12,Artifact,Weak,,,29,3.66,0,3.16,0.89,Compound,None,,,57,2.94,0,8.02,0.81,Impurity,Weak,,,85,2.18,0,2.15,0.37,Compound,Weak,,,113,1.2,0,0.82,0.08,Artifact,Weak,,
2,14.17,0,0.65,0.04,Artifact,Weak,,,30,3.65,0,2.99,0.72,Impurity,None,,,58,2.76,0,5.79,2.1,Compound,None,,,86,2.18,0,1.74,0.13,Impurity,Weak,,,114,1.15,0,3.38,1.74,Compound,None,,
3,13.91,0,0.49,0.03,Artifact,Weak,,,31,3.64,0,2.79,0.53,Impurity,None,,,59,2.68,0.1,1.33,1.91,Solvent,Weak + C13_Sat,,,87,2.16,0,4.2,0.25,Artifact,Weak,,,115,1.1,0,42.03,8.44,Compound,None,,
4,12,0,0.59,0.04,Artifact,Weak,,,32,3.62,0,1.91,0.11,Artifact,Weak,,,60,2.67,0.3,1.69,6.47,Solvent,Weak + C13_Sat,,,88,2.11,0,35.64,5.33,Compound,None,,,116,1.08,0,2.11,0.36,Artifact,Weak,,
5,11.96,0,1.58,0.12,Artifact,Weak,,,33,3.57,0.1,1.04,0.64,Artifact,Weak,,,61,2.67,0.4,1.69,9.38,Solvent,Weak + C13_Sat,,,89,2.08,0,1.25,0.24,Impurity,Weak,,,117,1.07,0,1.03,0.6,Impurity,Weak,,
6,10.2,0,1.08,0.15,Impurity,Weak,,,34,3.57,0,0.81,0.09,Artifact,Weak,,,62,2.66,0.3,1.66,6.3,Solvent,Weak + C13_Sat,,,90,2.07,0,0.94,0.15,Impurity,Weak,,,118,1.05,0.1,0.96,0.85,Compound,None,,
7,7.25,0,14.73,3.8,Compound,None,,,35,3.54,0,1.05,0.08,Artifact,Weak,,,63,2.66,0.1,1.34,1.81,Solvent,Weak + C13_Sat,,,91,2.06,0,19.73,4.56,Compound,None,,,119,1.04,1.6,3.58,64.41,Compound,None,,
8,7.24,0.1,30.8,29.89,Compound,None,,,36,3.52,0,3.55,1.66,Artifact,Weak,,,64,2.55,0.1,24.13,33.45,Artifact,Weak,,,92,2.04,0,2.83,1.58,Compound,None,,,120,1.03,1.7,4.43,95.4,Compound,None,,
9,7.12,0.1,34.46,64.51,Compound,None,,,37,3.51,0.2,4.42,10.06,Artifact,Weak,,,65,2.53,0.1,10.18,15.55,Artifact,Weak,,,93,2.01,0,4.46,0.59,Impurity,Weak,,,121,1.02,0.1,2.31,3.36,Compound,None,,
10,7.01,0.1,25.77,34.49,Compound,None,,,38,3.49,0.2,4.71,11.13,Artifact,Weak,,,66,2.52,0.2,1.21,2.77,Solvent,Weak,,,94,1.91,0,26.01,2.85,Compound,None,,,122,1,0.2,2.44,4.29,Compound,None,,
