,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.06,51.9,0.65,422.55,Artifact,Weak,,,27,5.22,135.6,6.82,10524.75,Compound,None,,,,,,,,,,,,79,4.22,64.6,1.5,1357.03,Artifact,Weak,,,105,0.97,51.1,0.76,367.35,Artifact,Weak,,
2,12.01,66.8,38.62,37602.37,Artifact,Weak,,,28,5.1,156.7,12.92,24702.96,Compound,None,,,,,,,,,,,,80,1.91,7256.5,0.99,91361.42,Compound,None,,,106,0.97,63,0.84,615.19,Artifact,Weak,,
3,11.07,203.7,1.04,2598.24,Impurity,None,,,29,5,65.9,1.81,1592.25,Artifact,Weak,,,,,,,,,,,,81,1.82,61.9,1.73,1262.02,Artifact,Weak,,,107,0.91,67.3,0.75,663.12,Artifact,Weak,,
4,10.22,98.1,0.74,872.85,Impurity,Weak,,,30,4.93,60.3,1.34,1007.9,Artifact,Weak,,,,,,,,,,,,82,1.77,91.3,1.04,1215.61,Compound,None,,,108,0.9,58.3,0.42,276.77,Artifact,Weak,,
5,9.66,105.1,1.93,2958.98,Compound,None,,,31,4.92,108.5,1.01,1529.32,Impurity,None,,,,,,,,,,,,83,1.77,101.8,1.21,1669.07,Compound,None,,,109,0.87,215.2,6.59,15124.33,Compound,None,,
6,9.65,89.2,0.73,929.26,Compound,None,,,32,4.91,426.3,2.06,11925.26,Compound,None,,,,,,,,,,,,84,1.75,245.1,1.37,3588.84,Compound,None,,,110,0.86,564.1,1.86,13918.73,Compound,None,,
7,8.13,874.3,1.98,21311.42,Compound,None,,,33,4.9,638,2.75,21638.95,Compound,None,,,,,,,,,,,,85,1.74,60.1,0.73,558.18,Artifact,Weak,,,111,0.86,768,3.33,34567.94,Compound,None,,
8,7.94,52.6,0.95,707.59,Artifact,Weak,,,34,4.89,405.6,1.55,7190.62,Compound,None,,,,,,,,,,,,86,1.36,159.8,1.62,3767.6,Compound,None,,,112,0.85,506.2,2.09,14228.41,Compound,None,,
9,7.21,456.9,18.86,119143.55,Compound,None,,,35,4.88,1127.3,2.04,29177.63,Compound,None,,,,,,,,,,,,87,1.3,131.1,2.24,3378.89,Compound,None,,,113,0.85,781.4,2.44,25105.26,Compound,None,,
10,7.09,470.5,14.79,95817.78,Compound,None,,,36,4.87,1139.2,2.08,30914.29,Compound,None,,,,,,,,,,,,88,1.27,516,109.58,671209.56,Compound,None,,,114,0.84,1105.9,5.45,87837.67,Compound,None,,
11,7.01,70.6,15.32,10171.59,Compound,None,,,37,4.85,127.5,14.7,23324.64,Compound,None,,,,,,,,,,,,89,1.26,227,1.69,5109.04,Compound,None,,,115,0.83,255.7,2.45,7949.46,Compound,None,,
12,6.96,441,12.52,64188.04,Compound,None,,,38,4.82,2256.1,1.5,43760.54,Compound,None,,,,,,,,,,,,90,1.23,3174.4,4.52,206352,Compound,None,,,116,0.82,1135.5,44.87,723759.98,Compound,None,,
13,6.58,61.5,6.11,5474.93,Artifact,Weak,,,39,4.82,1254.7,1.72,26363.9,Compound,None,,,,,,,,,,,,91,1.15,406.8,3.64,16784.31,Compound,None,,,117,0.79,142.4,1.06,2074.6,Impurity,None,,
14,6.57,1386.9,1.34,23762.04,Compound,None,,,40,4.81,2006.3,1.64,38787.85,Compound,None,,,,,,,,,,,,92,1.11,1422.3,0.99,18652.95,Compound,None,,,118,0.78,156.3,1.26,1857.66,Impurity,None,,
15,6.55,1416.9,1.3,23914.71,Compound,None,,,41,4.81,1352.2,1.57,25226.93,Compound,None,,,,,,,,,,,,93,1.09,758.5,1.16,11096.58,Compound,None,,,119,0.78,70.5,1.3,883.46,Compound,None,,
16,6.52,632.8,1.2,9808.73,Compound,None,,,42,4.76,1076.6,1.4,20774.02,Compound,None,,,,,,,,,,,,94,1.07,598.8,0.9,6398.73,Compound,None,,,120,0.76,141.1,2.27,3007.2,Compound,None,,
17,6.2,697.9,2.28,16513.84,Compound,None,,,43,4.76,1109.6,1.94,28712.66,Compound,None,,,,,,,,,,,,95,1.07,2635.3,1,34530.2,Compound,None,,,121,0.74,157.7,2,4604.59,Compound,None,,
18,6.19,530.5,1.22,8192.05,Compound,None,,,44,4.75,1131,1.66,24222.54,Compound,None,,,,,,,,,,,,96,1.05,5178.5,0.93,62563.27,Compound,None,,,122,0.73,183.5,1.7,4154.57,Compound,None,,
19,6.19,477.7,1.25,7690.99,Compound,None,,,45,4.75,1445.7,1.86,35502,Compound,None,,,,,,,,,,,,97,1.05,1119,2.35,34324.31,Compound,None,,,123,0.71,141.9,3.01,5119.38,Compound,None,,
20,6.09,55.1,0.7,516.01,Artifact,Weak,,,46,4.74,858.5,1.43,16125.11,Compound,None,,,,,,,,,,,,98,1.04,3726.9,1.25,66456.98,Compound,None,,,124,0.67,59.7,0.7,597.29,Artifact,Weak,,
21,5.87,57.6,0.69,502.4,Artifact,Weak,,,47,4.74,1309.1,1.67,28424.67,Compound,None,,,,,,,,,,,,99,1.04,2817.1,1.09,42017.22,Compound,None,,,125,0.08,53.4,0.8,609.72,Artifact,Weak,,
22,5.78,59.6,1.05,800.68,Artifact,Weak,,,48,4.72,110.5,1.52,2443.12,Compound,None,,,,,,,,,,,,100,1.03,956,1.62,18369.58,Compound,None,,,126,0.07,344,1.87,7815.78,Compound,None,,
23,5.75,191.3,3.64,7755.45,Compound,None,,,49,4.66,55.1,1.14,892.9,Artifact,Weak,,,,,,,,,,,,101,1.03,3905.3,1.5,83667.91,Compound,None,,,127,-0.06,58.3,0.98,788.88,Artifact,Weak,,
24,5.46,66.8,3.4,2835.76,Artifact,Weak,,,50,4.64,99.7,4.03,5799.97,Compound,None,,,,,,,,,,,,102,1.02,285.9,2.09,8513.46,Compound,None,,,,,,,,,,,
