,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.4,0,0.63,0.06,Artifact,Weak,,,30,6.39,0,0.81,0.11,Impurity,Weak,,,59,4.93,0,2.62,0.55,Compound,Weak,,,88,4.55,0.1,1.57,2.4,Compound,None,,,117,3.82,0,1.18,0.14,Artifact,Weak,,,146,3.49,0.1,2.62,1.94,Artifact,Weak,,,175,3.11,0.3,2.55,9.41,Artifact,Weak,,,204,2.66,0.1,1.51,2.26,Solvent,Weak + C13_Sat,,,233,2.06,0,5.43,1.03,Compound,None,,,262,1.04,0.6,1.57,13.42,Compound,None,,
2,11.72,0,1.33,0.41,Impurity,None,,,31,6.37,0,1.03,0.13,Artifact,Weak,,,60,4.91,0.2,2.42,7.54,Compound,None,,,89,4.54,0.1,1.59,2.11,Compound,None,,,118,3.8,0,1.56,0.44,Impurity,None,,,147,3.48,0.2,2.8,5.46,Artifact,Weak,,,176,3.1,0.2,3.26,10.34,Artifact,Weak,,,205,2.58,0.1,145.46,81.33,Artifact,Weak,,,234,1.91,0.1,1.23,1.53,Compound,None,,,263,1.04,0.4,1.11,5.83,Compound,None,,
3,10.2,0.2,1.59,3.34,Compound,None,,,32,6.33,0,1.32,0.15,Artifact,Weak,,,61,4.9,0.4,2.98,15.72,Compound,None,,,90,4.48,0.2,2.45,6.43,Compound,None,,,119,3.76,0,1.33,0.19,Impurity,Weak,,,148,3.47,0.3,2.8,10.13,Artifact,Weak,,,177,3.1,0.2,3.23,9.05,Artifact,Weak,,,206,2.56,0,0.99,0.21,Artifact,Weak,,,235,1.82,0,1.85,0.83,Impurity,None,,,264,1.03,0.2,2.2,4.8,Compound,None,,
4,8.14,0,4.32,0.71,Impurity,Weak,,,33,6.26,0,1.35,0.14,Artifact,Weak,,,62,4.89,0.2,1.99,5.83,Compound,None,,,91,4.46,0.4,2.55,13.65,Compound,None,,,120,3.73,0,1.59,0.26,Impurity,Weak,,,149,3.45,0.3,2.65,9.41,Artifact,Weak,,,178,3.08,0.2,2.73,8.57,Artifact,Weak,,,207,2.52,0.1,0.8,0.85,Artifact,Weak,,,236,1.81,0,1.68,0.37,Impurity,Weak,,,265,1.03,0.6,1.92,17.52,Compound,None,,
5,8.05,0,3.83,0.26,Artifact,Weak,,,34,6.21,0,6.22,1.95,Compound,None,,,63,4.88,0.4,2.31,10.73,Compound,None,,,92,4.45,0.2,3.3,10.01,Compound,None,,,121,3.71,0,1.87,0.29,Impurity,Weak,,,150,3.44,0.5,8.52,58.2,Artifact,Weak,,,179,3.07,0.2,3.23,7.66,Artifact,Weak,,,208,2.51,18.7,1.34,258.33,Solvent,None,,,237,1.77,0,2.78,1.1,Compound,None,,,266,1.02,0.1,4.19,4.88,Compound,None,,
6,8,0,1.86,0.86,Impurity,None,,,35,6.2,0.4,2.55,11.8,Compound,None,,,64,4.87,0.4,2.2,10.39,Compound,None,,,93,4.44,0.3,2.45,9.81,Compound,None,,,122,3.7,0,1.59,0.28,Impurity,Weak,,,151,3.43,0,1.33,0.59,Artifact,Weak,,,180,3.06,0.2,2.08,5.92,Artifact,Weak,,,209,2.5,47.1,1.55,878.32,Solvent,None,,,238,1.75,0,1.63,0.49,Compound,None,,,267,1,0,8.88,4.57,Compound,None,,
7,7.99,0,1.74,0.71,Impurity,None,,,36,6.19,0.4,2.34,9.91,Compound,None,,,65,4.86,0,2.68,1.22,Compound,None,,,94,4.42,0.3,2.36,9.69,Compound,None,,,123,3.68,0.1,2.06,2.09,Compound,None,,,152,3.42,0.3,2.37,7.43,Artifact,Weak,,,181,3.05,0.2,1.83,3.69,Artifact,Weak,,,210,2.5,82.8,1.99,2207.62,Solvent,None,,,239,1.65,0,2.66,0.25,Artifact,Weak,,,268,0.98,0,1.11,0.28,Impurity,Weak,,
8,7.93,0,1.19,0.11,Artifact,Weak,,,37,6.14,0,2.63,0.46,Impurity,Weak,,,66,4.85,0.1,5.61,4.21,Compound,None,,,95,4.4,0.1,2.57,4.04,Compound,None,,,124,3.68,0.1,2.07,2.55,Compound,None,,,153,3.42,0.4,2.52,12.76,Artifact,Weak,,,182,3.05,0.2,2.64,7.16,Artifact,Weak,,,211,2.5,52.1,1.81,1244.88,Solvent,None,,,240,1.63,0,3.08,0.41,Impurity,Weak,,,269,0.91,0,1.27,0.15,Impurity,Weak,,
9,7.89,0,1.48,0.2,Impurity,Weak,,,38,6.12,0,2.49,0.65,Impurity,None,,,67,4.84,0.1,4.34,3.56,Compound,None,,,96,4.39,0.2,2.92,6.16,Compound,None,,,125,3.67,0.1,2.68,4.86,Compound,None,,,154,3.41,0.2,3.58,10.2,Artifact,Weak,,,183,3.04,0.4,2.8,15.62,Compound,None,,,212,2.49,23.3,1.58,459.85,Solvent,None,,,241,1.5,0,4.45,1.06,Compound,None,,,270,0.9,0,2.24,0.41,Compound,Weak,,
10,7.87,0,1.28,0.12,Artifact,Weak,,,39,6.09,0,6.6,0.57,Artifact,Weak,,,68,4.82,1.2,2.67,39.41,Compound,None,,,97,4.38,0.1,2.49,1.56,Compound,None,,,126,3.66,0.1,2.33,4.39,Compound,None,,,155,3.4,0.3,3.22,13.27,Artifact,Weak,,,184,3.03,0.2,2.46,7.33,Compound,None,,,213,2.34,0.1,1.29,1.22,Solvent,Weak + C13_Sat,,,242,1.5,0,32.21,7.4,Compound,None,,,271,0.89,0,4.43,1,Compound,None,,
