,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.63,0,0.49,0.04,Artifact,Weak,,,30,4.57,0.1,1.65,1.93,Compound,None,,,59,3.61,0,0.96,0.08,Artifact,Weak,,,88,3.15,0,1.95,0.53,Compound,None,,,117,2.52,0.2,0.8,2.09,Solvent,Weak,,,146,1.23,0.2,2.39,5.21,Compound,None,,
2,11.75,0,0.35,0.03,Artifact,Weak,,,31,4.48,0,1.79,0.68,Compound,None,,,60,3.59,0,1.1,0.17,Compound,None,,,89,3.14,0,2.71,0.55,Compound,None,,,118,2.51,24.4,1.22,357.13,Solvent,None,,,147,1.19,0,1.01,0.08,Artifact,Weak,,
3,10.2,0,1.02,0.24,Impurity,None,,,32,4.46,0,1.99,1.26,Compound,None,,,61,3.58,0,1.93,0.5,Compound,None,,,90,3.13,0.1,3.21,1.96,Compound,None,,,119,2.5,59.2,1.46,1074.82,Solvent,None,,,148,1.15,0,3.52,1.96,Compound,None,,
4,6.76,0,0.8,0.05,Artifact,Weak,,,33,4.45,0,1.49,0.41,Compound,None,,,62,3.57,0.1,2.45,1.85,Compound,None,,,91,3.12,0,2.36,0.59,Compound,None,,,120,2.5,86.5,1.44,1581.3,Solvent,None,,,149,1.13,0,1.04,0.2,Compound,None,,
5,6.57,0.1,1.36,1.06,Compound,None,,,34,4.45,0,8.43,1.01,Compound,None,,,63,3.56,0,2.08,1.01,Compound,None,,,92,3.11,0,2.39,1.33,Compound,None,,,121,2.5,55.9,1.36,899.17,Solvent,None,,,150,1.11,0,1.88,0.15,Impurity,Weak,,
6,6.55,0.1,1.31,1.04,Compound,None,,,35,4.44,0,1.7,0.9,Compound,None,,,64,3.54,0.1,4.44,3.95,Compound,None,,,93,3.1,0,2.1,1.01,Compound,None,,,122,2.49,24.5,1.3,367.56,Solvent,None,,,151,1.09,0.1,1.31,0.94,Compound,None,,
7,6.52,0,1.36,0.44,Compound,None,,,36,4.42,0.1,1.78,1.15,Compound,None,,,65,3.53,0,2.35,1.26,Compound,None,,,94,3.1,0,3.46,1.26,Compound,Weak + C13_Sat,,,123,2.34,0.1,1.33,2.37,Solvent,Weak + C13_Sat,,,152,1.07,0,1.1,0.7,Compound,None,,
8,6.2,0,1.89,0.98,Compound,None,,,37,4.4,0,2.19,0.48,Compound,None,,,66,3.53,0,1.47,0.39,Compound,None,,,95,3.08,0,2.28,0.58,Compound,None,,,124,2.33,0.3,1.31,5.25,Solvent,Weak + C13_Sat,,,153,1.07,0.1,0.92,0.64,Compound,None,,
9,6.18,0,2.38,0.97,Compound,None,,,38,4.39,0,1.72,0.57,Compound,None,,,67,3.52,0,1.68,0.5,Compound,None,,,96,3.08,0,2.68,0.53,Compound,None,,,125,2.33,0.5,1.44,9.6,Solvent,Weak + C13_Sat,,,154,1.05,0.1,0.85,1.08,Compound,None,,
10,4.92,0,1.31,0.13,Artifact,Weak,,,39,4.37,0,1.4,0.19,Compound,None,,,68,3.51,0.1,2.16,2.9,Compound,None,,,97,3.06,0,1.51,0.46,Compound,None,,,126,2.32,0.3,1.37,5.68,Solvent,Weak + C13_Sat,,,155,1.05,0.1,2.9,2.67,Compound,None,,
