v,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,9.65,0,4.2,0.67,Compound,None,,,30,4.75,0.1,1.8,2.97,Compound,None,,,59,4.18,0,1.59,0.16,Impurity,Weak,,,88,3.11,0.1,5.97,5.9,Compound,None,,,117,2.5,52,1.55,995.92,Solvent,None,,,146,1.05,0.3,0.98,4.08,Compound,None,,
2,8.14,0.1,2.55,2.42,Compound,None,,,31,4.74,0.1,1.9,2.97,Compound,None,,,60,4.13,0,2.3,0.4,Compound,None,,,89,3.1,0.1,3.07,2.25,Compound,None,,,118,2.5,80.3,1.7,1748.57,Solvent,None,,,147,1.05,0.1,2.7,4.65,Compound,None,,
3,7.21,0,30.88,15.89,Compound,None,,,32,4.74,0.2,1.81,3.73,Compound,None,,,61,4.11,0,2.06,0.44,Compound,None,,,90,3.08,0.1,1.94,1.29,Compound,None,,,119,2.5,57.8,1.76,1329.16,Solvent,None,,,148,1.04,0.3,1.8,8.12,Compound,None,,
4,7.09,0,35.74,25.36,Compound,None,,,33,4.72,0,3.03,0.67,Compound,None,,,62,4.04,0.1,3.77,2.47,Compound,None,,,91,3.07,0,2.98,1.66,Compound,None,,,120,2.49,26.3,1.82,626.29,Solvent,None,,,149,1.04,0.2,1.12,2.64,Compound,None,,
5,6.97,0,21.47,9.68,Compound,None,,,34,4.66,0,2.45,0.24,Artifact,Weak,,,63,3.95,0,2.47,0.57,Compound,None,,,92,3.06,0.1,2.15,1.33,Compound,None,,,121,2.34,0.1,1.19,1.11,Solvent,Weak + C13_Sat,,,150,1.03,0.1,2.36,3.88,Compound,None,,
6,6.57,0.2,1.47,2.9,Compound,None,,,35,4.63,0,1.81,0.21,Artifact,Weak,,,64,3.72,0,0.68,0.06,Artifact,Weak,,,93,3.05,0,2.14,1.24,Compound,None,,,122,2.33,0.3,1.57,5.5,Solvent,Weak + C13_Sat,,,151,1.03,0.3,1.9,8.87,Compound,None,,
7,6.55,0.2,1.47,2.88,Compound,None,,,36,4.62,0.1,1.96,2.27,Compound,None,,,65,3.67,0,1.81,0.43,Artifact,Weak,,,94,3.04,0.1,2.51,3.27,Compound,None,,,123,2.33,0.4,1.81,10.52,Solvent,Weak + C13_Sat,,,152,1.02,0,3.39,2.16,Compound,None,,
8,6.52,0.1,1.64,1.14,Compound,None,,,37,4.61,0.1,1.81,2.12,Compound,None,,,66,3.66,0,1.84,0.78,Compound,None,,,95,3.03,0,1.77,0.67,Compound,None,,,124,2.32,0.3,1.71,6.73,Solvent,Weak + C13_Sat,,,153,1,0,6.55,2.38,Compound,None,,
9,6.2,0.1,2.52,2.39,Compound,None,,,38,4.59,0.1,1.76,3.09,Compound,None,,,67,3.65,0,3.12,1.73,Compound,None,,,96,3.02,0,9.46,4.08,Compound,None,,,125,2.32,0.1,1.85,3.25,Solvent,Weak + C13_Sat,,,154,0.99,0,0.88,0.1,Artifact,Weak,,
10,6.19,0.1,2.2,1.63,Compound,None,,,39,4.57,0.1,1.81,3.52,Compound,None,,,68,3.65,0,1.75,0.6,Compound,None,,,97,2.96,0,1.36,0.36,Impurity,Weak,,,126,2.3,0,1.08,0.15,Impurity,Weak,,,155,0.91,0,0.97,0.08,Artifact,Weak,,
11,5.75,0,4.31,1.03,Compound,None,,,40,4.48,0.1,2.15,1.85,Compound,None,,,69,3.64,0.1,5.45,5.09,Compound,None,,,98,2.96,0.1,2.05,2.19,Compound,None,,,127,2.28,0,1.3,0.57,Compound,None,,,156,0.9,0,0.96,0.14,Impurity,Weak,,
12,5.65,0,0.62,0.08,Artifact,Weak,,,41,4.47,0.1,2.2,2.91,Compound,None,,,70,3.63,0,4.2,1.74,Compound,None,,,99,2.95,0.1,1.81,3.13,Compound,None,,,128,2.26,0.1,1.39,1.04,Compound,None,,,157,0.86,0,2.11,1.28,Compound,None,,
13,5.56,0,0.56,0.05,Artifact,Weak,,,42,4.45,0.1,2.21,1.84,Compound,None,,,71,3.61,0,1.57,0.18,Artifact,Weak,,,100,2.95,0.1,2.16,2.81,Compound,None,,,129,2.24,0,1.31,0.42,Compound,None,,,158,0.85,0.1,13.29,28,Compound,None,,
14,5.42,0,36.64,2.72,Artifact,Weak,,,43,4.44,0.1,1.71,1.77,Compound,None,,,72,3.58,0,1.88,0.87,Compound,Weak,,,101,2.94,0,1.66,0.73,Compound,None,,,130,2.13,0,0.98,0.31,Compound,None,,,159,0.85,0,2.07,1.39,Compound,None,,
15,5.32,0,7.69,0.94,Artifact,Weak,,,44,4.42,0.1,1.88,1.99,Compound,None,,,73,3.57,0.1,2.66,2.27,Compound,None,,,102,2.91,0,1.33,0.53,Compound,None,,,131,2.12,0,1.06,0.45,Compound,None,,,160,0.84,0.1,3.87,4.17,Compound,None,,
16,5.11,0,11.82,3.48,Compound,None,,,45,4.4,0,1.89,0.32,Compound,None,,,74,3.56,0.1,1.74,1.03,Compound,None,,,103,2.9,0,1.39,0.4,Compound,Weak,,,132,2.11,0,0.52,0.05,Artifact,Weak,,,161,0.83,0,1.32,0.11,Artifact,Weak,,
17,5.1,0,0.42,0.04,Artifact,Weak,,,46,4.39,0,1.81,0.42,Compound,None,,,75,3.55,0,2.6,0.96,Artifact,Weak,,,104,2.89,0,2.2,0.73,Compound,None,,,133,2.08,0.1,0.91,0.66,Compound,None,,,162,0.82,0.1,26.05,39.87,Compound,None,,
18,4.91,0.1,2.56,1.93,Compound,None,,,47,4.36,0.1,1.91,1.7,Compound,None,,,76,3.54,0.1,3.23,3.16,Compound,None,,,105,2.88,0,2.37,1.06,Compound,None,,,134,2.06,0,2.08,0.24,Artifact,Weak,,,163,0.78,0,1.21,0.29,Impurity,None,,
19,4.9,0.1,2.95,2.1,Compound,None,,,48,4.35,0,2.52,1.54,Compound,None,,,77,3.53,0.1,3.51,3.41,Compound,None,,,106,2.87,0,1.27,0.3,Impurity,None,,,135,1.91,0.9,1.17,13.06,Compound,None,,,164,0.76,0,2.18,0.36,Compound,None,,
20,4.89,0.1,1.79,1.05,Compound,None,,,49,4.35,0.1,1.87,3.36,Compound,None,,,78,3.52,0,1.57,0.31,Artifact,Weak,,,107,2.87,0,1.76,0.42,Compound,None,,,136,1.77,0,1.87,0.31,Compound,None,,,165,0.74,0,5.14,1.12,Compound,None,,
21,4.88,0.1,2.06,3.31,Compound,None,,,50,4.34,0.2,2.66,7.27,Compound,None,,,79,3.5,0.3,2.45,9.88,Compound,None,,,108,2.85,0,1.67,0.52,Compound,None,,,137,1.75,0,1.29,0.38,Compound,None,,,166,0.73,0,1.83,0.43,Compound,None,,
22,4.87,0.1,2.38,4.14,Compound,None,,,51,4.33,0,0.86,0.18,Compound,None,,,80,3.48,0.1,21.07,16.34,Compound,None,,,109,2.68,0.1,1.37,1.66,Solvent,Weak + C13_Sat,,,138,1.36,0,4.97,0.97,Compound,None,,,167,0.71,0,3.06,0.56,Compound,None,,
23,4.85,0,0.79,0.07,Artifact,Weak,,,52,4.32,0.1,2.35,1.94,Compound,None,,,81,3.47,0.1,2.95,2.65,Artifact,Weak,,,110,2.67,0.3,1.64,5.71,Solvent,Weak + C13_Sat,,,139,1.23,0.2,7.2,23.95,Compound,None,,,168,0.08,0,1.24,0.32,Compound,None,,
24,4.82,0.3,1.8,5.98,Compound,None,,,53,4.31,0,1.34,0.35,Compound,None,,,82,3.45,0.1,1.92,2.86,Artifact,Weak,,,111,2.67,0.5,1.81,10.86,Solvent,Weak + C13_Sat,,,140,1.14,0,4.21,2.52,Compound,None,,,169,0.07,0,1.74,0.26,Compound,None,,
25,4.82,0.1,1.81,2.97,Compound,None,,,54,4.28,0.1,1.64,1.4,Compound,None,,,83,3.44,0.1,4.1,6.42,Artifact,Weak,,,112,2.66,0.3,1.67,6.58,Solvent,Weak + C13_Sat,,,141,1.11,0.2,1.2,2.93,Compound,None,,,,,,,,,,,
26,4.81,0.3,2.35,7.58,Compound,None,,,55,4.27,0.1,1.81,1.51,Compound,None,,,84,3.43,1.6,121.77,2576.65,Artifact,Weak,,,113,2.66,0.1,1.72,3.02,Solvent,Weak + C13_Sat,,,142,1.1,0,1.74,0.29,Compound,None,,,,,,,,,,,
27,4.76,0.1,1.88,3.52,Compound,None,,,56,4.26,0.1,1.81,1.65,Compound,None,,,85,3.42,0.1,1.98,2.63,Artifact,Weak,,,114,2.57,0,0.95,0.11,Artifact,Weak,,,143,1.09,0.1,1.51,2.19,Compound,None,,,,,,,,,,,
28,4.76,0.1,1.67,2.12,Compound,None,,,57,4.25,0.1,1.68,1.62,Compound,None,,,86,3.42,0.1,2.55,3.33,Artifact,Weak,,,115,2.52,0.1,2.36,4,Artifact,Weak,,,144,1.07,0.1,1.18,1.24,Compound,None,,,,,,,,,,,
