,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0,1.67,0.57,Impurity,None,,,29,3.45,0,1.01,0.17,Artifact,Weak,,,57,2.32,0.3,1.73,6.31,Solvent,Weak + C13_Sat,,,85,1.16,0,2.27,1.25,Compound,None,,
2,8.13,0,2.14,0.19,Artifact,Weak,,,30,3.45,0,3.82,1.03,Artifact,Weak,,,58,2.32,0.1,1.84,2.88,Solvent,Weak + C13_Sat,,,86,1.14,0.1,3.21,3.35,Compound,None,,
3,7.48,0,0.91,0.08,Artifact,Weak,,,31,3.44,0,2.33,1.04,Artifact,Weak,,,59,2.28,0,16.88,2.97,Compound,None,,,87,1.12,0,3.36,1.07,Compound,None,,
4,7.09,0.1,90.74,138.01,Compound,None,,,32,3.44,0,1.55,0.51,Artifact,Weak,,,60,2.23,0,4.14,1.1,Compound,None,,,88,1.11,0,1.04,0.12,Impurity,Weak,,
5,6.95,0,0.52,0.04,Artifact,Weak,,,33,3.42,0.1,2,1.61,Artifact,Weak,,,61,2.21,0,3.03,2.04,Compound,None,,,89,1.11,0,1.34,0.22,Compound,Weak,,
6,6.92,0,0.82,0.09,Impurity,Weak,,,34,3.42,0,2.37,1.27,Artifact,Weak,,,62,2.19,0,4.92,1.72,Compound,None,,,90,1.07,0.1,1.28,1.42,Impurity,None,,
7,6.83,0,8.12,1.47,Compound,None,,,35,3.41,0,3.08,1.23,Artifact,Weak,,,63,2.18,0,1.54,0.34,Compound,None,,,91,1.05,0.2,1.58,4.24,Compound,None,,
8,6.81,0,9.71,1.14,Compound,None,,,36,3.38,0.5,58.2,392.56,Artifact,Weak,,,64,2.16,0,1.5,0.1,Artifact,Weak,,,92,1.04,0.3,3.41,10.58,Compound,None,,
9,6.52,0,1.96,0.85,Compound,None,,,37,3.11,0,44.59,5.13,Artifact,Weak,,,65,2.08,0,1.16,0.12,Impurity,Weak,,,93,1.04,0.1,0.83,0.55,Impurity,None,,
10,5.33,0,2.31,0.29,Impurity,Weak,,,38,2.94,0,5.18,0.41,Artifact,Weak,,,66,2.06,0,14.54,1.61,Artifact,Weak,,,94,1.03,0.3,3.91,15.28,Compound,None,,
11,5.32,0,4.59,0.64,Impurity,Weak,,,39,2.78,0,1.71,0.18,Artifact,Weak,,,67,1.91,0.1,1.33,1.29,Compound,None,,,95,1.02,0,3.96,1.94,Compound,None,,
12,4.66,0,7.34,0.73,Artifact,Weak,,,40,2.76,0,11.58,2.86,Compound,None,,,68,1.72,0,2.64,0.35,Impurity,Weak,,,96,1.01,0,0.84,0.06,Artifact,Weak,,
13,4.57,0,12.51,1.53,Compound,None,,,41,2.75,0,1.01,0.11,Artifact,Weak,,,69,1.55,0,13.27,5.1,Compound,None,,,97,1,0,3.71,0.99,Impurity,None,,
14,4.45,0,13.1,1.47,Compound,None,,,42,2.68,0.1,1.41,1.54,Solvent,Weak + C13_Sat,,,70,1.54,0,4.43,0.85,Compound,None,,,98,0.98,0,1.07,0.2,Impurity,Weak,,
15,4.36,0,1.98,0.44,Compound,None,,,43,2.67,0.3,1.75,6.22,Solvent,Weak + C13_Sat,,,71,1.52,0,3.98,0.58,Compound,None,,,99,0.89,0,2.61,0.47,Compound,None,,
16,4.34,0,2.06,0.93,Compound,None,,,44,2.67,0.4,1.89,10.17,Solvent,Weak + C13_Sat,,,72,1.51,0,13.3,4.75,Compound,None,,,100,0.87,0,4.93,2.19,Compound,None,,
17,4.33,0,1.95,0.39,Compound,None,,,45,2.66,0.3,1.85,7.36,Solvent,Weak + C13_Sat,,,73,1.48,0,5.83,0.74,Compound,None,,,101,0.86,0,3.34,2.06,Compound,None,,
18,4.31,0,1.63,0.2,Impurity,Weak,,,46,2.66,0.1,1.61,2.25,Solvent,Weak + C13_Sat,,,74,1.44,0,0.92,0.1,Impurity,Weak,,,102,0.85,0.1,3.45,2.4,Compound,None,,
19,4.01,0,2.87,0.25,Impurity,Weak,,,47,2.61,0,67.74,23.12,Artifact,Weak,,,75,1.39,0,0.77,0.06,Artifact,Weak,,,103,0.85,0,3.14,2,Compound,None,,
20,3.95,0,4.87,1.15,Compound,None,,,48,2.52,0.1,0.86,0.75,Artifact,Weak,,,76,1.35,0.1,2,1.64,Compound,None,,,104,0.83,0,5.45,3.15,Compound,None,,
21,3.95,0,1.62,0.27,Compound,None,,,49,2.51,17.7,1.35,248.19,Solvent,None,,,77,1.3,0,3.23,0.45,Impurity,Weak,,,105,0.82,0,3.78,1.5,Compound,None,,
22,3.82,0,1.07,0.25,Impurity,Weak,,,50,2.5,51.5,1.79,1146.67,Solvent,None,,,78,1.28,0,1.46,0.19,Compound,Weak,,,106,0.81,0,10.52,2.78,Compound,None,,
