,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.92,0,0.4,0.02,Artifact,Weak,,,29,2.78,0,9.86,1.1,Impurity,Weak,,,57,1.5,0,5.28,1.44,Compound,None,,
2,7.48,0,0.74,0.06,Artifact,Weak,,,30,2.76,0,2.73,0.31,Impurity,Weak,,,58,1.49,0,5.19,1.02,Impurity,Weak,,
3,7.21,0.1,17.82,11.91,Compound,None,,,31,2.68,0.1,1.43,2.19,Solvent,Weak + C13_Sat,,,59,1.44,0,0.57,0.04,Artifact,Weak,,
4,7.09,0.1,18.2,13.06,Compound,None,,,32,2.67,0.3,1.56,6.31,Solvent,Weak + C13_Sat,,,60,1.35,0,2.07,0.66,Impurity,None,,
5,6.96,0,15.79,9.54,Compound,None,,,33,2.67,0.4,1.56,8.8,Solvent,Weak + C13_Sat,,,61,1.32,0,1.22,0.09,Artifact,Weak,,
6,6.53,0,2.15,0.51,Impurity,Weak,,,34,2.66,0.3,1.6,6.33,Solvent,Weak + C13_Sat,,,62,1.3,0,3.4,0.21,Artifact,Weak,,
7,6.52,0.1,1.19,1.32,Impurity,None,,,35,2.66,0.1,1.27,1.77,Solvent,Weak + C13_Sat,,,63,1.26,0,1.01,0.09,Impurity,Weak,,
8,6.28,0,1.08,0.09,Artifact,Weak,,,36,2.55,0.2,35.74,102.65,Artifact,Weak,,,64,1.24,0.1,10.14,18.46,Compound,None,,
9,5.22,0,1.47,0.12,Artifact,Weak,,,37,2.52,0.2,1.04,2.22,Solvent,Weak,,,65,1.23,0.2,2.62,5.7,Compound,None,,
10,4.56,0,0.92,0.06,Artifact,Weak,,,38,2.51,23,1.37,379.35,Solvent,None,,,66,1.16,0,2.15,0.34,Compound,None,,
11,4.32,0,1.29,0.1,Artifact,Weak,,,39,2.5,56,1.56,1111.19,Solvent,None,,,67,1.15,0.1,3.47,2.08,Compound,None,,
12,4.31,0,2.54,0.26,Impurity,Weak,,,40,2.5,82,1.59,1651.56,Solvent,None,,,68,1.13,0,0.82,0.08,Impurity,Weak,,
13,4.03,0,16.32,1.89,Compound,None,,,41,2.5,57.4,1.56,1170.63,Solvent,None,,,69,1.11,0,1.02,0.09,Impurity,Weak,,
14,3.95,0,6.59,1.27,Impurity,None,,,42,2.49,21.5,1.27,317.99,Solvent,None,,,70,1.06,0,1.77,0.25,Impurity,Weak,,
15,3.94,0,5.7,0.66,Impurity,Weak,,,43,2.34,0.1,1.31,2.16,Solvent,Weak + C13_Sat,,,71,1.05,0.3,3.38,10.71,Compound,None,,
16,3.64,0,0.74,0.05,Artifact,Weak,,,44,2.33,0.3,1.56,6.14,Solvent,Weak + C13_Sat,,,72,1.03,0.3,4.31,16.42,Compound,None,,
17,3.57,0,0.7,0.1,Impurity,Weak,,,45,2.33,0.5,1.56,9.19,Solvent,Weak + C13_Sat,,,73,1.02,0,2.06,0.79,Compound,None,,
18,3.54,0,0.86,0.06,Artifact,Weak,,,46,2.32,0.3,1.5,5.68,Solvent,Weak + C13_Sat,,,74,1,0,3.37,0.67,Impurity,Weak,,
19,3.51,0.5,2.49,15.64,Compound,None,,,47,2.32,0.1,1.4,2.1,Solvent,Weak + C13_Sat,,,75,0.99,0,0.83,0.09,Impurity,Weak,,
20,3.48,0,3.52,1.39,Impurity,Weak,,,48,2.23,0,1.83,0.54,Impurity,Weak,,,76,0.89,0,3.1,0.51,Impurity,Weak,,
21,3.45,0,2.69,0.83,Artifact,Weak,,,49,2.21,0,2.42,1.31,Impurity,None,,,77,0.86,0,3.59,1.64,Compound,None,,
22,3.44,0,1.16,0.18,Artifact,Weak,,,50,2.19,0,1.67,0.46,Impurity,Weak,,,78,0.86,0,1.17,0.27,Impurity,Weak,,
23,3.44,0,1.07,0.08,Artifact,Weak,,,51,2.18,0,2.03,0.22,Impurity,Weak,,,79,0.85,0,1.8,0.58,Compound,None,,
24,3.42,0,3.53,1.52,Artifact,Weak,,,52,2.16,0,1.01,0.09,Impurity,Weak,,,80,0.85,0,2.33,0.71,Compound,None,,
25,3.41,0,3.48,1.08,Artifact,Weak,,,53,2.04,0,4.7,0.38,Artifact,Weak,,,81,0.84,0,3.68,0.76,Impurity,Weak,,
26,2.94,0,13.5,3.29,Compound,None,,,54,1.91,0.1,1.05,0.96,Impurity,None,,,82,0.07,0,1.99,0.33,Impurity,Weak,,
27,2.92,0,3.01,0.43,Compound,None,,,55,1.54,0,4.43,0.65,Compound,None,,,83,-0.94,0,1.31,0.08,Artifact,Weak,,
28,2.91,0,1.29,0.11,Artifact,Weak,,,56,1.52,0,7.54,1.97,Compound,None,,,,,,,,,,,
