,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0.1,2.43,1.57,Compound,None,,,28,4.89,0.2,2.76,5.89,Compound,None,,,55,4.33,0.3,5.24,20.62,Compound,None,,,82,3.59,0,2.41,0.82,Artifact,Weak,,,109,3.21,0.1,2.69,1.65,Artifact,Weak,,,136,2.67,0.2,2.27,6.68,Solvent,Weak + C13_Sat,,,163,1.77,0,3.31,1.14,Compound,None,,
2,8.05,0,2.85,0.3,Artifact,Weak,,,29,4.88,0.2,3.18,10.19,Compound,None,,,56,4.32,0.1,4.18,5,Compound,None,,,83,3.58,0.1,2.57,3.38,Artifact,Weak,,,110,3.16,0,2.65,1.18,Artifact,Weak,,,137,2.67,0.4,2.76,14.11,Solvent,Weak + C13_Sat,,,164,1.75,0,1.81,0.33,Compound,None,,
3,7.69,0,5.87,0.66,Artifact,Weak,,,30,4.87,0.3,3.27,11.99,Compound,None,,,57,4.31,0.1,3.42,3.33,Compound,None,,,84,3.57,0.2,3.64,10.99,Compound,None,,,111,3.15,0,2.82,1.98,Artifact,Weak,,,138,2.66,0.2,2.3,6.96,Solvent,Weak + C13_Sat,,,165,1.52,0,1.78,0.18,Artifact,Weak,,
4,7.11,0.1,77.14,65.73,Compound,None,,,31,4.84,0.1,127.81,186.12,Compound,None,,,58,4.3,0,4.07,1.96,Compound,None,,,85,3.56,0.2,3.36,7.09,Compound,None,,,112,3.14,0.1,4.13,4.27,Artifact,Weak,,,139,2.66,0.1,1.65,1.56,Solvent,Weak + C13_Sat,,,166,1.5,0,20.5,10.5,Compound,None,,
5,7.06,0.1,109.17,69.13,Compound,None,,,32,4.82,0.6,3.48,28.16,Compound,None,,,59,4.28,0.1,2.29,3.15,Compound,None,,,86,3.54,0.3,5.89,20.73,Compound,None,,,113,3.13,0.2,3.88,8.88,Compound,None,,,140,2.51,12.7,3.66,588.05,Solvent,None,,,167,1.29,0,65.53,16.46,Compound,None,,
6,6.57,0.3,2.63,9.03,Compound,None,,,33,4.81,0.7,3.5,29.19,Compound,None,,,60,4.26,0.2,3.67,9.43,Compound,None,,,87,3.53,0.2,4.94,13.15,Compound,None,,,114,3.12,0.1,3.18,4.49,Artifact,Weak,,,141,2.5,44.2,2.27,1275.05,Solvent,None,,,168,1.28,0,1.81,0.23,Artifact,Weak,,
7,6.55,0.3,2.92,11.81,Compound,None,,,34,4.76,0.4,4.08,22.89,Compound,None,,,61,4.25,0.1,2.69,5.04,Compound,None,,,88,3.53,0.1,3.19,3.24,Artifact,Weak,,,115,3.11,0.2,4.23,11.14,Compound,None,,,142,2.5,76.4,2.76,2816.1,Solvent,None,,,169,1.26,0.1,7.98,6.61,Compound,None,,
8,6.52,0,3.39,0.74,Impurity,None,,,35,4.75,0.2,3.08,7.16,Compound,None,,,62,4.21,0,4.85,0.81,Impurity,Weak,,,89,3.52,0.1,1.96,1.19,Artifact,Weak,,,116,3.1,0.2,3.99,8.11,Compound,None,,,143,2.5,42.1,2.14,1138.22,Solvent,None,,,170,1.24,0.1,5.71,8.12,Compound,None,,
9,6.2,0.2,3.09,9.26,Compound,None,,,36,4.74,0.5,4.28,25.04,Compound,None,,,63,4.13,0.1,3.83,5.58,Compound,None,,,90,3.51,0.3,2.86,10.43,Compound,None,,,117,3.1,0.1,3.39,5.44,Artifact,Weak,,,144,2.49,17.4,1.81,385.84,Solvent,None,,,171,1.23,0.2,4.67,11.46,Compound,None,,
10,6.18,0.3,3.22,10.46,Compound,None,,,37,4.73,0.2,3.13,7.49,Compound,None,,,64,4.11,0.1,3.76,5.68,Compound,None,,,91,3.5,0,2.27,0.72,Artifact,Weak,,,118,3.08,0.1,3.52,6.1,Artifact,Weak,,,145,2.34,0.1,2.59,3.76,Solvent,Weak + C13_Sat,,,172,1.14,0.1,4.82,3.3,Compound,None,,
11,6.16,0,6.03,0.74,Artifact,Weak,,,38,4.72,0,6.04,2.49,Compound,None,,,65,4.1,0,1.12,0.18,Impurity,Weak,,,92,3.48,0.1,3.78,5.13,Artifact,Weak,,,119,3.08,0.1,3.75,5.32,Artifact,Weak,,,146,2.33,0.2,2.33,6.22,Solvent,Weak + C13_Sat,,,173,1.11,0,18.57,12.24,Compound,None,,
12,6.13,0,5.56,0.92,Impurity,Weak,,,39,4.71,0,1.1,0.16,Artifact,Weak,,,66,3.97,0,3.44,0.96,Compound,None,,,93,3.47,0.2,2.93,5.77,Artifact,Weak,,,120,3.06,0.1,2.74,4.15,Artifact,Weak,,,147,2.33,0.4,3.01,15.51,Solvent,Weak + C13_Sat,,,174,1.09,0.2,2.36,6.74,Compound,None,,
