,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14,0,0.41,0.03,Artifact,Weak,,,26,3.72,0,7.56,1.68,Compound,None,,,51,2.5,55.1,1.84,1298.89,Solvent,None,,,76,1.52,0.1,5.2,4.56,Compound,None,,,101,1.06,0,1.68,0.58,Compound,None,,
2,13.06,0,0.75,0.06,Artifact,Weak,,,27,3.57,0,0.42,0.04,Artifact,Weak,,,52,2.5,78.9,1.71,1725.83,Solvent,None,,,77,1.5,0.1,5.36,5.51,Compound,None,,,102,1.05,0.3,2.46,8.05,Compound,None,,
3,10.24,0,0.75,0.04,Artifact,Weak,,,28,3.55,0.1,207.46,209.47,Artifact,Weak,,,53,2.5,54.5,1.51,1057.63,Solvent,None,,,78,1.48,0,3.83,2.33,Compound,None,,,103,1.04,0.3,2.61,10.43,Compound,None,,
4,10.2,0,2.12,0.2,Artifact,Weak,,,29,3.55,0,2.46,0.22,Artifact,Weak,,,54,2.49,26.3,1.76,616.84,Solvent,None,,,79,1.48,0,1.05,0.13,Impurity,Weak,,,104,1.03,0.5,3.41,17.85,Compound,None,,
5,7.22,0.4,4.62,20.81,Compound,None,,,30,3.5,0.7,2.45,22.75,Compound,None,,,55,2.44,0.3,30.72,126.4,Artifact,Weak,,,80,1.47,0,2.75,0.45,Compound,Weak,,,105,1.02,0.1,4.07,3.04,Compound,None,,
6,7.15,0,14.69,1.84,Compound,None,,,31,3.49,0.1,4.45,3.53,Artifact,Weak,,,56,2.34,0.1,1.26,1.56,Solvent,Weak + C13_Sat,,,81,1.35,0.2,1.7,4.85,Compound,None,,,106,1.01,0,11.92,4.97,Compound,None,,
7,7.12,0.1,11.66,9.32,Compound,None,,,32,3.48,0.1,5.96,7.09,Artifact,Weak,,,57,2.33,0.3,1.6,5.62,Solvent,Weak + C13_Sat,,,82,1.34,0,3.03,0.65,Compound,None,,,107,1,0,1.6,0.52,Compound,None,,
8,7.1,0.4,4.31,19.54,Compound,None,,,33,3.47,0,3,1.03,Artifact,Weak,,,58,2.33,0.4,1.71,10.14,Solvent,Weak + C13_Sat,,,83,1.33,0,0.86,0.13,Impurity,Weak,,,108,0.99,0,0.61,0.1,Impurity,Weak,,
9,6.99,0.1,13.9,11.42,Compound,None,,,34,3.45,0,2.32,0.9,Artifact,Weak,,,59,2.32,0.3,1.65,6.29,Solvent,Weak + C13_Sat,,,84,1.33,0,2.01,0.23,Impurity,Weak,,,109,0.89,0,3.67,0.79,Compound,None,,
10,6.97,0.3,4.31,17.67,Compound,None,,,35,3.44,0.4,52.44,338.82,Artifact,Weak,,,60,2.32,0.1,1.6,2.48,Solvent,Weak + C13_Sat,,,85,1.32,0,2.35,0.56,Impurity,None,,,110,0.87,0,4.51,1.44,Compound,None,,
11,6.92,0,1.94,0.53,Impurity,None,,,36,3.42,0,2.59,1.59,Artifact,Weak,,,61,2.28,0,2.42,0.27,Artifact,Weak,,,86,1.3,0,2.01,0.45,Impurity,None,,,111,0.87,0,2.82,0.52,Compound,None,,
12,6.7,0,1.22,0.23,Impurity,Weak,,,37,3.42,0.1,3.39,3.48,Artifact,Weak,,,62,2.23,0.1,2.01,1.76,Compound,None,,,87,1.3,0,2.08,0.52,Compound,None,,,112,0.86,0.1,2.25,1.58,Compound,None,,
13,6.52,0.1,1.78,2.96,Compound,None,,,38,3.41,0.1,5.44,6.89,Artifact,Weak,,,63,2.22,0,1.82,0.24,Compound,Weak,,,88,1.28,0,2.26,0.94,Compound,None,,,113,0.85,0,2.8,1.44,Compound,None,,
14,5.27,0,5.34,0.51,Artifact,Weak,,,39,3.38,0.7,22.56,199.28,Artifact,Weak,,,64,2.21,0.1,1.96,3.35,Compound,None,,,89,1.27,0,1.51,0.24,Compound,Weak,,,114,0.85,0.1,6.75,6.6,Compound,None,,
15,5.26,0,5.49,1.15,Compound,None,,,40,2.94,0,11.41,5.43,Compound,None,,,65,2.2,0,2.49,0.47,Compound,None,,,90,1.26,0,1.63,0.3,Compound,Weak,,,115,0.83,0,25.94,17.01,Compound,None,,
16,5.22,0,6.16,0.36,Artifact,Weak,,,41,2.92,0,8.97,2.96,Compound,None,,,66,2.19,0.1,2.08,1.85,Compound,None,,,91,1.26,0.1,35.2,27.17,Compound,None,,,116,0.83,0,3.19,0.86,Compound,None,,
17,5.14,0,4.88,0.35,Artifact,Weak,,,42,2.76,0,22.82,12.12,Compound,None,,,67,2.18,0,1.8,0.39,Compound,None,,,92,1.25,0.1,5.13,10.77,Compound,None,,,117,0.81,0,4.88,1.54,Compound,None,,
18,5.11,0,1.91,0.18,Artifact,Weak,,,43,2.68,0.1,1.33,1.75,Solvent,Weak + C13_Sat,,,68,2.08,0,0.85,0.56,Impurity,None,,,93,1.23,0.3,3.8,14.97,Compound,None,,,118,0.8,0,0.98,0.1,Impurity,Weak,,
19,4.67,0,0.41,0.04,Artifact,Weak,,,44,2.67,0.3,1.66,5.88,Solvent,Weak + C13_Sat,,,69,2.06,0,3.63,0.4,Artifact,Weak,,,94,1.22,0,1.69,0.56,Compound,None,,,119,0.79,0,2.8,0.63,Impurity,None,,
20,4.32,0,1.6,0.14,Artifact,Weak,,,45,2.67,0.4,1.65,9.38,Solvent,Weak + C13_Sat,,,70,1.99,0,0.82,0.08,Artifact,Weak,,,95,1.21,0,9.36,3.71,Compound,None,,,120,0.16,0,0.54,0.04,Artifact,Weak,,
