,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.98,0,6.9,0.97,Compound,None,,,40,6.23,0,1.38,0.21,Impurity,Weak,,,69,5.22,0,1.64,0.21,Impurity,Weak,,,98,4.86,0.1,2.74,2.02,Compound,None,,,127,4.49,0.3,2.32,8.39,Compound,None,,,156,4.04,0,4.87,2.67,Compound,None,,,185,3.59,0.1,2.29,2.36,Artifact,Weak,,,214,3.2,0,3.01,1.02,Artifact,Weak,,,243,2.92,0,1.87,0.32,Compound,Weak,,,272,2.36,0,2.81,0.4,Impurity,Weak,,,301,2.04,0,2.95,0.43,Compound,None,,,330,1.15,0,0.67,0.08,Impurity,Weak,,,359,0.84,0.2,3.52,8.06,Compound,None,,
12,7.95,0,2.96,0.65,Impurity,None,,,41,6.22,0,1.55,0.28,Impurity,Weak,,,70,5.19,0,1.17,0.12,Impurity,Weak,,,99,4.85,0.1,5.2,4.98,Compound,None,,,128,4.47,0.6,2.57,18.99,Compound,None,,,157,4.01,0,2.14,0.33,Impurity,Weak,,,186,3.58,0,1.17,0.52,Artifact,Weak,,,215,3.19,0,6.09,1.82,Artifact,Weak,,,244,2.91,0.2,1.92,4.47,Compound,None,,,273,2.34,0.1,1.38,1.7,Solvent,Weak + C13_Sat,,,302,2.03,0,7.34,2.13,Compound,None,,,331,1.14,0.1,4.52,4.03,Compound,None,,,360,0.83,0.1,4.3,6.67,Compound,None,,
13,7.94,0,1.92,0.68,Impurity,None,,,42,6.2,0.4,2.15,8.95,Compound,None,,,71,5.16,0,0.96,0.07,Artifact,Weak,,,100,4.83,0.9,2.44,23.3,Compound,None,,,129,4.46,0.3,2.7,10.57,Compound,None,,,158,3.99,0,0.81,0.1,Impurity,Weak,,,187,3.58,0.2,2.69,7.32,Artifact,Weak,,,216,3.17,0.1,1.68,2.46,Artifact,Weak,,,245,2.9,0.2,1.95,4.5,Compound,None,,,274,2.33,0.3,1.8,6.69,Solvent,Weak + C13_Sat,,,303,2.02,0,11.18,3.31,Compound,None,,,332,1.13,0,4.46,1.15,Compound,None,,,361,0.82,0.1,3.47,3.16,Compound,None,,
14,7.89,0,1.14,0.18,Impurity,Weak,,,43,6.19,0.4,2.5,11.52,Compound,None,,,72,5.15,0,1.62,0.18,Impurity,Weak,,,101,4.83,0.9,2.61,28.94,Compound,None,,,130,4.45,0.3,2.59,9.99,Compound,None,,,159,3.95,0.1,15.36,10.58,Compound,None,,,188,3.57,0.4,2.93,13.02,Artifact,Weak,,,217,3.16,0.2,3.23,5.8,Artifact,Weak,,,246,2.89,0.2,2.96,7.52,Compound,None,,,275,2.33,0.4,2.04,11.22,Solvent,Weak + C13_Sat,,,304,1.98,0,1.71,0.12,Artifact,Weak,,,333,1.12,0,2.51,0.61,Compound,None,,,362,0.81,0.1,3.79,3.2,Compound,None,,
15,7.87,0,1.1,0.2,Impurity,Weak,,,44,6.16,0,2.9,0.18,Artifact,Weak,,,73,5.13,0,2.47,0.26,Artifact,Weak,,,102,4.82,1,2.39,27.62,Compound,None,,,131,4.43,0.3,2.45,9.35,Compound,None,,,160,3.92,0.1,3.14,1.95,Compound,None,,,189,3.56,0.3,2.56,9.59,Artifact,Weak,,,218,3.15,0.1,2.04,2.42,Artifact,Weak,,,247,2.88,0.3,2.97,9.52,Compound,None,,,276,2.32,0.2,1.67,5.59,Solvent,Weak + C13_Sat,,,305,1.91,1.1,1.09,14.19,Compound,None,,,334,1.12,0,4.21,0.78,Compound,None,,,363,0.8,0.1,3.73,3.14,Compound,None,,
16,7.69,0,3.24,0.5,Impurity,None,,,45,6.14,0,3.45,0.88,Compound,None,,,74,5.12,0,3.4,0.66,Compound,None,,,103,4.82,0.8,2.21,21.06,Compound,None,,,132,4.42,0.1,4.11,6.46,Compound,None,,,161,3.9,0.1,3.51,2.35,Compound,None,,,190,3.54,0.4,4.5,25.28,Artifact,Weak,,,219,3.14,0.1,5.04,10.98,Artifact,Weak,,,248,2.87,0.1,2.32,4.59,Compound,None,,,277,2.32,0.1,1.6,2.15,Solvent,Weak + C13_Sat,,,306,1.84,0,28.25,12.01,Compound,None,,,335,1.11,0.2,1.2,3.87,Compound,None,,,364,0.79,0,2.51,1.36,Compound,None,,
17,7.42,0,1.07,0.18,Impurity,Weak,,,46,6.13,0,3.3,0.91,Compound,None,,,75,5.11,0,5.7,3.95,Compound,None,,,104,4.8,0,2.23,0.52,Compound,None,,,133,4.4,0.1,3.42,6.03,Compound,None,,,162,3.84,0,1.26,0.2,Impurity,Weak,,,191,3.53,0.3,4.95,22.84,Artifact,Weak,,,220,3.13,0.3,3.63,12.05,Artifact,Weak,,,249,2.85,0.2,2.08,4.2,Compound,None,,,278,2.31,0,1.51,0.59,Compound,None,,,307,1.82,0.1,2.11,1.52,Compound,None,,,336,1.1,0,2.08,0.41,Compound,Weak,,,365,0.78,0,1.86,0.98,Compound,None,,
18,7.3,0,66.35,34.1,Compound,None,,,47,6.1,0,2.04,0.68,Impurity,None,,,76,5.1,0,4.84,3.08,Compound,None,,,105,4.79,0,3.87,1.38,Compound,None,,,134,4.39,0,3.07,1.82,Compound,None,,,163,3.81,0,21.85,2.33,Artifact,Weak,,,192,3.52,0.2,3.15,5.21,Artifact,Weak,,,221,3.12,0.1,2.64,4,Artifact,Weak,,,250,2.84,0,2.08,0.29,Compound,Weak,,,279,2.3,0,1.03,0.46,Compound,None,,,308,1.81,0,2.26,0.61,Compound,None,,,337,1.09,0.4,1.41,8.41,Compound,None,,,366,0.78,0,1.45,0.22,Compound,Weak,,
19,7.24,0,1.72,0.16,Artifact,Weak,,,48,6.09,0,1.8,0.21,Impurity,Weak,,,77,5.09,0,5.01,1.54,Compound,None,,,106,4.77,0.7,3.03,22.3,Compound,None,,,135,4.37,0.2,2.91,9.37,Compound,None,,,164,3.8,0,1.66,0.73,Impurity,None,,,193,3.5,0.7,2.86,25.87,Artifact,Weak,,,222,3.11,0.4,2.72,14.16,Artifact,Weak,,,251,2.73,0,1.13,0.08,Artifact,Weak,,,280,2.3,0,1.96,0.83,Compound,None,,,309,1.77,0,2.54,1.17,Compound,None,,,338,1.07,0.3,1.29,5.25,Compound,None,,,367,0.77,0,2.22,0.25,Artifact,Weak,,
20,7.14,0,1.81,0.58,Compound,None,,,49,6.07,0,2.65,0.52,Compound,None,,,78,5.08,0,3.71,1.02,Compound,None,,,107,4.76,0.8,2.48,25.93,Compound,None,,,136,4.36,0.1,2.34,4.04,Compound,None,,,165,3.79,0,1.14,0.19,Impurity,Weak,,,194,3.49,0.1,2.45,2.85,Artifact,Weak,,,223,3.1,0.2,2.5,7.76,Artifact,Weak,,,252,2.68,0.1,1.31,1.33,Solvent,Weak + C13_Sat,,,281,2.28,0.1,1.71,2.76,Compound,None,,,310,1.75,0.1,1.45,1.66,Compound,None,,,339,1.07,0.7,1.03,9.57,Compound,None,,,368,0.76,0,2.37,0.96,Compound,None,,
21,7.13,0.1,153.56,149.91,Compound,None,,,50,6.06,0,5.86,1.4,Compound,None,,,79,5.06,0,1.31,0.2,Compound,Weak,,,108,4.75,0.5,2.32,14.33,Compound,None,,,137,4.35,0.5,3.16,19.43,Compound,None,,,166,3.78,0,0.93,0.13,Impurity,Weak,,,195,3.48,0.3,4.56,15.61,Artifact,Weak,,,224,3.1,0.2,2.48,6.98,Artifact,Weak,,,253,2.67,0.3,1.78,6.56,Solvent,Weak + C13_Sat,,,282,2.27,0,2.26,0.22,Compound,Weak,,,311,1.64,0,4.78,0.62,Impurity,Weak,,,340,1.05,1.4,0.98,17.59,Compound,None,,,369,0.76,0,3.91,0.25,Artifact,Weak,,
22,6.84,0,1.69,0.28,Impurity,Weak,,,51,6.05,0,1.36,0.13,Artifact,Weak,,,80,5.05,0,1.31,0.14,Impurity,Weak,,,109,4.74,0.4,3.08,18.38,Compound,None,,,138,4.34,0.4,3.03,15.66,Compound,None,,,167,3.77,0,2.3,0.52,Impurity,None,,,196,3.47,0.4,2.86,13.21,Artifact,Weak,,,225,3.09,0.3,4.01,14.62,Artifact,Weak,,,254,2.67,0.4,1.87,10.26,Solvent,Weak + C13_Sat,,,283,2.26,0.2,1.83,3.95,Compound,None,,,312,1.63,0,2.57,0.57,Impurity,None,,,341,1.05,0.2,2.55,8.32,Compound,None,,,370,0.74,0,3.25,1.16,Compound,None,,
23,6.82,0,1.2,0.22,Impurity,Weak,,,52,6.03,0,2.31,0.56,Impurity,None,,,81,5.03,0,2.73,0.6,Impurity,None,,,110,4.73,0.1,3.47,2.76,Compound,None,,,139,4.34,0.2,3.26,9.65,Compound,None,,,168,3.76,0,2.05,0.7,Compound,None,,,197,3.45,0.5,3.03,18.91,Artifact,Weak,,,226,3.08,0.3,2.2,7.05,Artifact,Weak,,,255,2.66,0.3,1.74,6.34,Solvent,Weak + C13_Sat,,,284,2.25,0,1.24,0.28,Compound,Weak,,,313,1.61,0,3.31,0.42,Impurity,Weak,,,342,1.04,0.9,1.51,19.84,Compound,None,,,371,0.73,0,1.65,0.6,Compound,None,,
24,6.68,0,14.45,2.44,Compound,None,,,53,6.01,0,2.65,0.46,Impurity,Weak,,,82,5.02,0,1.28,0.09,Artifact,Weak,,,111,4.72,0,3.88,1.26,Compound,None,,,140,4.33,0.2,3.15,8.52,Compound,None,,,169,3.76,0,1.14,0.29,Compound,None,,,198,3.44,0.4,2.65,17.13,Artifact,Weak,,,227,3.07,0,0.7,0.14,Artifact,Weak,,,256,2.66,0.1,1.54,2.03,Solvent,Weak + C13_Sat,,,285,2.24,0.1,1.36,1.83,Compound,None,,,314,1.59,0,2.62,0.25,Artifact,Weak,,,343,1.03,0.7,1,8.68,Compound,None,,,372,0.71,0,2.7,0.67,Impurity,None,,
25,6.67,0,2.55,0.38,Compound,None,,,54,5.78,0,2.06,0.35,Impurity,Weak,,,83,5.02,0,2.1,0.5,Compound,None,,,112,4.7,0,1.68,0.32,Compound,Weak,,,141,4.32,0.1,3.81,3.64,Compound,None,,,170,3.75,0,3.47,1.46,Compound,None,,,199,3.43,0.3,2.83,12.24,Artifact,Weak,,,228,3.06,0.2,2.71,8.2,Artifact,Weak,,,257,2.6,0,2.63,0.3,Artifact,Weak,,,286,2.23,0,2.18,0.58,Compound,None,,,315,1.49,0,11.31,2.79,Compound,None,,,344,1.03,0.9,1.84,21.12,Compound,None,,,373,0.69,0,2.12,0.26,Impurity,Weak,,
26,6.65,0,1.13,0.14,Impurity,Weak,,,55,5.77,0,1.24,0.12,Artifact,Weak,,,84,5.01,0,5.3,1.65,Compound,None,,,113,4.69,0,1.13,0.11,Artifact,Weak,,,142,4.31,0,3.51,1.95,Compound,None,,,171,3.7,0,2.15,0.33,Impurity,Weak,,,200,3.42,0.4,2.7,15.7,Artifact,Weak,,,229,3.05,0.2,1.99,5.37,Artifact,Weak,,,258,2.56,0.1,1.13,0.87,Artifact,Weak,,,287,2.22,0,2.04,0.76,Compound,None,,,316,1.35,0,15.4,7.19,Compound,None,,,345,1.02,0.1,2.62,2.13,Compound,None,,,374,0.67,0,1.58,0.17,Impurity,Weak,,
27,6.57,0.8,1.6,15.53,Compound,None,,,56,5.75,0,1.86,0.36,Impurity,Weak,,,85,5,0,4.1,0.84,Compound,None,,,114,4.67,0,2.89,1.09,Compound,None,,,143,4.28,0.4,1.65,7.88,Compound,None,,,172,3.69,0,3.57,0.55,Impurity,Weak,,,201,3.42,0.4,3.4,18.8,Artifact,Weak,,,230,3.05,0.2,3.03,7.87,Artifact,Weak,,,259,2.54,0,0.85,0.2,Artifact,Weak,,,288,2.21,0,1.81,0.43,Compound,None,,,317,1.34,0,0.91,0.09,Artifact,Weak,,,346,1.01,0,5.45,2.33,Compound,None,,,375,0.06,0,2.44,1.57,Compound,None,,
28,6.55,0.8,1.74,18.04,Compound,None,,,57,5.65,0.1,3.45,3.32,Compound,None,,,86,4.97,0,3.75,0.78,Compound,None,,,115,4.66,0,2.48,1.05,Compound,None,,,144,4.26,0.5,2.85,17.12,Compound,None,,,173,3.68,0.1,2.08,3.13,Artifact,Weak,,,202,3.41,0.2,5.81,15.46,Artifact,Weak,,,231,3.04,0.6,2.92,23.62,Artifact,Weak,,,260,2.52,0.1,1.02,1.67,Artifact,Weak,,,289,2.21,0,1.1,0.34,Compound,None,,,318,1.33,0,2.48,0.32,Impurity,Weak,,,347,1,0.1,3.9,2.41,Compound,None,,,376,-0.01,0,2.42,0.17,CS Reference,Weak,,
29,6.55,0,1.64,1.09,Compound,None,,,58,5.63,0,3.58,1.94,Compound,None,,,87,4.96,0,3.23,1.36,Compound,None,,,116,4.65,0,2.2,0.89,Compound,None,,,145,4.25,0.4,1.83,9.84,Compound,None,,,174,3.67,0.1,2.48,4.91,Artifact,Weak,,,203,3.4,0.5,3.04,19.46,Artifact,Weak,,,232,3.03,0.3,2.64,11.1,Artifact,Weak,,,261,2.51,17.3,1.28,244.01,Solvent,None,,,290,2.19,0,17.48,4.77,Compound,None,,,319,1.32,0,1.48,0.1,Artifact,Weak,,,348,0.99,0,1.86,0.21,Artifact,Weak,,,,,,,,,,,
