,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.33,0,0.54,0.05,Artifact,Weak,,,29,3.44,0,9.76,3.32,Artifact,Weak,,,57,2.32,0.1,1.49,2.13,Solvent,Weak + C13_Sat,,,85,1.19,0,1.48,0.55,Impurity,None,,
2,13.89,0,0.48,0.03,Artifact,Weak,,,30,3.44,0,1.25,0.11,Artifact,Weak,,,58,2.29,0,2.02,0.17,Artifact,Weak,,,86,1.16,0,6.1,0.44,Artifact,Weak,,
3,11.72,0,1.03,0.09,Impurity,Weak,,,31,3.42,0.1,2.09,1.51,Artifact,Weak,,,59,2.23,0,1.83,0.92,Compound,None,,,87,1.15,0.1,3.58,2.1,Compound,None,,
4,10.61,0,0.55,0.04,Artifact,Weak,,,32,3.42,0,2.37,0.85,Artifact,Weak,,,60,2.21,0.1,2.05,2.09,Compound,None,,,88,1.12,0,1.09,0.11,Impurity,Weak,,
5,10.2,0,1.18,0.42,Impurity,None,,,33,3.41,0,4.61,2.08,Artifact,Weak,,,61,2.19,0,2.4,1.35,Compound,None,,,89,1.11,0,1.34,0.11,Impurity,Weak,,
6,8.13,0,4.74,0.37,Artifact,Weak,,,34,3.39,0,154.75,36.58,Artifact,Weak,,,62,2.18,0,1.61,0.15,Impurity,Weak,,,90,1.07,0.1,1.06,0.66,Impurity,None,,
7,7.59,0,53,3.99,Compound,None,,,35,2.95,0,6.48,0.5,Impurity,Weak,,,63,2.13,0,0.45,0.03,Artifact,Weak,,,91,1.05,0.1,1.11,1.52,Compound,None,,
8,7.41,0,0.42,0.03,Artifact,Weak,,,36,2.94,0,0.81,0.06,Artifact,Weak,,,64,2.08,0,1.2,0.15,Impurity,Weak,,,92,1.05,0.2,2.95,6.93,Compound,None,,
9,7.22,0.1,13.35,21.1,Compound,None,,,37,2.92,0,16.72,1.89,Compound,None,,,65,2.07,0,0.38,0.03,Artifact,Weak,,,93,1.04,0.1,2.26,3.25,Compound,None,,
10,7.09,0.1,12.98,21.91,Compound,None,,,38,2.77,0,17.91,6.35,Compound,None,,,66,2.06,0,8.33,0.83,Impurity,Weak,,,94,1.04,0.1,1.38,1.35,Impurity,None,,
11,6.96,0.1,11.77,18.29,Compound,None,,,39,2.68,0.1,1.36,1.8,Solvent,Weak + C13_Sat,,,67,2.04,0,1.73,0.24,Impurity,Weak,,,95,1.03,0.2,2.62,5.97,Compound,None,,
12,6.53,0,1.1,0.16,Impurity,Weak,,,40,2.67,0.3,1.68,6.45,Solvent,Weak + C13_Sat,,,68,1.91,0.1,1.06,1.31,Compound,None,,,96,1.03,0.1,2.63,4.47,Compound,None,,
13,6.52,0.1,1.44,1.44,Compound,None,,,41,2.67,0.4,1.68,9.41,Solvent,Weak + C13_Sat,,,69,1.56,0,1.43,0.11,Artifact,Weak,,,97,1.02,0,2.38,1.3,Impurity,None,,
14,6.46,0,0.35,0.02,Artifact,Weak,,,42,2.66,0.3,1.68,6.55,Solvent,Weak + C13_Sat,,,70,1.54,0,4.14,0.98,Compound,None,,,98,1,0,2.59,0.63,Impurity,None,,
