,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.07,0.1,0.92,0.7,Compound,None,,,31,5.23,0,2.78,0.29,Artifact,Weak,,,61,4.74,0.2,1.92,5.26,Compound,None,,,91,4.28,0.2,1.47,2.77,Compound,None,,,121,3.59,0,1.35,0.45,Compound,None,,,151,3.22,0,1.5,0.87,Artifact,Weak,,,181,2.96,0.1,1.93,2.71,Compound,None,,,211,2.34,0.1,1.24,1.62,Solvent,Weak + C13_Sat,,,241,2.01,0,11.25,2.86,Compound,None,,,271,1.03,1.1,2.91,41.94,Compound,None,,
2,10.53,0,0.56,0.03,Artifact,Weak,,,32,5.22,0,2.84,0.27,Impurity,Weak,,,62,4.72,0,2.92,1.18,Compound,None,,,92,4.27,0.1,1.71,3.18,Compound,None,,,122,3.58,0.1,1.93,2.23,Compound,None,,,152,3.21,0,3.05,0.98,Artifact,Weak,,,182,2.95,0.1,1.69,3.06,Compound,None,,,212,2.33,0.3,1.54,6.21,Solvent,Weak + C13_Sat,,,242,1.91,0.9,0.87,9.47,Compound,None,,,272,1.01,0.1,1.89,2.2,Compound,None,,
3,10.22,0,0.87,0.54,Compound,None,,,33,5.17,0,1.95,0.18,Artifact,Weak,,,63,4.69,0,1.27,0.08,Artifact,Weak,,,93,4.26,0.1,1.42,2.65,Compound,None,,,123,3.57,0.1,1.21,0.97,Compound,None,,,153,3.21,0,1.57,0.94,Artifact,Weak,,,183,2.95,0.1,1.82,2.39,Compound,None,,,213,2.33,0.4,1.57,9.26,Solvent,Weak + C13_Sat,,,243,1.87,0,23.39,3.29,Compound,None,,,273,1,0,2.56,0.74,Compound,None,,
4,9.66,0,1.32,0.29,Impurity,None,,,34,5.16,0,1.05,0.11,Impurity,Weak,,,64,4.66,0,2.39,0.61,Impurity,None,,,94,4.25,0.2,1.53,2.9,Compound,None,,,124,3.57,0.1,2.86,5.2,Compound,None,,,154,3.2,0,3.88,0.68,Artifact,Weak,,,184,2.94,0,1.55,0.66,Compound,None,,,214,2.32,0.3,1.42,5.29,Solvent,Weak + C13_Sat,,,244,1.84,0,16.12,2.55,Compound,None,,,274,1,0.1,1.61,2.04,Compound,None,,
5,9.65,0,0.85,0.19,Impurity,None,,,35,5.11,0,14.23,4.89,Compound,None,,,65,4.64,0,8.24,1.86,Compound,None,,,95,4.22,0,2.22,0.29,Impurity,None,,,125,3.56,0.1,1.96,2.19,Compound,None,,,155,3.19,0,1.39,0.18,Artifact,Weak,,,185,2.91,0.1,1.59,1.56,Compound,None,,,215,2.32,0.1,1.34,1.84,Solvent,Weak + C13_Sat,,,245,1.82,0,1.86,0.39,Compound,None,,,275,0.99,0,0.87,0.05,Artifact,Weak,,
6,8.13,0.1,2.31,3.31,Compound,None,,,36,5.1,0,10,0.9,Compound,None,,,66,4.62,0.2,1.96,4.57,Compound,None,,,96,4.18,0,1.41,0.13,Impurity,Weak,,,126,3.55,0,2.83,1.62,Compound,None,,,156,3.17,0.1,1.22,0.87,Artifact,Weak,,,186,2.9,0.1,1.71,1.67,Compound,None,,,216,2.3,0,1.34,0.75,Compound,None,,,246,1.77,0,2.19,0.48,Compound,None,,,276,0.98,0,0.98,0.14,Compound,Weak,,
7,7.95,0,3.07,0.19,Artifact,Weak,,,37,5.08,0,1.82,0.27,Compound,None,,,67,4.61,0.2,1.83,4.07,Compound,None,,,97,4.13,0,1.71,0.62,Compound,None,,,127,3.54,0.1,3.51,6.01,Artifact,Weak,,,157,3.16,0.1,2.23,1.7,Artifact,Weak,,,187,2.89,0.1,1.64,1.5,Compound,None,,,217,2.3,0,2.48,0.57,Compound,None,,,247,1.75,0,1.36,0.66,Compound,None,,,277,0.91,0,1.08,0.22,Impurity,None,,
8,7.94,0,0.89,0.09,Impurity,Weak,,,38,5.07,0,3.52,0.4,Impurity,Weak,,,68,4.59,0.2,1.71,4.85,Compound,None,,,98,4.12,0,2.59,0.77,Compound,None,,,128,3.53,0.1,2.47,3.6,Artifact,Weak,,,158,3.15,0,1.83,0.95,Artifact,Weak,,,188,2.88,0.1,1.69,1.19,Compound,None,,,218,2.29,0,2.16,1.05,Compound,None,,,248,1.72,0,0.82,0.07,Artifact,Weak,,,278,0.9,0,0.82,0.12,Impurity,Weak,,
9,7.87,0,1.14,0.08,Artifact,Weak,,,39,5,0,15.87,2.16,Compound,None,,,69,4.57,0.2,1.83,5.13,Compound,None,,,99,4.1,0,0.87,0.09,Impurity,Weak,,,129,3.53,0,1.89,1.03,Artifact,Weak,,,159,3.14,0.1,3.58,3.05,Artifact,Weak,,,189,2.88,0.1,1.77,1.81,Compound,None,,,219,2.28,0,1.7,0.47,Compound,None,,,249,1.61,0,1.12,0.08,Artifact,Weak,,,279,0.87,0.1,23.14,30.95,Compound,None,,
10,7.21,0.1,23.44,26.22,Compound,None,,,40,4.97,0,1.96,0.17,Artifact,Weak,,,70,4.56,0,2.57,0.28,Impurity,None,,,100,4.09,0,1.23,0.1,Impurity,Weak,,,130,3.52,0.1,1.93,1.15,Artifact,Weak,,,160,3.13,0.1,3.41,4.46,Artifact,Weak,,,190,2.87,0.1,1.54,1.04,Compound,None,,,220,2.28,0,1.83,0.88,Compound,None,,,250,1.57,0,3.8,0.5,Compound,None,,,280,0.86,0,2.11,0.98,Compound,None,,
11,7.09,0.1,26.03,34.95,Compound,None,,,41,4.96,0,1.42,0.17,Impurity,Weak,,,71,4.54,0,0.81,0.08,Artifact,Weak,,,101,4.04,0,3.38,1.59,Compound,None,,,131,3.51,0.1,2.17,2.57,Artifact,Weak,,,161,3.12,0.1,2.18,1.89,Compound,None,,,191,2.87,0.1,1.83,1.34,Compound,None,,,221,2.27,0,1.93,0.46,Compound,None,,,251,1.54,0,5.11,0.83,Compound,None,,,281,0.85,0.1,1.85,1.34,Compound,None,,
12,6.97,0.1,23.46,23.69,Compound,None,,,42,4.94,0,2.11,0.4,Impurity,None,,,72,4.49,0,2.49,0.51,Compound,None,,,102,3.96,0,8.36,1.49,Compound,None,,,132,3.49,0.1,4.75,6.24,Artifact,Weak,,,162,3.11,0.2,2.26,4.58,Compound,None,,,192,2.85,0.1,1.59,1.2,Compound,None,,,222,2.26,0,1.56,0.18,Compound,None,,,252,1.51,0,17.72,10.69,Compound,None,,,282,0.85,0.1,2.18,2.15,Compound,None,,
13,6.84,0,0.9,0.13,Impurity,Weak,,,43,4.93,0,2.13,0.31,Impurity,None,,,73,4.48,0.1,1.96,3.24,Compound,None,,,103,3.8,0,1.72,0.18,Artifact,Weak,,,133,3.48,0,3.31,1.84,Artifact,Weak,,,163,3.1,0.1,2.66,3.8,Compound,None,,,193,2.68,0.1,1.2,1.64,Solvent,Weak + C13_Sat,,,223,2.26,0,1.3,0.8,Compound,None,,,253,1.4,0.2,3.56,6.96,Compound,None,,,283,0.85,0.1,2.83,2.51,Compound,None,,
14,6.82,0,0.91,0.12,Impurity,Weak,,,44,4.91,0.1,2.08,2.4,Compound,None,,,74,4.47,0.2,2.03,5.72,Compound,None,,,104,3.79,0,0.93,0.07,Artifact,Weak,,,134,3.47,0.1,3.88,4.62,Artifact,Weak,,,164,3.1,0.1,2.47,3.82,Compound,None,,,194,2.67,0.3,1.65,6.38,Solvent,Weak + C13_Sat,,,224,2.24,0,1.21,0.33,Compound,None,,,254,1.39,0.1,4.13,6.92,Compound,None,,,284,0.84,0.1,3.51,4.91,Compound,None,,
