,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.21,63,0.79,588.02,Artifact,Weak,,,25,1.24,4776.2,4.58,308166.33,Compound,None,,
2,10.2,460.3,1.83,12238.76,Impurity,None,,,26,1.23,3279,4.25,193603.91,Compound,None,,
3,7.19,345.5,102.91,493458.39,Compound,None,,,27,1.21,67.4,0.78,766.23,Artifact,Weak,,
4,7.09,11756.6,25.28,3818696.97,Compound,None,,,28,1.18,72.3,2.69,2180.18,Artifact,Weak,,
5,6.52,195.6,1.64,4221.03,Impurity,Weak,,,29,1.14,458.4,4.22,23134.77,Compound,None,,
6,5.06,86.1,81.98,101448.7,Compound,None,,,30,1.11,794.8,20.85,230065.89,Compound,None,,
7,4.96,213,43.05,117793.88,Compound,None,,,31,1.07,3500.3,1.23,54943.83,Compound,None,,
8,4.79,175.4,249.54,637818.26,Compound,None,,,32,1.05,6481,1.09,87580.33,Compound,None,,
9,4.56,81.8,89.85,89332.87,Compound,None,,,33,1.04,16595.1,3.19,662154.14,Compound,None,,
10,4.42,111,6.21,9868.08,Impurity,Weak,,,34,1.04,4855.4,1.76,122381.28,Compound,None,,
11,4.41,173.9,4.64,11763.68,Impurity,None,,,35,1.03,18410.8,3.84,985067.86,Compound,None,,
12,4.4,159.2,4.91,11386.14,Impurity,None,,,36,1.02,1709.8,2.82,45329.79,Compound,None,,
13,4.36,609.4,2.18,16417.31,Compound,None,,,37,1.01,421.9,3.61,18820.9,Compound,Weak,,
14,4.34,1595.7,2.56,52705.89,Compound,None,,,38,1,1490.4,2.63,52313.54,Compound,None,,
15,4.33,1198.8,2.53,44212.51,Compound,None,,,39,0.99,168.5,1.81,4388.85,Artifact,Weak,,
16,1.91,456.2,1.4,8176.14,Impurity,None,,,40,0.98,74,1.1,1015.95,Artifact,Weak,,
17,1.84,303.3,32.3,125843.12,Compound,None,,,41,0.89,127.3,8.02,11824.72,Compound,None,,
18,1.75,134.1,2.03,2768.24,Impurity,Weak,,,42,0.87,398.5,5.18,26023.83,Compound,None,,
19,1.64,62.2,3.2,2900.34,Artifact,Weak,,,43,0.85,764.6,3.28,35889.16,Compound,None,,
20,1.55,60.8,0.66,419,Artifact,Weak,,,44,0.84,454.1,5.59,37009.18,Compound,None,,
21,1.52,369.5,10.41,51175.75,Compound,None,,,45,0.83,472.9,39.46,230507.86,Compound,None,,
22,1.5,474.2,10.48,72371.22,Compound,None,,,46,0.43,62.5,0.58,528.89,Artifact,Weak,,
23,1.48,264.6,10.52,37847.02,Compound,None,,,47,0.06,310.1,2.68,11108.59,CS Reference,None,,
24,1.28,109.3,1.04,1446.56,Impurity,Weak,,,,,,,,,,,
