,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.83,0,0.55,0.06,Artifact,Weak,,,30,3.16,0,1.69,0.26,Artifact,Weak,,,59,1.69,0,0.39,0.03,Artifact,Weak,,
2,10.2,0,1.81,0.32,Impurity,Weak,,,31,2.93,0,13.29,2.61,Compound,None,,,60,1.5,0,27.56,6.13,Compound,None,,
3,7.08,0.1,72.83,125.86,Compound,None,,,32,2.77,0,2.01,0.24,Artifact,Weak,,,61,1.36,0,6.35,1.19,Compound,None,,
4,6.52,0,2.41,0.72,Impurity,None,,,33,2.68,0.1,2.2,2.97,Solvent,Weak + C13_Sat,,,62,1.35,0.1,2.58,1.92,Compound,None,,
5,5.75,0,0.41,0.04,Artifact,Weak,,,34,2.67,0.3,2.33,8.51,Solvent,Weak + C13_Sat,,,63,1.33,0,2.23,0.35,Compound,None,,
6,4.74,0,536.95,225.85,Compound,None,,,35,2.67,0.4,2.31,12.14,Solvent,Weak + C13_Sat,,,64,1.3,0,1.53,0.27,Impurity,Weak,,
7,4.36,0.1,2.2,2.18,Compound,None,,,36,2.66,0.2,1.94,5.87,Solvent,Weak + C13_Sat,,,65,1.26,0,5.82,3.73,Compound,None,,
8,4.34,0.2,2.37,5.66,Compound,None,,,37,2.66,0.1,1.85,2.25,Solvent,Weak + C13_Sat,,,66,1.24,0.1,6.36,10.84,Compound,None,,
9,4.33,0.1,2.24,3.03,Compound,None,,,38,2.62,0,36.02,9.21,Artifact,Weak,,,67,1.23,0.4,3.9,18.55,Compound,None,,
10,4.02,0,23.68,2.25,Artifact,Weak,,,39,2.51,23.8,2.58,847.53,Solvent,None,,,68,1.19,0,1.3,0.15,Artifact,Weak,,
11,3.95,0,12.23,3.04,Compound,None,,,40,2.5,48.4,2.15,1337.04,Solvent,None,,,69,1.15,0,3.86,2.16,Compound,None,,
12,3.78,0,4.08,0.46,Impurity,Weak,,,41,2.5,76.1,2.36,2317.32,Solvent,None,,,70,1.11,0,3.18,0.44,Impurity,Weak,,
13,3.77,0,0.99,0.14,Impurity,Weak,,,42,2.5,45,1.94,1078.61,Solvent,None,,,71,1.07,0.3,1.71,6.61,Compound,None,,
14,3.76,0,1.46,0.27,Impurity,Weak,,,43,2.49,18.2,1.77,372.69,Solvent,None,,,72,1.05,0.7,2.2,20.95,Compound,None,,
15,3.75,0,1.85,0.22,Artifact,Weak,,,44,2.43,0,31.93,10.63,Artifact,Weak,,,73,1.04,0.5,2.33,12.89,Compound,None,,
16,3.57,0,1.75,0.19,Artifact,Weak,,,45,2.4,0,149.83,81.82,Artifact,Weak,,,74,1.04,0.4,2.25,12.42,Compound,None,,
17,3.51,0.3,3.1,10.3,Compound,None,,,46,2.34,0.1,2.05,3.56,Solvent,Weak + C13_Sat,,,75,1.03,0.4,2.49,14.74,Compound,None,,
18,3.49,0,1.82,0.23,Artifact,Weak,,,47,2.33,0.3,2.27,8.15,Solvent,Weak + C13_Sat,,,76,1.02,0,3.5,0.96,Compound,None,,
19,3.48,0.1,21.76,21.1,Artifact,Weak,,,48,2.33,0.4,2.1,10.06,Solvent,Weak + C13_Sat,,,77,1,0,4.77,1.61,Compound,None,,
20,3.47,0,1.2,0.22,Artifact,Weak,,,49,2.32,0.3,2.23,7.57,Solvent,Weak + C13_Sat,,,78,0.99,0,5.11,0.76,Impurity,Weak,,
21,3.46,0,1.3,0.31,Artifact,Weak,,,50,2.32,0.1,1.68,1.61,Solvent,Weak + C13_Sat,,,79,0.89,0,3.43,0.47,Compound,Weak,,
22,3.45,0.1,2.08,3.46,Artifact,Weak,,,51,2.23,0,2.34,0.5,Compound,None,,,80,0.87,0,10.15,5.91,Compound,None,,
23,3.44,0.1,2.41,4.31,Artifact,Weak,,,52,2.21,0,3.94,1.14,Compound,None,,,81,0.86,0,3.19,1.5,Compound,None,,
24,3.44,0.1,1.88,2.8,Artifact,Weak,,,53,2.2,0,3.73,0.82,Compound,None,,,82,0.85,0.1,3.78,3.17,Compound,None,,
25,3.42,0.2,2.2,4.5,Artifact,Weak,,,54,2.18,0,2.04,0.28,Impurity,Weak,,,83,0.85,0,1.95,0.63,Compound,None,,
26,3.42,0.1,1.91,1.22,Artifact,Weak,,,55,2.08,0,0.85,0.1,Artifact,Weak,,,84,0.84,0.1,10.31,8.86,Compound,None,,
27,3.41,0,2.39,1.15,Artifact,Weak,,,56,2.07,0,1.45,0.54,Impurity,None,,,85,0.81,0,8.37,3.11,Compound,None,,
28,3.39,0.1,36.07,39.73,Artifact,Weak,,,57,1.91,0.1,1.84,1.26,Compound,None,,,86,0.07,0,2.94,1.06,Compound,None,,
29,3.24,0,95.46,56.62,Artifact,Weak,,,58,1.75,0,1.85,0.2,Artifact,Weak,,,,,,,,,,,
