,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.11,0.3,52.36,170.73,Compound,None,,,40,5.1,0,2.58,0.85,Impurity,Weak,,,69,4.59,0.4,2.2,10.59,Compound,None,,,98,4.04,0,0.87,0.06,Artifact,Weak,,,127,3.54,0.1,3.27,5.74,Artifact,Weak,,,156,3.12,0.2,2.58,5.26,Artifact,Weak,,,185,2.66,0.1,1.69,2.71,Solvent,Weak + C13_Sat,,,214,2.13,0,0.73,0.12,Impurity,Weak,,,243,1.19,0,1.07,0.16,Impurity,Weak,,,272,0.86,0.1,2.59,3.36,Compound,None,,
12,6.83,0,1.23,0.14,Artifact,Weak,,,41,5.03,0,2.15,0.28,Impurity,Weak,,,70,4.57,0.4,2.2,10.62,Compound,None,,,99,4.03,0,5.75,1.02,Impurity,Weak,,,128,3.53,0.3,2.93,10.31,Artifact,Weak,,,157,3.11,0.3,2.89,10.38,Artifact,Weak,,,186,2.6,0.1,116.65,152.26,Artifact,Weak,,,215,2.12,0,1.24,0.19,Impurity,Weak,,,244,1.18,0,1.4,0.22,Impurity,Weak,,,273,0.85,0.1,2.93,4.22,Compound,None,,
13,6.82,0,1.22,0.11,Impurity,Weak,,,42,5.02,0,2.34,0.2,Artifact,Weak,,,71,4.56,0,1.91,0.24,Impurity,Weak,,,100,4.01,0,1.55,0.16,Impurity,Weak,,,129,3.53,0.1,2.87,4.99,Artifact,Weak,,,158,3.1,0.2,3.44,10.09,Artifact,Weak,,,187,2.56,0,1.19,0.4,Artifact,Weak,,,216,2.09,0,1.71,1.09,Impurity,None,,,245,1.17,0,1.54,0.22,Impurity,Weak,,,274,0.85,0.2,4.21,10.6,Compound,None,,
14,6.67,0,2.47,0.26,Artifact,Weak,,,43,5.01,0,3.68,0.98,Impurity,Weak,,,72,4.53,0,1.56,0.19,Impurity,Weak,,,101,3.99,0,2.47,0.52,Impurity,Weak,,,130,3.52,0.1,2.29,3.2,Artifact,Weak,,,159,3.1,0.2,3.23,6.93,Artifact,Weak,,,188,2.55,0.3,54.41,234.58,Artifact,Weak,,,217,2.08,0.1,0.92,0.86,Impurity,None,,,246,1.16,0,0.86,0.08,Artifact,Weak,,,275,0.84,0.2,3.41,7.75,Compound,None,,
15,6.57,0.5,1.89,12.57,Compound,None,,,44,5,0,3.37,0.51,Impurity,Weak,,,73,4.49,0,2.46,0.64,Impurity,Weak,,,102,3.97,0,3.52,1.69,Impurity,None,,,131,3.5,0.6,2.32,18,Compound,None,,,160,3.08,0.2,3.35,9.7,Artifact,Weak,,,189,2.52,0.1,0.92,1.29,Artifact,Weak,,,218,2.08,0,4.01,0.91,Impurity,Weak,,,247,1.16,0,0.2,0.02,Artifact,Weak,,,276,0.83,0.1,4.49,5.93,Compound,None,,
16,6.55,0.5,1.78,10.93,Compound,None,,,45,4.94,0,1.37,0.25,Impurity,Weak,,,74,4.48,0.2,2.69,6.61,Compound,None,,,103,3.95,0,6.74,3.68,Impurity,None,,,132,3.49,0.1,2.22,2.18,Artifact,Weak,,,161,3.08,0.2,3.32,7.77,Artifact,Weak,,,190,2.51,18,1.22,226.39,Solvent,None,,,219,2.07,0,1.07,0.22,Impurity,Weak,,,248,1.14,0.1,4.57,3.24,Impurity,None,,,277,0.82,0,3.11,1.92,Compound,None,,
17,6.54,0,1.42,0.27,Impurity,Weak,,,46,4.93,0,4.03,0.79,Impurity,Weak,,,75,4.47,0.4,2.57,12.06,Compound,None,,,104,3.94,0,3.58,1.03,Impurity,Weak,,,133,3.48,0.2,4,8.25,Artifact,Weak,,,162,3.06,0.2,2.67,7.39,Artifact,Weak,,,191,2.5,53,1.83,1264.98,Solvent,None,,,220,2.06,0,8.68,3.94,Impurity,None,,,249,1.13,0,2.03,0.24,Impurity,Weak,,,278,0.81,0.1,23.95,35.99,Compound,None,,
18,6.53,0,1.59,0.6,Impurity,Weak,,,47,4.91,0.2,2.32,6.64,Compound,None,,,76,4.45,0.2,2.79,6.81,Compound,None,,,105,3.94,0,1.1,0.09,Artifact,Weak,,,134,3.47,0.3,2.81,9.22,Artifact,Weak,,,163,3.05,0.2,1.91,3.78,Artifact,Weak,,,192,2.5,75.9,1.73,1718.72,Solvent,None,,,221,2.04,0,4.24,0.62,Impurity,Weak,,,250,1.12,0,7.2,1.24,Impurity,Weak,,,279,0.8,0,2.11,0.73,Impurity,Weak,,
19,6.48,0,1.66,0.24,Impurity,Weak,,,48,4.9,0.3,2.83,11.72,Compound,None,,,77,4.44,0.3,2.62,8.73,Compound,None,,,106,3.92,0,0.87,0.1,Artifact,Weak,,,135,3.45,0.3,2.87,10.39,Artifact,Weak,,,164,3.05,0.2,2.76,7.12,Artifact,Weak,,,193,2.5,55.4,1.85,1379.38,Solvent,None,,,222,2.02,0,8.07,1.81,Impurity,Weak,,,251,1.11,0.1,1.18,2.43,Impurity,None,,,280,0.79,0,1.67,0.34,Impurity,Weak,,
20,6.46,0,1.71,0.21,Impurity,Weak,,,49,4.89,0.2,2,4.3,Impurity,None,,,78,4.42,0.3,2.45,8.42,Compound,None,,,107,3.8,0,1.46,0.32,Impurity,Weak,,,136,3.44,0.3,5.14,20.85,Artifact,Weak,,,165,3.04,0.4,2.78,14.66,Compound,None,,,194,2.49,21.2,1.59,435.39,Solvent,None,,,223,2.01,0,1.02,0.15,Impurity,Weak,,,252,1.1,0.1,246.37,280.72,Compound,None,,,281,0.79,0,1.18,0.41,Impurity,Weak,,
21,6.33,0,2.05,0.19,Artifact,Weak,,,50,4.88,0.4,2.27,12.18,Compound,None,,,79,4.41,0.1,2.68,3.39,Impurity,None,,,108,3.77,0,1.06,0.11,Artifact,Weak,,,137,3.43,0.1,2.51,2.4,Artifact,Weak,,,166,3.03,0.2,2.34,6.31,Artifact,Weak,,,195,2.34,0.1,1.38,1.57,Solvent,Weak + C13_Sat,,,224,1.91,0.2,1.05,2.29,Impurity,None,,,253,1.09,0.4,1.47,8.28,Compound,None,,,282,0.78,0,2.43,1.34,Impurity,None,,
22,6.23,0,1.14,0.13,Artifact,Weak,,,51,4.87,0.4,2.2,11.95,Compound,None,,,80,4.39,0.1,3.43,5.43,Impurity,None,,,109,3.68,0.1,2.05,1.92,Artifact,Weak,,,138,3.42,0.2,2.67,7.41,Artifact,Weak,,,167,3.02,0.1,2.35,2.92,Artifact,Weak,,,196,2.33,0.3,1.74,5.57,Solvent,Weak + C13_Sat,,,225,1.85,0,21.3,8.18,Compound,None,,,254,1.07,0.4,1.23,5.72,Compound,None,,,283,0.78,0,1.42,0.16,Impurity,Weak,,
23,6.22,0,1.31,0.24,Impurity,Weak,,,52,4.85,0.1,6.14,4.75,Impurity,None,,,81,4.38,0,2.82,0.96,Impurity,Weak,,,110,3.68,0.1,2.09,2.32,Artifact,Weak,,,139,3.42,0.4,3.16,15.39,Artifact,Weak,,,168,3.02,0.1,2.58,3.5,Artifact,Weak,,,197,2.33,0.4,1.8,10.34,Solvent,Weak + C13_Sat,,,226,1.83,0,2.85,0.31,Artifact,Weak,,,255,1.07,0.3,1.12,4.32,Impurity,None,,,284,0.77,0,1.22,0.09,Artifact,Weak,,
24,6.2,0.4,2.65,11.07,Compound,None,,,53,4.84,0.1,3.33,3.29,Impurity,None,,,82,4.36,0.2,3.18,6.61,Compound,None,,,111,3.67,0.1,2.81,5.68,Artifact,Weak,,,140,3.41,0.1,2.73,4.02,Artifact,Weak,,,169,3.01,0.1,1.9,1.94,Artifact,Weak,,,198,2.32,0.3,1.61,5.73,Solvent,Weak + C13_Sat,,,227,1.82,0,2.33,1.32,Impurity,None,,,256,1.06,0,1.22,0.21,Impurity,Weak,,,285,0.76,0,2.58,0.98,Impurity,Weak,,
25,6.19,0.3,2.3,7.9,Compound,None,,,54,4.82,1.1,2.57,36.92,Compound,None,,,83,4.35,0.4,4.19,18.08,Compound,None,,,112,3.66,0.1,2.09,3.78,Artifact,Weak,,,141,3.4,0.3,4.32,19.77,Artifact,Weak,,,170,3.01,0.1,2.43,3.38,Artifact,Weak,,,199,2.32,0.1,1.6,2.53,Solvent,Weak + C13_Sat,,,228,1.81,0,2.35,0.77,Impurity,Weak,,,257,1.05,0.5,0.95,6.63,Compound,None,,,286,0.74,0,2.66,0.85,Impurity,Weak,,
26,6.16,0,1.58,0.12,Artifact,Weak,,,55,4.81,1.1,2.4,33.75,Compound,None,,,84,4.33,0.4,4.11,20.29,Compound,None,,,113,3.65,0.2,3.55,8.05,Artifact,Weak,,,142,3.4,1.1,137.2,1993.95,Compound,None,,,171,3,0.1,2.69,2.21,Artifact,Weak,,,200,2.31,0,1.34,0.42,Impurity,Weak,,,229,1.77,0,2.01,1.03,Impurity,None,,,258,1.05,0.3,2.34,7.06,Compound,None,,,287,0.73,0,1.86,0.76,Impurity,Weak,,
27,6.14,0,3.2,1.03,Impurity,Weak,,,56,4.78,0,2.53,0.42,Impurity,Weak,,,85,4.32,0.1,3.32,6.59,Compound,None,,,114,3.65,0.1,2.34,2.7,Artifact,Weak,,,143,3.39,0.3,3.71,13.4,Artifact,Weak,,,172,2.98,0,1.98,1.03,Artifact,Weak,,,201,2.31,0,4.15,0.58,Impurity,Weak,,,230,1.75,0,1.36,0.5,Impurity,Weak,,,259,1.04,0.5,1.76,13.25,Compound,None,,,288,0.71,0,2.34,0.83,Impurity,Weak,,
28,6.12,0,2.67,0.42,Impurity,Weak,,,57,4.76,0.6,3.49,27.24,Compound,None,,,86,4.31,0.1,4.11,3.62,Impurity,None,,,115,3.64,0.2,3.36,8.58,Artifact,Weak,,,144,3.37,0.3,4.03,15.15,Artifact,Weak,,,173,2.95,0,4.45,1.25,Artifact,Weak,,,202,2.29,0,1.52,0.47,Impurity,Weak,,,231,1.63,0,2.58,0.3,Impurity,Weak,,,260,1.04,0.3,1.06,4.38,Impurity,None,,,289,0.08,0,0.98,0.43,Impurity,Weak,,
29,6.1,0,2.2,0.28,Impurity,Weak,,,58,4.75,0.3,2.37,7.39,Compound,None,,,87,4.3,0,2.71,0.6,Impurity,Weak,,,116,3.63,0.2,3.47,7.12,Artifact,Weak,,,145,3.26,0.1,2.02,2.4,Artifact,Weak,,,174,2.91,0.1,1.83,2.55,Compound,None,,,203,2.28,0.1,1.59,1.99,Impurity,None,,,232,1.61,0,1.53,0.22,Impurity,Weak,,,261,1.03,0.2,2,4.88,Compound,None,,,290,0.06,0,3.33,1.56,Impurity,None,,
