,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.33,0,0.72,0.05,Artifact,Weak,,,28,3.59,0,0.69,0.05,Artifact,Weak,,,55,2.66,0.1,1.34,1.72,Solvent,Weak + C13_Sat,,,82,1.93,0,1.08,0.12,Impurity,Weak,,,109,1.03,0.3,3.31,12.25,Compound,None,,
2,10.2,0,1.47,0.24,Impurity,Weak,,,29,3.57,0,1.17,0.08,Artifact,Weak,,,56,2.54,0.1,25.19,27.35,Artifact,Weak,,,83,1.91,0.2,1.07,2.77,Compound,None,,,110,1.03,0.2,2.68,6.13,Compound,None,,
3,10.09,0,0.65,0.05,Artifact,Weak,,,30,3.55,0,5.72,1.2,Compound,None,,,57,2.53,0.1,8.61,7.74,Artifact,Weak,,,84,1.87,0,32.84,4.94,Compound,None,,,111,1.02,0,2.14,0.9,Compound,None,,
4,9.93,0,0.79,0.05,Artifact,Weak,,,31,3.53,0,1.66,0.15,Artifact,Weak,,,58,2.52,0.2,1.05,2.09,Artifact,Weak,,,85,1.56,0,3.38,0.19,Artifact,Weak,,,112,1,0,2.79,0.73,Compound,None,,
5,9.65,0,1.53,0.11,Artifact,Weak,,,32,3.51,0.6,2.43,18.59,Compound,None,,,59,2.51,20.9,1.36,332.62,Solvent,None,,,86,1.54,0,3.98,0.79,Compound,None,,,113,0.99,0,1.04,0.13,Compound,Weak,,
6,8.13,0,2.02,0.55,Impurity,None,,,33,3.48,0.1,9.78,11.16,Artifact,Weak,,,60,2.5,55.7,1.67,1230.85,Solvent,None,,,87,1.52,0,6.41,2.68,Compound,None,,,114,0.89,0,2.16,0.31,Impurity,Weak,,
7,7.24,0,10.68,0.94,Compound,None,,,34,3.45,0,0.88,0.09,Artifact,Weak,,,61,2.5,82.1,1.74,1826.84,Solvent,None,,,88,1.5,0,7.26,4.18,Compound,None,,,115,0.86,0,2.74,1.81,Compound,None,,
8,7.21,0.1,7.41,11.33,Compound,None,,,35,3.45,0,3.02,1.16,Artifact,Weak,,,62,2.5,53.3,1.57,1057.98,Solvent,None,,,89,1.49,0,3.77,1.12,Compound,None,,,116,0.86,0,1.44,0.8,Compound,None,,
9,7.09,0.1,6.92,10.5,Compound,None,,,36,3.44,0,3.42,1.65,Artifact,Weak,,,63,2.49,20.9,1.37,328.01,Solvent,None,,,90,1.37,0,3.46,0.43,Compound,None,,,117,0.85,0,1.92,0.86,Compound,None,,
10,7.01,0,0.56,0.06,Impurity,Weak,,,37,3.44,0,1.72,0.42,Artifact,Weak,,,64,2.44,0,2.4,0.14,Artifact,Weak,,,91,1.35,0,2.15,1.01,Compound,None,,,118,0.85,0,2.34,1.35,Compound,None,,
11,6.96,0.1,7.23,10.82,Compound,None,,,38,3.43,0,3.87,1.14,Artifact,Weak,,,65,2.42,0,0.63,0.05,Artifact,Weak,,,92,1.34,0,2.01,0.18,Compound,None,,,119,0.84,0,3.89,2.4,Compound,None,,
12,6.8,0,1.23,0.09,Impurity,Weak,,,39,3.42,0,2.27,1.55,Artifact,Weak,,,66,2.36,0,7.19,0.9,Compound,None,,,93,1.32,0,3.35,0.22,Artifact,Weak,,,120,0.79,0,0.63,0.05,Artifact,Weak,,
13,6.62,0,0.6,0.05,Artifact,Weak,,,40,3.42,0,2.59,0.94,Artifact,Weak,,,67,2.34,0.1,1.47,2.24,Solvent,Weak + C13_Sat,,,94,1.3,0,1.25,0.22,Impurity,Weak,,,121,0.79,0,0.98,0.13,Impurity,Weak,,
14,6.53,0,1.82,0.11,Artifact,Weak,,,41,3.41,0.1,9.89,8.72,Artifact,Weak,,,68,2.33,0.3,1.67,6.55,Solvent,Weak + C13_Sat,,,95,1.3,0,2.03,0.3,Impurity,None,,,122,0.78,0,1.34,0.1,Artifact,Weak,,
15,6.52,0.1,1.31,0.95,Compound,None,,,42,3.38,0.2,30.93,102.05,Artifact,Weak,,,69,2.33,0.4,1.67,9.08,Solvent,Weak + C13_Sat,,,96,1.26,0,1.35,0.16,Compound,Weak,,,123,0.74,0,0.65,0.06,Artifact,Weak,,
16,6.51,0,0.58,0.03,Artifact,Weak,,,43,3.24,0,1.14,0.1,Artifact,Weak,,,70,2.32,0.3,1.67,6.72,Solvent,Weak + C13_Sat,,,97,1.25,0.1,10.93,20.88,Compound,None,,,124,0.73,0,1.25,0.1,Impurity,Weak,,
17,6.45,0,0.58,0.04,Artifact,Weak,,,44,3.17,0,1.37,0.15,Artifact,Weak,,,71,2.32,0.1,1.29,1.69,Solvent,Weak + C13_Sat,,,98,1.23,0.2,3.5,10.7,Compound,None,,,125,0.71,0,1.6,0.16,Impurity,Weak,,
18,6.28,0,1.36,0.1,Artifact,Weak,,,45,3.16,0,3.03,0.31,Artifact,Weak,,,72,2.23,0,1.71,0.74,Compound,None,,,99,1.19,0,1.43,0.84,Compound,None,,,126,0.13,0,0.83,0.15,Impurity,Weak,,
19,5.85,0,0.68,0.06,Artifact,Weak,,,46,2.96,0,2.34,0.31,Compound,None,,,73,2.22,0,5.96,0.66,Compound,None,,,100,1.16,0,1.17,0.12,Impurity,Weak,,,127,0.09,0,0.72,0.06,Artifact,Weak,,
20,4.36,0,2.2,0.15,Impurity,Weak,,,47,2.95,0,2.78,0.69,Compound,None,,,74,2.21,0.1,2,1.74,Compound,None,,,101,1.15,0,3.52,1.78,Compound,None,,,128,0.08,0.3,1.03,3.34,Compound,None,,
21,4.34,0,2.07,0.46,Impurity,None,,,48,2.95,0,1.37,0.17,Compound,None,,,75,2.2,0,4.23,0.72,Compound,None,,,102,1.12,0,0.88,0.09,Impurity,Weak,,,129,0.07,0,1.02,0.09,Artifact,Weak,,
22,4.33,0,1.75,0.19,Impurity,Weak,,,49,2.92,0,2.61,0.27,Impurity,Weak,,,76,2.19,0,2.13,1.12,Compound,None,,,103,1.11,0,1.59,0.38,Impurity,None,,,130,0.07,0,3.15,1.03,Compound,None,,
