,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,7.62,0,42.44,5.78,Artifact,Weak,,,28,2.59,0,23.39,2.57,Artifact,Weak,,
2,7.22,0.1,7.11,12.88,Compound,None,,,29,2.51,94.5,4.8,5832.59,Solvent,None,,
3,7.11,0,10.9,3.14,Compound,None,,,30,2.5,28.2,4.39,1183.08,Solvent,None,,
4,7.09,0.1,5.88,9.88,Compound,None,,,31,2.39,0,26.12,3.44,Artifact,Weak,,
5,6.96,0.1,6.22,10.9,Compound,None,,,32,2.33,0.5,7.62,43.1,Solvent,Weak + C13_Sat,,
6,6.53,0.4,4.96,21.92,Compound,None,,,33,2.27,0,28.33,3.27,Artifact,Weak,,
7,5.75,0,6.92,1.63,Compound,None,,,34,2.24,0,3.86,0.71,Artifact,Weak,,
8,5.27,0,6.93,0.97,Compound,None,,,35,2.22,0,8.24,4.05,Artifact,Weak,,
9,5.22,0,2.76,0.35,Artifact,Weak,,,36,2.2,0,7.56,1.81,Compound,None,,
10,4.02,0,16.23,3.16,Compound,None,,,37,2.09,0,117.67,11.14,Compound,None,,
11,3.97,0,9.31,1.41,Compound,None,,,38,1.91,0,3.22,1.71,Compound,None,,
12,3.96,0,1.66,0.13,Artifact,Weak,,,39,1.53,0,13.32,6.34,Compound,None,,
13,3.96,0,2.03,0.42,Compound,None,,,40,1.51,0,7.07,1.11,Compound,None,,
14,3.95,0,5.69,1.49,Compound,None,,,41,1.49,0,14.47,2.87,Compound,None,,
15,3.73,0,12.75,1.81,Compound,None,,,42,1.37,0,21.24,2.94,Compound,None,,
16,3.51,0.3,5.31,20.55,Artifact,Weak,,,43,1.36,0.1,4.95,6.71,Compound,None,,
17,3.49,0.1,12.41,10.26,Artifact,Weak,,,44,1.27,0.1,97.2,83.97,Compound,None,,
18,3.45,0,6.59,2.87,Artifact,Weak,,,45,1.25,0.1,11.47,15.61,Compound,None,,
19,3.44,0,2.02,0.32,Artifact,Weak,,,46,1.24,0.2,6.35,13.77,Compound,None,,
20,3.43,0,4.87,2.11,Artifact,Weak,,,47,1.19,0,2.81,0.38,Impurity,Weak,,
21,3.43,0,5.86,3.93,Artifact,Weak,,,48,1.15,0,6.69,4.03,Compound,None,,
22,3.41,0,6.96,3.96,Artifact,Weak,,,49,1.12,0,0.88,0.11,Artifact,Weak,,
23,2.95,0,8.2,0.86,Artifact,Weak,,,50,1.05,0.3,5.96,23.95,Compound,None,,
24,2.94,0,0.76,0.07,Artifact,Weak,,,51,1.04,0.3,5.54,17.7,Compound,None,,
25,2.93,0,12.7,3.25,Compound,None,,,52,1.02,0,13.94,1.29,Artifact,Weak,,
26,2.77,0,29.84,3.07,Artifact,Weak,,,53,0.86,0.1,29.99,34.81,Compound,None,,
27,2.68,0.5,7.38,41.09,Solvent,Weak + C13_Sat,,,54,0.07,0,5.37,2.85,Compound,None,,
