,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.02,0,1.05,0.06,Artifact,Weak,,,28,4.01,0,3.35,0.69,Compound,None,,,55,2.99,0,1.18,0.11,Artifact,Weak,,,82,2.32,0.1,1.46,1.88,Solvent,Weak + C13_Sat,,,109,1.36,0,4.02,1.25,Compound,None,,,136,0.85,0.1,2.38,2.75,Compound,None,,
2,11.07,0.1,1.2,0.99,Compound,None,,,29,3.95,0,11.55,3.49,Compound,None,,,56,2.96,0,1.53,0.7,Impurity,None,,,83,2.3,0,1.14,0.4,Impurity,None,,,110,1.33,0,1.24,0.13,Impurity,Weak,,,137,0.84,0.1,5.14,9.08,Compound,None,,
3,10.22,0,1,0.58,Compound,None,,,30,3.8,0,1.39,0.13,Artifact,Weak,,,57,2.96,0.1,2.13,3.01,Compound,None,,,84,2.28,0,5.43,1.63,Compound,None,,,111,1.3,0,2.32,0.67,Compound,None,,,138,0.83,0,5.19,2.66,Compound,None,,
4,9.65,0,1.82,0.29,Impurity,None,,,31,3.64,0,0.92,0.29,Impurity,None,,,58,2.95,0.1,2.13,4.34,Compound,None,,,85,2.26,0,2.84,0.61,Compound,None,,,112,1.27,0,3.51,0.39,Compound,None,,,139,0.82,0.1,16.43,20.81,Compound,None,,
5,9.65,0,0.61,0.06,Artifact,Weak,,,32,3.57,0,1.54,0.27,Artifact,Weak,,,59,2.95,0.1,1.89,2.36,Compound,None,,,86,2.21,0,10.63,3.29,Compound,None,,,113,1.25,0.1,12.92,14.33,Compound,None,,,140,0.8,0,2.58,0.43,Impurity,None,,
6,8.13,0.1,2.57,3.38,Compound,None,,,33,3.53,0,1.45,0.13,Artifact,Weak,,,60,2.94,0,2.06,0.91,Impurity,None,,,87,2.2,0,2.78,0.73,Compound,None,,,114,1.23,0.7,3.93,35.69,Compound,None,,,141,0.79,0,1.45,0.28,Impurity,None,,
7,7.98,0,5.35,0.62,Artifact,Weak,,,34,3.5,0.8,2.69,26.08,Artifact,Weak,,,61,2.68,0.1,1.49,2.08,Solvent,Weak + C13_Sat,,,88,2.18,0,2.53,1.44,Compound,None,,,115,1.21,0,8.84,4.33,Compound,None,,,142,0.78,0,2.13,0.59,Impurity,None,,
8,7.95,0,4.22,0.58,Compound,None,,,35,3.49,0,2.68,1.11,Artifact,Weak,,,62,2.67,0.3,1.89,7.24,Solvent,Weak + C13_Sat,,,89,2.16,0,2.3,0.51,Compound,None,,,116,1.2,0,1.32,0.1,Artifact,Weak,,,143,0.76,0,2.38,0.48,Impurity,None,,
9,7.19,0.1,55.82,30.99,Compound,None,,,36,3.49,0,4.2,1.87,Artifact,Weak,,,63,2.67,0.4,1.83,10,Solvent,Weak + C13_Sat,,,90,2.13,0,0.87,0.37,Impurity,None,,,117,1.16,0,0.99,0.22,Compound,None,,,144,0.74,0,3.06,0.43,Impurity,Weak,,
10,7.09,0.2,61.08,142.81,Compound,None,,,37,3.48,0.1,4.11,3.1,Artifact,Weak,,,64,2.66,0.3,1.63,5.77,Solvent,Weak + C13_Sat,,,91,2.12,0,0.86,0.33,Impurity,None,,,118,1.15,0,4.13,2.47,Compound,None,,,145,0.73,0,1.41,0.2,Impurity,Weak,,
11,7,0.1,42.41,23.51,Compound,None,,,38,3.47,0.3,127.89,481.22,Artifact,Weak,,,65,2.66,0.1,1.48,1.97,Solvent,Weak + C13_Sat,,,92,2.12,0,1.44,0.18,Impurity,Weak,,,119,1.11,0,1.21,0.13,Compound,Weak,,,146,0.71,0,3.04,0.36,Impurity,None,,
12,6.97,0,1.12,0.08,Artifact,Weak,,,39,3.46,0.1,16.07,11.02,Artifact,Weak,,,66,2.59,0,47.25,26.41,Artifact,Weak,,,93,2.1,0,2.2,0.49,Compound,None,,,120,1.11,0.1,1.23,1.26,Compound,None,,,147,0.69,0,1.82,0.12,Artifact,Weak,,
13,6.83,0,11.12,1.2,Artifact,Weak,,,40,3.45,0,8.77,3.53,Artifact,Weak,,,67,2.56,0.1,19.66,18.12,Artifact,Weak,,,94,2.09,0,0.85,0.07,Artifact,Weak,,,121,1.1,0,0.53,0.07,Impurity,Weak,,,148,0.23,0,0.95,0.09,Impurity,Weak,,
