,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.21,0,0.44,0.03,Artifact,Weak,,,26,3.82,0,1.31,0.08,Artifact,Weak,,,51,2.57,0.1,34.33,20.85,Artifact,Weak,,,76,1.56,0,1.25,0.14,Compound,Weak,,,101,1.05,0,0.83,0.49,Compound,None,,
2,10.2,0,1.36,0.32,Impurity,None,,,27,3.64,0,1.62,0.11,Artifact,Weak,,,52,2.52,0.1,0.97,1.37,Artifact,Weak,,,77,1.54,0,5.42,1.59,Compound,None,,,102,1.05,0.3,2.64,8.35,Compound,None,,
3,8.13,0,2.15,0.2,Impurity,Weak,,,28,3.57,0,1.11,0.16,Artifact,Weak,,,53,2.51,18.4,1.29,261.19,Solvent,None,,,78,1.52,0,3.41,1.5,Compound,None,,,103,1.04,0.2,2.39,6.44,Compound,None,,
4,7.43,0,0.6,0.05,Artifact,Weak,,,29,3.55,0.1,184.87,167.01,Artifact,Weak,,,54,2.5,57.2,1.92,1485.87,Solvent,None,,,79,1.52,0,2.92,0.55,Compound,None,,,104,1.03,0.4,3.6,16.3,Compound,None,,
5,7.22,0.1,23.54,25.76,Compound,None,,,30,3.55,0,10.3,2.32,Artifact,Weak,,,55,2.5,76.3,1.74,1693.11,Solvent,None,,,80,1.5,0,7.33,4.82,Compound,None,,,105,1.02,0,2.19,0.6,Compound,None,,
6,7.21,0,55.39,7.01,Compound,None,,,31,3.53,0,3.86,0.63,Artifact,Weak,,,56,2.5,54.6,1.7,1213.24,Solvent,None,,,81,1.48,0,4.75,1.61,Compound,None,,,106,1,0,4.71,1.16,Compound,None,,
7,7.1,0.2,47.3,107.97,Compound,None,,,32,3.51,0.8,2.45,23.2,Compound,None,,,57,2.49,20,1.33,300.38,Solvent,None,,,82,1.47,0,1.14,0.08,Artifact,Weak,,,107,0.99,0,1.22,0.17,Compound,None,,
8,7.09,0,11.56,3.26,Impurity,None,,,33,3.49,0,2.48,1.21,Artifact,Weak,,,58,2.34,0.1,1.42,1.81,Solvent,Weak + C13_Sat,,,83,1.35,0.2,1.76,3.7,Compound,None,,,108,0.89,0,8.36,1.89,Compound,None,,
9,6.97,0.1,24.99,34.95,Compound,None,,,34,3.48,0.1,9.47,9.68,Artifact,Weak,,,59,2.33,0.3,1.84,6.49,Solvent,Weak + C13_Sat,,,84,1.34,0,1.83,0.21,Compound,Weak,,,109,0.87,0,4.29,1.39,Compound,None,,
10,6.92,0,1.78,0.21,Impurity,None,,,35,3.48,0,5.18,1.72,Artifact,Weak,,,60,2.33,0.4,1.78,10.32,Solvent,Weak + C13_Sat,,,85,1.32,0,2.17,0.19,Compound,Weak,,,110,0.86,0.1,2.29,1.73,Compound,None,,
11,6.7,0,1.34,0.11,Impurity,Weak,,,36,3.46,0,2.13,0.24,Artifact,Weak,,,61,2.32,0.3,1.6,5.41,Solvent,Weak + C13_Sat,,,86,1.3,0,4.26,0.8,Compound,None,,,111,0.85,0,2.18,1.08,Compound,None,,
