,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.22,0.2,15.06,33.95,Compound,None,,,40,5.14,0,1.66,0.18,Artifact,Weak,,,69,4.61,0.2,2.87,7.76,Compound,None,,,98,3.95,0,1.58,0.37,Impurity,None,,,127,3.47,0.2,3.25,9.36,Artifact,Weak,,,156,3.06,0.2,2.11,4.21,Compound,None,,,185,2.5,81,2.08,2267.55,Solvent,None,,,214,1.75,0,1.72,0.89,Compound,None,,,243,0.86,0.1,2.67,3.84,Compound,None,,
12,7.12,0,25.13,5.5,Compound,None,,,41,5.11,0,7.1,3.57,Compound,None,,,70,4.59,0.3,2.31,7.56,Compound,None,,,99,3.79,0,1.04,0.1,Artifact,Weak,,,128,3.46,0.1,1.61,1.03,Artifact,Weak,,,157,3.05,0.2,2.68,5.89,Compound,None,,,186,2.5,51.5,1.79,1213.25,Solvent,None,,,215,1.61,0,0.88,0.09,Artifact,Weak,,,244,0.85,0.1,3.8,5.54,Compound,None,,
13,7.1,0.1,12.92,20.7,Compound,None,,,42,5.1,0,5.82,3.1,Compound,None,,,71,4.57,0.3,2.2,7.91,Compound,None,,,100,3.77,0,5.11,0.56,Artifact,Weak,,,129,3.45,0.4,2.8,17.37,Artifact,Weak,,,158,3.04,0.4,2.61,11.51,Compound,None,,,187,2.49,25.5,1.92,640.11,Solvent,None,,,216,1.52,0,7.79,1.34,Compound,None,,,245,0.85,0.2,4.56,11.21,Compound,None,,
14,6.97,0.1,14.13,27.82,Compound,None,,,43,5,0,9.03,2.22,Compound,None,,,72,4.51,0,3.66,0.67,Compound,None,,,101,3.76,0,1.62,0.39,Impurity,None,,,130,3.44,0.4,3.28,17.31,Artifact,Weak,,,159,3.03,0.2,2.63,7.14,Compound,None,,,188,2.44,0.2,65.32,194.15,Artifact,Weak,,,217,1.5,0,6.72,1.04,Compound,None,,,246,0.84,0.1,4.28,7.54,Compound,None,,
15,6.84,0,2.26,0.28,Artifact,Weak,,,44,4.96,0,2.76,0.34,Artifact,Weak,,,73,4.49,0,3.68,0.9,Compound,None,,,102,3.76,0,1.25,0.13,Impurity,Weak,,,131,3.43,0.5,7.26,53.85,Artifact,Weak,,,160,3.02,0.1,4.31,5.2,Compound,None,,,189,2.34,0.1,1.53,1.66,Solvent,Weak + C13_Sat,,,218,1.49,0,6.05,1.52,Compound,None,,,247,0.83,0.1,4.95,6.06,Compound,None,,
16,6.82,0,1.31,0.19,Impurity,Weak,,,45,4.94,0,2.85,0.91,Compound,None,,,74,4.48,0.2,2.74,6.87,Compound,None,,,103,3.68,0.1,2.2,1.76,Compound,None,,,132,3.42,0.4,2.78,15.99,Artifact,Weak,,,161,3.02,0,1.91,0.87,Compound,None,,,190,2.33,0.2,1.51,4.48,Solvent,Weak + C13_Sat,,,219,1.36,0,6.19,2.96,Compound,None,,,248,0.82,0.1,4.78,4.3,Compound,None,,
17,6.68,0,2.85,0.46,Impurity,Weak,,,46,4.93,0,2.55,0.67,Compound,None,,,75,4.47,0.4,2.69,12.35,Compound,None,,,104,3.68,0.1,2.93,4.54,Compound,None,,,133,3.42,0.4,2.96,16.32,Artifact,Weak,,,162,3.01,0.1,4.2,5.55,Compound,None,,,191,2.33,0.4,2.12,11.99,Solvent,Weak + C13_Sat,,,220,1.33,0,2.52,0.32,Artifact,Weak,,,249,0.81,0.1,5.71,4.66,Compound,None,,
18,6.67,0,1.96,0.42,Impurity,Weak,,,47,4.92,0,1.57,0.28,Compound,Weak,,,76,4.45,0.2,2.61,5.44,Compound,None,,,105,3.67,0.1,2.36,3.52,Compound,None,,,134,3.41,0.8,9.34,106.63,Artifact,Weak,,,163,3,0,0.85,0.18,Compound,Weak,,,192,2.32,0.3,1.9,7.19,Solvent,Weak + C13_Sat,,,221,1.29,0,1.39,0.18,Artifact,Weak,,,250,0.8,0,4.69,2.78,Compound,None,,
19,6.65,0,1.71,0.2,Artifact,Weak,,,48,4.91,0.2,2.33,4.91,Compound,None,,,77,4.44,0.2,2.63,7,Compound,None,,,106,3.66,0.1,2.78,4.91,Compound,None,,,135,3.39,1.6,16.37,388.71,Artifact,Weak,,,164,2.98,0,2.08,0.94,Compound,None,,,193,2.32,0.1,1.91,3.15,Solvent,Weak + C13_Sat,,,222,1.26,0,1.9,0.31,Compound,Weak,,,251,0.79,0,3.72,1.81,Compound,None,,
20,6.57,0.5,1.92,12.34,Compound,None,,,49,4.9,0.3,2.95,9.57,Compound,None,,,78,4.42,0.2,2.63,7.35,Compound,None,,,107,3.65,0.2,3.65,8.45,Compound,None,,,136,3.26,0.1,1.99,1.83,Artifact,Weak,,,165,2.96,0,1.61,0.6,Compound,None,,,194,2.3,0,1.21,0.33,Impurity,None,,,223,1.24,0.2,16.58,40.4,Compound,None,,,252,0.78,0,1.66,0.66,Compound,None,,
21,6.55,0.5,1.85,12.21,Compound,None,,,50,4.89,0.2,1.99,3.78,Compound,None,,,79,4.41,0.1,2.84,1.97,Compound,None,,,108,3.65,0.1,2.97,3.86,Compound,None,,,137,3.25,0.1,2.58,2.38,Artifact,Weak,,,166,2.96,0.1,1.95,3.48,Compound,None,,,195,2.3,0,2.27,0.46,Compound,None,,,224,1.23,0.2,3.85,8.33,Compound,None,,,253,0.78,0,1.83,0.41,Compound,None,,
22,6.53,0,1.1,0.15,Impurity,Weak,,,51,4.88,0.3,2.55,9.5,Compound,None,,,80,4.39,0.1,3.18,2.84,Compound,None,,,109,3.64,0.1,4.93,10.04,Compound,None,,,138,3.24,0.1,1.95,1.76,Artifact,Weak,,,167,2.95,0.2,2.12,5.94,Compound,None,,,196,2.28,0.1,1.85,1.4,Compound,None,,,225,1.18,0,0.98,0.11,Artifact,Weak,,,254,0.76,0,2.84,0.73,Compound,None,,
23,6.52,0.1,1.74,1.51,Impurity,None,,,52,4.87,0.3,2.32,8.71,Compound,None,,,81,4.38,0,2.13,0.49,Compound,None,,,110,3.63,0.1,4.92,8.59,Compound,None,,,139,3.23,0.1,2.36,4.38,Artifact,Weak,,,168,2.95,0.2,2.27,4.75,Compound,None,,,197,2.26,0.1,1.39,1.34,Compound,None,,,226,1.14,0.1,3.79,2.43,Compound,None,,,255,0.74,0,2.12,0.53,Compound,None,,
24,6.33,0,2.61,0.29,Artifact,Weak,,,53,4.86,0,6.55,2.89,Compound,None,,,82,4.36,0.2,2.69,6.57,Compound,None,,,111,3.62,0,3.22,1.65,Compound,None,,,140,3.22,0.1,2.46,2.17,Artifact,Weak,,,169,2.94,0,1.87,1.07,Compound,None,,,198,2.24,0,1.15,0.46,Compound,None,,,227,1.11,0.2,1.25,3.16,Compound,None,,,256,0.73,0,1.69,0.32,Impurity,None,,
25,6.27,0,1.71,0.24,Artifact,Weak,,,54,4.84,0,2.8,0.72,Compound,None,,,83,4.35,0.4,3.88,21.54,Compound,None,,,112,3.61,0.1,2.65,1.8,Compound,None,,,141,3.22,0.1,2.34,2.24,Artifact,Weak,,,170,2.91,0.1,2.07,2.92,Compound,None,,,199,2.21,0,12.56,4.77,Compound,None,,,228,1.09,0.2,1.53,3.13,Compound,None,,,257,0.71,0,1.94,0.36,Impurity,Weak,,
26,6.22,0,19.07,1.97,Compound,None,,,55,4.82,1,2.64,31.34,Compound,None,,,84,4.34,0.3,2.94,13.27,Compound,None,,,113,3.61,0.1,2.33,1.99,Artifact,Weak,,,142,3.21,0.1,2.36,2.44,Artifact,Weak,,,171,2.9,0.1,1.98,2.72,Compound,None,,,200,2.13,0,0.96,0.52,Impurity,None,,,229,1.07,0.1,0.88,0.72,Compound,None,,,258,0.07,0,1.93,0.32,Impurity,Weak,,
27,6.2,0.3,2.56,7.78,Compound,None,,,56,4.81,1.1,2.83,40,Compound,None,,,85,4.33,0.1,2.67,3.61,Compound,None,,,114,3.6,0.1,2.8,2.17,Artifact,Weak,,,143,3.18,0.1,82.23,124.76,Artifact,Weak,,,172,2.89,0.1,2.49,3.13,Compound,None,,,201,2.12,0,0.96,0.56,Impurity,None,,,230,1.07,0.6,1.25,10,Compound,None,,,259,-0.09,0,1.15,0.11,Artifact,Weak,,
28,6.19,0.3,2.34,6.83,Compound,None,,,57,4.8,0,1.74,0.3,Compound,Weak,,,86,4.33,0.1,3.15,5.5,Compound,None,,,115,3.59,0.1,2.28,2.11,Artifact,Weak,,,144,3.17,0.1,1.66,1.77,Artifact,Weak,,,173,2.88,0.2,3.88,8.76,Compound,None,,,202,2.09,0,1.55,0.18,Compound,Weak,,,231,1.05,1.1,1.06,14.39,Compound,None,,,,,,,,,,,
29,6.14,0,1.59,0.17,Artifact,Weak,,,58,4.78,0,3,0.99,Compound,None,,,87,4.32,0,3.42,1.69,Compound,None,,,116,3.58,0,1.84,1.02,Artifact,Weak,,,145,3.16,0.1,2.54,3.87,Artifact,Weak,,,174,2.87,0.1,1.54,1.31,Compound,None,,,203,2.08,0.1,1.11,1.77,Compound,None,,,232,1.05,0.2,2.15,4.84,Compound,None,,,,,,,,,,,
