,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.72,0,1.22,0.1,Impurity,Weak,,,29,4.01,0,2.68,0.3,Compound,None,,,57,2.68,0.1,1.38,1.77,Solvent,Weak + C13_Sat,,,85,2.07,0,1.42,0.17,Compound,None,,,113,1.05,0.2,1.12,2.33,Compound,None,,
2,11.07,0,1.28,0.18,Impurity,None,,,30,3.95,0,8.36,2.31,Compound,None,,,58,2.67,0.3,1.8,6.47,Solvent,Weak + C13_Sat,,,86,2.06,0,1.75,0.12,Artifact,Weak,,,114,1.05,0.2,2.63,6.64,Compound,None,,
3,10.2,0,1.49,0.46,Compound,None,,,31,3.94,0,3.94,0.45,Compound,None,,,59,2.67,0.4,1.81,10.33,Solvent,Weak + C13_Sat,,,87,2.06,0,2.29,0.33,Impurity,None,,,115,1.04,0.2,2.44,6.29,Compound,None,,
4,9.56,0,0.47,0.03,Artifact,Weak,,,32,3.7,0,206.83,89.78,Compound,None,,,60,2.66,0.3,1.72,6.23,Solvent,Weak + C13_Sat,,,88,1.91,0.2,1.06,2.42,Compound,None,,,116,1.04,0.1,0.44,0.32,Compound,None,,
5,8.51,0,0.59,0.03,Artifact,Weak,,,33,3.57,0,0.83,0.1,Artifact,Weak,,,61,2.66,0.1,1.35,1.76,Solvent,Weak + C13_Sat,,,89,1.87,0,34.21,3.85,Compound,None,,,117,1.03,0.4,3.68,14.99,Compound,None,,
6,8.13,0,2.29,0.47,Compound,None,,,34,3.55,0,10.99,3.19,Artifact,Weak,,,62,2.56,0,1.41,0.17,Artifact,Weak,,,90,1.84,0,37.02,3.9,Compound,None,,,118,1.02,0,3.58,2.01,Compound,None,,
7,7.24,0.1,61.72,66.97,Compound,None,,,35,3.53,0,1.7,0.14,Artifact,Weak,,,63,2.52,0.1,1.05,1.76,Artifact,Weak,,,91,1.81,0,3.2,0.28,Artifact,Weak,,,119,1.01,0,7.45,0.82,Compound,None,,
8,7.21,0,0.72,0.05,Artifact,Weak,,,36,3.5,0.5,2.57,16.8,Compound,None,,,64,2.51,19.4,1.36,280.55,Solvent,None,,,92,1.72,0,1.79,0.58,Compound,None,,,120,1,0,2.24,0.58,Compound,None,,
9,7.1,0.2,49.43,105.81,Compound,None,,,37,3.49,0,1.94,0.79,Artifact,Weak,,,65,2.5,51.4,1.82,1130.15,Solvent,None,,,93,1.6,0,1.25,0.08,Artifact,Weak,,,121,1,0,2.23,0.52,Compound,None,,
10,7,0.1,34.91,29.79,Compound,None,,,38,3.49,0,4.05,1.58,Artifact,Weak,,,66,2.5,83.5,1.82,2012.14,Solvent,None,,,94,1.52,0,2.21,0.46,Compound,None,,,122,1,0,1.47,0.2,Compound,None,,
11,6.97,0,27.42,12,Compound,None,,,39,3.48,0.1,11.61,9.78,Artifact,Weak,,,67,2.5,51.7,1.63,1052.79,Solvent,None,,,95,1.52,0,5.32,1.56,Compound,None,,,123,0.99,0,1.29,0.23,Compound,None,,
12,6.92,0,2.19,0.34,Impurity,None,,,40,3.45,0,0.39,0.04,Artifact,Weak,,,68,2.49,21.7,1.5,362.21,Solvent,None,,,96,1.5,0,4.06,1.63,Compound,None,,,124,0.97,0,0.46,0.02,Artifact,Weak,,
13,6.7,0,0.71,0.05,Artifact,Weak,,,41,3.45,0,5.08,2.32,Artifact,Weak,,,69,2.42,0,0.43,0.04,Artifact,Weak,,,97,1.49,0,5.44,1.72,Compound,None,,,125,0.89,0,2.53,0.45,Compound,None,,
14,6.52,0,0.99,0.07,Artifact,Weak,,,42,3.44,0,6.49,2.09,Artifact,Weak,,,70,2.35,0,2.72,0.59,Compound,None,,,98,1.35,0.1,1.76,2.29,Compound,None,,,126,0.87,0,6.28,3.14,Compound,None,,
15,5.82,0,0.89,0.12,Impurity,None,,,43,3.43,0,3.55,0.65,Artifact,Weak,,,71,2.34,0.1,1.36,1.67,Solvent,Weak + C13_Sat,,,99,1.3,0,2.42,0.29,Impurity,None,,,127,0.86,0.1,2.72,1.78,Compound,None,,
16,5.75,0,2.03,0.13,Artifact,Weak,,,44,3.42,0.1,3.15,2.92,Artifact,Weak,,,72,2.33,0.3,1.8,6.65,Solvent,Weak + C13_Sat,,,100,1.26,0,4.25,2.33,Compound,None,,,128,0.86,0,1.47,0.68,Compound,None,,
17,5.26,0,3.84,0.33,Artifact,Weak,,,45,3.38,0.3,55.24,223.89,Artifact,Weak,,,73,2.33,0.4,1.85,10.44,Solvent,Weak + C13_Sat,,,101,1.24,0.1,4.7,5.18,Compound,None,,,129,0.85,0,2.41,1.19,Compound,None,,
