,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.86,59.7,0.93,805.77,Artifact,Weak,,,22,1.15,506.6,3.42,18682.5,Compound,None,,
2,12.73,64.6,0.82,498.43,Artifact,Weak,,,23,1.11,108.9,0.95,1212.56,Impurity,Weak,,
3,12.53,61.1,0.62,459.84,Artifact,Weak,,,24,1.09,69.1,1.45,941.6,Artifact,Weak,,
4,10.2,270.9,1.23,4295.76,Impurity,None,,,25,1.08,78.9,1.98,2082.53,Artifact,Weak,,
5,7.29,59.9,0.54,357.02,Artifact,Weak,,,26,1.07,3916.3,1.22,58209.18,Compound,None,,
6,7.06,2615.4,29.86,997911.36,Compound,None,,,27,1.05,7770.1,1.21,113186.8,Compound,None,,
7,6.52,319.2,1.5,6363.89,Impurity,None,,,28,1.05,3185,2.11,79102.65,Compound,None,,
8,4.41,109.8,9.61,12822.45,Compound,None,,,29,1.04,10220.4,2.11,287018.71,Compound,None,,
9,4.35,1017.7,1.47,18951.13,Compound,None,,,30,1.04,4273.8,1.37,74061.68,Compound,None,,
10,4.34,2430,1.61,47825.77,Compound,None,,,31,1.03,11082.8,2.75,396893.25,Compound,None,,
11,4.33,1446.3,1.71,29320.23,Compound,None,,,32,1.02,852.2,2.23,22573.88,Compound,None,,
12,2.07,445.7,1.09,5891.31,Impurity,None,,,33,1.01,326.4,3.63,12350.64,Compound,None,,
13,2.04,91.4,3.25,4332.39,Impurity,Weak,,,34,1,768.5,1.94,18617.22,Compound,None,,
14,1.91,815.9,1.3,12760.89,Compound,None,,,35,0.87,306.7,4.55,18692.58,Compound,None,,
15,1.75,64.5,1.33,1136.99,Artifact,Weak,,,36,0.85,623,2.84,23284.12,Compound,None,,
16,1.5,128.1,24.04,29202.94,Compound,None,,,37,0.84,493.4,7.24,50809.3,Compound,None,,
17,1.3,81,1.65,1254.48,Impurity,Weak,,,38,0.81,251.8,13.47,49409.68,Compound,None,,
18,1.28,130.3,1.35,2440.54,Compound,Weak,,,39,0.06,352.7,2.57,10810.45,Compound,None,,
19,1.26,240.2,2.88,10062.95,Compound,None,,,40,-0.39,62.5,0.54,396.27,Artifact,Weak,,
20,1.24,2671.1,4.14,145446.64,Compound,None,,,41,-1.62,60.8,1.79,1370.81,Artifact,Weak,,
21,1.23,2130.3,2.56,69091.14,Compound,None,,,42,-2.97,60.5,0.59,424.46,Artifact,Weak,,
