,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.89,0,1.3,0.12,Artifact,Weak,,,40,5.78,0,2.7,0.46,Impurity,None,,,69,4.84,0,2.78,1.62,Compound,None,,,98,4.37,0,1.45,0.19,Compound,Weak,,,127,3.65,0.1,2.92,3.32,Compound,None,,,156,3.42,0.2,3.58,9.61,Artifact,Weak,,,185,3.04,0.3,2.45,8.74,Compound,None,,,214,2.51,19.8,1.3,306.38,Solvent,None,,,243,2.13,0.1,0.87,0.97,Compound,None,,,272,1.14,0.1,4.25,2.66,Compound,None,,,301,0.74,0,2.55,0.49,Compound,None,,
12,7.79,0,1.91,0.15,Artifact,Weak,,,41,5.75,0.1,1.83,1.13,Compound,None,,,70,4.82,0.9,2.48,26.01,Compound,None,,,99,4.36,0.1,2.43,2.77,Compound,None,,,128,3.64,0.2,4.09,9.62,Compound,None,,,157,3.42,0.5,3.75,21.53,Artifact,Weak,,,186,3.03,0.2,2.32,4.96,Compound,None,,,215,2.5,52.2,1.84,1228.86,Solvent,None,,,244,2.12,0.1,0.84,0.91,Compound,None,,,273,1.13,0,1.35,0.18,Compound,Weak,,,302,0.73,0,1.35,0.31,Impurity,None,,
13,7.77,0,1.46,0.12,Artifact,Weak,,,42,5.63,0,3.36,0.34,Impurity,Weak,,,71,4.81,0.9,2.32,23.99,Compound,None,,,100,4.35,0.1,2.68,4.93,Compound,None,,,129,3.63,0.1,3.12,4.52,Compound,None,,,158,3.41,0.1,2.1,2.22,Artifact,Weak,,,187,3.02,0.1,3.61,3.24,Compound,None,,,216,2.5,82.9,1.85,1898.69,Solvent,None,,,245,2.09,0,1.59,0.97,Compound,None,,,274,1.12,0,1.39,0.14,Artifact,Weak,,,303,0.71,0,1.6,0.16,Impurity,Weak,,
14,7.69,0,3.02,0.26,Impurity,Weak,,,43,5.46,0,3.42,0.43,Compound,None,,,72,4.79,0,2.44,0.39,Compound,None,,,101,4.35,0.2,2.65,4.84,Compound,None,,,130,3.62,0.1,2.3,1.61,Compound,None,,,159,3.4,0.2,3.03,6.63,Artifact,Weak,,,188,3.02,0,1.75,0.9,Compound,None,,,217,2.5,50.8,1.53,961.58,Solvent,None,,,246,2.08,0.2,0.95,2,Compound,None,,,275,1.11,0.2,1.13,2.25,Compound,None,,,304,0.13,0,0.93,0.49,Impurity,None,,
15,7.42,0,1.45,0.21,Impurity,Weak,,,44,5.42,0,1.39,0.11,Artifact,Weak,,,73,4.78,0,3.66,0.74,Compound,None,,,102,4.34,0.3,2.57,9.87,Compound,None,,,131,3.61,0,2.65,1.26,Compound,None,,,160,3.39,0.1,15.7,17.87,Artifact,Weak,,,189,3.01,0.1,3.67,4.49,Compound,None,,,218,2.49,22.1,1.59,383.73,Solvent,None,,,247,2.07,0,5.25,0.56,Compound,None,,,276,1.09,0.4,1.46,6.56,Compound,None,,,305,0.09,0,1.07,0.56,Compound,None,,
16,7.22,0,41.78,20.36,Compound,None,,,45,5.41,0,21.48,3.79,Compound,None,,,74,4.76,0.4,2.5,13.38,Compound,None,,,103,4.33,0.1,3.04,3.66,Compound,None,,,132,3.61,0.1,2,1.28,Compound,None,,,161,3.26,0,4.12,0.26,Artifact,Weak,,,190,3,0,1.31,0.39,Impurity,Weak,,,219,2.41,0,5.74,0.92,Artifact,Weak,,,248,2.06,0,1.45,0.21,Compound,None,,,277,1.07,0.4,1.38,6.05,Compound,None,,,306,0.08,1.7,0.97,19.2,Compound,None,,
17,7.14,0,1.7,0.14,Artifact,Weak,,,46,5.38,0,1.22,0.09,Artifact,Weak,,,75,4.75,0.6,3.52,24.47,Compound,None,,,104,4.32,0.1,2.32,4.32,Compound,None,,,133,3.6,0,4.15,2.1,Artifact,Weak,,,162,3.26,0.1,2.09,2.77,Artifact,Weak,,,191,2.99,0,2.14,0.4,Impurity,Weak,,,220,2.39,0,3.26,0.61,Artifact,Weak,,,249,2.06,0,1.94,0.58,Compound,None,,,278,1.04,1.5,3.58,59.48,Compound,None,,,307,0.07,0,0.93,0.44,Compound,None,,
18,7.09,0,31.97,12.85,Compound,None,,,47,5.37,0,0.72,0.06,Artifact,Weak,,,76,4.74,0.1,1.65,2.75,Compound,None,,,105,4.31,0.1,2.64,2.7,Compound,None,,,134,3.59,0,1.61,0.94,Artifact,Weak,,,163,3.25,0.1,2.33,3.04,Artifact,Weak,,,192,2.98,0,1.83,0.91,Compound,None,,,221,2.36,0,1.83,0.29,Impurity,Weak,,,250,2.05,0,0.59,0.04,Artifact,Weak,,,279,1.03,1.4,3.77,62.54,Compound,None,,,308,0.07,0.2,1.2,3.36,Compound,None,,
19,6.98,0,34.6,9.41,Compound,None,,,48,5.32,0,9.59,2.71,Compound,None,,,77,4.74,0.3,2.08,8.33,Compound,None,,,106,4.3,0,3,1.44,Compound,None,,,135,3.59,0,1.29,0.31,Artifact,Weak,,,164,3.24,0.1,2.09,2.58,Artifact,Weak,,,193,2.96,0,1.48,0.6,Impurity,None,,,222,2.34,0.1,1.31,1.5,Solvent,Weak + C13_Sat,,,251,2.04,0,3.13,0.42,Compound,None,,,280,1.01,0.2,2.41,4.96,Compound,None,,,309,0.06,0.1,1.41,1.1,Compound,None,,
20,6.82,0,1.48,0.16,Impurity,Weak,,,49,5.3,0,1.44,0.16,Compound,Weak,,,78,4.72,0,2.49,0.84,Compound,None,,,107,4.28,0.2,1.69,4.45,Compound,None,,,136,3.59,0,1.39,0.47,Artifact,Weak,,,165,3.23,0.2,2.33,5.13,Artifact,Weak,,,194,2.96,0.1,2.07,2.97,Compound,None,,,223,2.33,0.3,1.83,5.97,Solvent,Weak + C13_Sat,,,252,2.03,0,1.01,0.12,Impurity,Weak,,,281,1,0.1,3.02,2.48,Compound,None,,,310,0.06,0,1.17,0.21,Compound,Weak,,
21,6.68,0,2.54,0.23,Artifact,Weak,,,50,5.23,0,4.1,0.44,Compound,None,,,79,4.71,0,2.16,0.3,Compound,None,,,108,4.27,0.2,1.68,3.55,Compound,None,,,137,3.58,0.1,2.08,3.78,Artifact,Weak,,,166,3.22,0.1,2.09,2.23,Artifact,Weak,,,195,2.95,0.2,2.09,4.32,Compound,None,,,224,2.33,0.4,1.9,9.77,Solvent,Weak + C13_Sat,,,253,1.91,1.1,1.13,14.51,Compound,None,,,282,1,0.2,2.08,4.05,Compound,None,,,311,0.04,0,0.82,0.06,CS Reference,Weak,,
22,6.67,0,1.02,0.1,Impurity,Weak,,,51,5.22,0,3.49,0.54,Compound,None,,,80,4.67,0,1.06,0.1,Artifact,Weak,,,109,4.26,0.2,1.85,5.08,Compound,None,,,138,3.57,0.1,1.87,1.74,Artifact,Weak,,,167,3.22,0.1,2.34,2.35,Artifact,Weak,,,196,2.95,0.1,1.87,2.57,Compound,None,,,225,2.32,0.3,1.67,5.41,Solvent,Weak + C13_Sat,,,254,1.87,0,20.64,4.67,Compound,None,,,283,0.98,0,1.29,0.45,Compound,None,,,312,0,0,0.93,0.13,CS Reference,Weak,,
23,6.57,0.4,1.62,8.57,Compound,None,,,52,5.16,0,1.25,0.1,Impurity,Weak,,,81,4.66,0,2.38,0.52,Compound,None,,,110,4.25,0.2,1.67,4.27,Compound,None,,,139,3.57,0.2,2.64,6.66,Artifact,Weak,,,168,3.21,0.1,1.66,1.44,Artifact,Weak,,,197,2.94,0,1.62,0.83,Compound,None,,,226,2.32,0.1,1.59,2.03,Solvent,Weak + C13_Sat,,,255,1.84,0,9.55,2.15,Compound,None,,,284,0.97,0,0.73,0.07,Artifact,Weak,,,313,-0.06,0,1.12,0.4,Impurity,None,,
24,6.55,0.4,1.55,8.47,Compound,None,,,53,5.14,0,2.74,0.18,Artifact,Weak,,,82,4.64,0,7.8,3.23,Compound,None,,,111,4.22,0,5.38,1.49,Compound,None,,,140,3.56,0.2,2.51,5.62,Artifact,Weak,,,169,3.19,0,1.58,0.25,Artifact,Weak,,,198,2.91,0.1,1.83,2.31,Compound,None,,,227,2.3,0,1.32,0.69,Compound,None,,,256,1.82,0,2.44,1.03,Impurity,None,,,285,0.91,0,0.78,0.13,Impurity,Weak,,,,,,,,,,,
25,6.54,0,1.23,0.36,Compound,None,,,54,5.11,0,2.34,0.46,Compound,None,,,83,4.63,0,6.36,1.36,Compound,None,,,112,4.2,0,2.2,0.39,Compound,Weak,,,141,3.54,0.3,5.61,20.88,Artifact,Weak,,,170,3.17,0.1,1.48,1.14,Artifact,Weak,,,199,2.9,0.1,1.71,2.18,Compound,None,,,228,2.3,0,3.26,0.76,Compound,None,,,257,1.81,0,3.42,0.68,Impurity,None,,,286,0.9,0,0.62,0.06,Impurity,Weak,,,,,,,,,,,
26,6.53,0,1.35,0.39,Impurity,None,,,55,5.1,0.1,11.49,6.86,Compound,None,,,84,4.62,0.2,2.45,6.03,Compound,None,,,113,4.18,0,1.54,0.26,Impurity,Weak,,,142,3.53,0.2,2.98,6.98,Artifact,Weak,,,171,3.16,0.1,2.65,3.56,Artifact,Weak,,,200,2.89,0.1,2.63,3.61,Compound,None,,,229,2.29,0,1.34,0.4,Compound,None,,,258,1.77,0,1.81,0.62,Impurity,None,,,287,0.88,0,0.21,0.01,Artifact,Weak,,,,,,,,,,,
27,6.52,0,1.64,0.4,Impurity,None,,,56,5.04,0,1.89,0.12,Artifact,Weak,,,85,4.61,0.2,2.32,5.67,Compound,None,,,114,4.13,0.1,2.57,3.14,Compound,None,,,143,3.53,0.1,2.1,1.93,Artifact,Weak,,,172,3.15,0.1,2.08,1.75,Artifact,Weak,,,201,2.88,0.1,3.03,4.9,Compound,None,,,230,2.28,0,3.44,1.77,Compound,None,,,259,1.75,0.1,1.49,0.85,Impurity,None,,,288,0.87,0.1,13.99,14.91,Compound,None,,,,,,,,,,,
28,6.48,0,2.24,0.18,Artifact,Weak,,,57,5.02,0,2.15,0.3,Compound,None,,,86,4.59,0.4,1.96,8.96,Compound,None,,,115,4.12,0,2.06,0.24,Compound,Weak,,,144,3.52,0.1,2.3,3.99,Artifact,Weak,,,173,3.14,0.1,5.26,8.36,Artifact,Weak,,,202,2.87,0.1,1.95,1.92,Compound,None,,,231,2.28,0.1,1.83,2.42,Compound,None,,,260,1.64,0,4.21,0.36,Artifact,Weak,,,289,0.86,0,5.3,2.7,Compound,None,,,,,,,,,,,
29,6.39,0,0.79,0.07,Artifact,Weak,,,58,5.01,0,3.33,0.66,Compound,None,,,87,4.57,0.4,2.04,8.9,Compound,None,,,116,4.12,0.1,2.57,3.31,Compound,None,,,145,3.5,0.1,3.36,5.07,Artifact,Weak,,,174,3.13,0.2,3.7,7.76,Artifact,Weak,,,203,2.85,0.1,1.85,1.84,Compound,None,,,232,2.27,0,2.9,0.78,Compound,None,,,261,1.63,0,1.88,0.13,Artifact,Weak,,,290,0.85,0.1,4.66,6.83,Compound,None,,,,,,,,,,,
