,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.07,0,0.82,0.12,Impurity,Weak,,,31,2.95,0.1,1.92,2.32,Compound,None,,,61,2.21,0.1,2.08,1.55,Compound,None,,,91,1.11,0,1.23,0.65,Compound,None,,
2,9.66,0,1.95,0.21,Impurity,Weak,,,32,2.95,0.1,1.83,1.4,Compound,None,,,62,2.2,0,5.47,0.94,Compound,None,,,92,1.07,0.5,0.97,5.81,Compound,None,,
3,9.65,0,0.95,0.1,Impurity,Weak,,,33,2.94,0,1.67,0.6,Compound,None,,,63,2.19,0,1.96,0.79,Compound,None,,,93,1.06,0,4.47,1.16,Compound,None,,
4,9.44,0,0.55,0.04,Artifact,Weak,,,34,2.92,0,11.62,4.57,Compound,None,,,64,2.18,0,3.59,0.75,Compound,None,,,94,1.05,1,0.95,12.85,Compound,None,,
5,8.13,0.1,1.2,1.11,Compound,None,,,35,2.76,0,1.37,0.12,Artifact,Weak,,,65,2.16,0,1.73,0.16,Compound,Weak,,,95,1.05,0.3,2.32,7.52,Compound,None,,
6,7.67,0,34.13,2.43,Compound,None,,,36,2.68,0.1,1.3,1.8,Solvent,Weak + C13_Sat,,,66,2.13,0,1.07,0.29,Impurity,None,,,96,1.04,0.7,1.27,11.12,Compound,None,,
7,7.26,0.1,7.11,5.34,Compound,None,,,37,2.67,0.3,1.65,6.18,Solvent,Weak + C13_Sat,,,67,2.12,0,0.9,0.27,Impurity,None,,,97,1.04,0.6,1.05,7.68,Compound,None,,
8,7.24,0.8,2.48,25.72,Compound,None,,,38,2.67,0.4,1.61,9.24,Solvent,Weak + C13_Sat,,,68,2.08,0,0.8,0.47,Compound,None,,,98,1.03,0.3,2.23,7.18,Compound,None,,
9,7.13,0.1,7.35,6.01,Compound,None,,,39,2.66,0.3,1.65,6.21,Solvent,Weak + C13_Sat,,,69,2.07,0.1,0.96,0.63,Compound,None,,,99,1.03,0.7,1.26,11.03,Compound,None,,
10,7.11,0.9,2.37,26.3,Compound,None,,,40,2.66,0.1,1.28,1.76,Solvent,Weak + C13_Sat,,,70,2.07,0,0.64,0.07,Impurity,Weak,,,100,1.02,0.1,2.93,2.62,Compound,None,,
