,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.45,0,0.6,0.04,Artifact,Weak,,,27,4.33,0,1.98,0.69,Compound,None,,,53,2.75,0,6.68,1.36,Compound,None,,,79,1.91,0.1,1.21,1.65,Compound,None,,,105,1.05,0.3,1.22,4.77,Compound,None,,
2,10.2,0,2.91,0.42,Impurity,None,,,28,4.21,0,2.35,0.18,Artifact,Weak,,,54,2.68,0.1,1.5,1.79,Solvent,Weak + C13_Sat,,,80,1.72,0,1.83,0.42,Impurity,None,,,106,1.05,0.2,2.87,8.57,Compound,None,,
3,10.13,0,0.44,0.02,Artifact,Weak,,,29,4.01,0,1.66,0.28,Impurity,None,,,55,2.67,0.3,2,7.24,Solvent,Weak + C13_Sat,,,81,1.56,0,1.99,0.3,Compound,None,,,107,1.04,0.2,2.34,4.55,Compound,None,,
4,8.13,0,2.45,0.36,Impurity,None,,,30,3.95,0,3.41,0.77,Compound,None,,,56,2.67,0.4,1.94,10.66,Solvent,Weak + C13_Sat,,,82,1.54,0,5.86,1.92,Compound,None,,,108,1.04,0.1,1.24,2.16,Compound,None,,
5,7.71,0,26.56,3.05,Compound,None,,,31,3.95,0,1.31,0.11,Impurity,Weak,,,57,2.66,0.3,1.83,6.65,Solvent,Weak + C13_Sat,,,83,1.52,0,5.3,2.23,Compound,None,,,109,1.03,0.3,3.45,12.92,Compound,None,,
6,7.2,0,18.59,6.36,Compound,None,,,32,3.94,0,5.52,1.02,Compound,None,,,58,2.66,0.1,1.48,1.66,Solvent,Weak + C13_Sat,,,84,1.5,0,6.93,4.46,Compound,None,,,110,1.02,0,3.25,1.39,Compound,None,,
7,7.17,0,2.56,0.27,Impurity,Weak,,,33,3.75,0,161.14,50.51,Compound,None,,,59,2.63,0,1.23,0.09,Artifact,Weak,,,85,1.49,0,5,1.93,Compound,None,,,111,1,0,4.06,1.01,Compound,None,,
8,7.15,0,3.46,0.18,Artifact,Weak,,,34,3.64,0,0.51,0.04,Artifact,Weak,,,60,2.52,0,2.07,0.6,Artifact,Weak,,,86,1.37,0,4.72,0.83,Compound,None,,,112,0.98,0,1.46,0.19,Compound,Weak,,
9,7.09,0.2,89.44,206.44,Compound,None,,,35,3.57,0,0.9,0.14,Artifact,Weak,,,61,2.51,18.1,1.44,285.65,Solvent,None,,,87,1.35,0.1,2.1,2.05,Compound,None,,,113,0.89,0,4.46,0.91,Compound,None,,
10,7,0,26.24,7.79,Compound,None,,,36,3.51,1.3,2.18,32.81,Compound,None,,,62,2.5,54.6,2,1449.58,Solvent,None,,,88,1.34,0,1.73,0.2,Compound,Weak,,,114,0.87,0,7.46,4.12,Compound,None,,
11,6.7,0,0.85,0.06,Artifact,Weak,,,37,3.5,0.1,138.25,203.84,Artifact,Weak,,,63,2.5,75.8,1.84,1833.39,Solvent,None,,,89,1.32,0,2.21,0.24,Impurity,Weak,,,115,0.86,0,2.74,1.57,Compound,None,,
12,6.52,0,1.99,0.48,Impurity,None,,,38,3.48,0.1,5.03,3.74,Artifact,Weak,,,64,2.5,53.2,1.88,1292.08,Solvent,None,,,90,1.3,0,2.92,0.57,Impurity,None,,,116,0.85,0,1.83,0.51,Compound,None,,
13,6.45,0,0.72,0.05,Artifact,Weak,,,39,3.45,0,1.38,0.4,Artifact,Weak,,,65,2.49,17.7,1.33,250.45,Solvent,None,,,91,1.26,0,12.27,4.32,Compound,None,,,117,0.85,0.1,4.66,4.64,Compound,None,,
14,6.21,0,1.58,0.15,Impurity,Weak,,,40,3.45,0,3.39,1.39,Artifact,Weak,,,66,2.34,0.1,1.53,1.75,Solvent,Weak + C13_Sat,,,92,1.24,0.1,5.95,7.51,Compound,None,,,118,0.84,0,3.74,1.22,Compound,None,,
