,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.15,0,1.04,0.07,Artifact,Weak,,,27,3.78,0,1.03,0.09,Impurity,Weak,,,53,3.43,0.2,1.8,3.88,Artifact,Weak,,,79,2.56,0,1.17,0.16,Artifact,Weak,,,105,2.16,0,1.62,0.19,Impurity,Weak,,,131,1.36,0,2.69,1.81,Compound,None,,,157,1,0.2,2.06,5.54,Compound,None,,
2,11.07,0.1,1.1,0.7,Impurity,None,,,28,3.77,0,1.52,0.24,Impurity,Weak,,,54,3.42,0.4,2.44,12.37,Artifact,Weak,,,80,2.54,0,1.2,0.27,Artifact,Weak,,,106,2.13,0,0.81,0.29,Impurity,None,,,132,1.3,0,2.7,0.72,Impurity,None,,,158,0.99,0,0.68,0.12,Artifact,Weak,,
3,10.22,0,1.02,0.29,Impurity,None,,,29,3.76,0,1.15,0.27,Impurity,Weak,,,55,3.42,0.3,3.08,11.02,Artifact,Weak,,,81,2.52,0.2,1.07,1.91,Artifact,Weak,,,107,2.12,0,0.85,0.31,Impurity,None,,,133,1.28,0,1.58,0.4,Compound,None,,,159,0.97,0,1.22,0.08,Artifact,Weak,,
4,9.66,0,2.23,0.29,Impurity,Weak,,,30,3.76,0,1.98,0.2,Impurity,Weak,,,56,3.41,0.3,4.09,13.09,Artifact,Weak,,,82,2.51,21.4,1.4,358.38,Solvent,None,,,108,2.09,0,1.48,0.23,Compound,None,,,134,1.27,0,2.46,0.54,Compound,None,,,160,0.89,0,5.64,1.14,Compound,Weak + C13_Sat,,
5,9.65,0,0.57,0.05,Artifact,Weak,,,31,3.75,0,1.79,0.34,Impurity,Weak,,,57,3.24,0,2.75,0.24,Artifact,Weak,,,83,2.5,52.4,1.74,1157.14,Solvent,None,,,109,2.09,0,1.81,0.11,Artifact,Weak,,,135,1.26,0.1,9.29,10.52,Compound,None,,,161,0.87,0.1,3.78,2.79,Compound,None,,
6,8.14,0.1,2.63,2.91,Compound,None,,,32,3.73,0,0.99,0.05,Artifact,Weak,,,58,3.23,0,2.72,1.33,Artifact,Weak,,,84,2.5,84.3,1.89,2049.53,Solvent,None,,,110,2.08,0.1,0.88,1.11,Compound,None,,,136,1.25,0.2,4.97,10.01,Compound,None,,,162,0.86,0,3.17,1.15,Compound,None,,
7,7.98,0,7.43,0.61,Artifact,Weak,,,33,3.68,0,8.63,1.18,Artifact,Weak,,,59,3.22,0,4.37,1.22,Artifact,Weak,,,85,2.5,50.6,1.56,945.79,Solvent,None,,,111,2.07,0.1,0.86,0.62,Compound,None,,,137,1.24,0.2,3.61,7.05,Compound,None,,,163,0.85,0.1,5.07,8.9,Compound,None,,
8,7.95,0,1.8,0.18,Artifact,Weak,,,34,3.66,0,3.03,1,Artifact,Weak,,,60,3.21,0,2.9,1.35,Artifact,Weak,,,86,2.49,21.7,1.44,353.26,Solvent,None,,,112,2.07,0,0.93,0.09,Impurity,Weak,,,138,1.23,0.3,3.17,13.53,Compound,None,,,164,0.85,0.1,43.65,40.05,Compound,None,,
9,7.1,0.2,79.53,181.45,Compound,None,,,35,3.65,0,3.89,0.93,Artifact,Weak,,,61,3.2,0,2.33,0.85,Artifact,Weak,,,87,2.34,0.1,1.39,1.66,Solvent,Weak + C13_Sat,,,113,2.06,0,2.86,0.68,Compound,None,,,139,1.22,0,2.59,0.72,Compound,None,,,165,0.84,0.1,4.5,5,Compound,None,,
10,6.8,0,5.92,0.48,Impurity,Weak,,,36,3.64,0,0.8,0.27,Artifact,Weak,,,62,3.2,0,1.94,0.58,Artifact,Weak,,,88,2.33,0.3,1.79,7.33,Solvent,Weak + C13_Sat,,,114,2.04,0,9.13,5.43,Compound,None,,,140,1.22,0,4.36,0.6,Compound,None,,,166,0.83,0,4.72,2.05,Compound,None,,
