,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.69,0,0.56,0.03,Artifact,Weak,,,28,4.03,0,6.35,0.98,Compound,None,,,55,2.68,0.1,1.28,1.86,Solvent,Weak + C13_Sat,,,82,1.73,0,0.52,0.03,Artifact,Weak,,,109,1.03,0.1,1.69,1.46,Compound,None,,
2,15.08,0,0.81,0.07,Artifact,Weak,,,29,4.01,0,1.22,0.1,Artifact,Weak,,,56,2.67,0.3,1.53,6.1,Solvent,Weak + C13_Sat,,,83,1.72,0,0.98,0.18,Impurity,None,,,110,1.02,0,3.27,0.74,Compound,None,,
3,14.07,0,0.52,0.03,Artifact,Weak,,,30,3.95,0,15.47,1.47,Compound,None,,,57,2.67,0.4,1.4,8.19,Solvent,Weak + C13_Sat,,,84,1.72,0,1.23,0.15,Impurity,Weak,,,111,1,0,2.79,0.57,Compound,None,,
4,13.46,0,0.57,0.04,Artifact,Weak,,,31,3.8,0,0.97,0.06,Artifact,Weak,,,58,2.66,0.3,1.35,5.38,Solvent,Weak + C13_Sat,,,85,1.57,0,0.82,0.05,Artifact,Weak,,,112,0.99,0,1,0.09,Impurity,Weak,,
5,13.37,0,0.7,0.05,Artifact,Weak,,,32,3.64,0,0.74,0.05,Artifact,Weak,,,59,2.66,0.1,1.22,1.78,Solvent,Weak + C13_Sat,,,86,1.52,0,6.43,0.99,Compound,None,,,113,0.87,0,6.07,1.65,Compound,None,,
6,13.02,0,0.65,0.05,Artifact,Weak,,,33,3.57,0,0.68,0.12,Impurity,Weak,,,60,2.54,0,8.19,2.08,Artifact,Weak,,,87,1.51,0,1.78,0.13,Compound,Weak,,,114,0.86,0,2.21,0.83,Compound,None,,
7,11.72,0,0.79,0.06,Artifact,Weak,,,34,3.51,0.2,2.37,6.13,Artifact,Weak,,,61,2.52,0.2,0.98,2.59,Solvent,Weak,,,88,1.49,0,15.08,1.89,Compound,None,,,115,0.86,0,1.7,0.88,Compound,None,,
8,11.07,0,0.57,0.03,Artifact,Weak,,,35,3.49,0,3.11,0.68,Artifact,Weak,,,62,2.52,0.2,0.66,1.18,Artifact,Weak,,,89,1.35,0,1.59,0.81,Compound,None,,,116,0.85,0,2.15,0.86,Compound,None,,
9,10.2,0,0.88,0.18,Impurity,None,,,36,3.48,0,6.91,2.08,Artifact,Weak,,,63,2.51,22.1,1.17,302.69,Solvent,None,,,90,1.3,0,1.13,0.12,Impurity,Weak,,,117,0.85,0,2.79,1.57,Compound,None,,
10,9.09,0,0.42,0.02,Artifact,Weak,,,37,3.47,0,0.72,0.08,Artifact,Weak,,,64,2.5,58.8,1.63,1211.21,Solvent,None,,,91,1.26,0,1.28,0.31,Compound,None,,,118,0.84,0,4.13,2.6,Compound,None,,
11,8.31,0,0.75,0.05,Artifact,Weak,,,38,3.46,0,1.04,0.12,Artifact,Weak,,,65,2.5,85,1.36,1497.58,Solvent,None,,,92,1.25,0.1,7.08,5.24,Compound,None,,,119,0.83,0,4.28,1.03,Compound,None,,
12,8.13,0,1.97,0.52,Impurity,None,,,39,3.45,0,1.05,0.45,Artifact,Weak,,,66,2.5,56.7,1.31,920.43,Solvent,None,,,93,1.23,0.2,3.55,7.29,Compound,None,,,120,0.82,0,5.99,1.69,Compound,None,,
13,7.95,0,0.47,0.03,Artifact,Weak,,,40,3.45,0,4.74,1.22,Artifact,Weak,,,67,2.49,23.3,1.3,340.58,Solvent,None,,,94,1.21,0,3.14,0.33,Impurity,Weak,,,121,0.81,0,1.51,0.17,Compound,Weak,,
14,7.21,0.1,28.71,17.66,Compound,None,,,41,3.44,0,1.28,0.58,Artifact,Weak,,,68,2.34,0.1,1.24,1.9,Solvent,Weak + C13_Sat,,,95,1.19,0,2.07,0.1,Artifact,Weak,,,122,0.79,0,1.11,0.09,Artifact,Weak,,
15,7.09,0,11.94,2.86,Compound,None,,,42,3.44,0,1.2,0.59,Artifact,Weak,,,69,2.33,0.3,1.36,5.44,Solvent,Weak + C13_Sat,,,96,1.16,0,1.19,0.08,Impurity,Weak,,,123,0.74,0,0.65,0.05,Artifact,Weak,,
16,7.09,0,56.56,29.35,Compound,None,,,43,3.43,0,2.78,0.17,Artifact,Weak,,,70,2.33,0.4,1.54,8.57,Solvent,Weak + C13_Sat,,,97,1.15,0,3.61,1.86,Compound,None,,,124,0.73,0,0.95,0.11,Impurity,Weak,,
17,7.08,0,11.99,2.05,Compound,None,,,44,3.42,0,1.54,0.93,Artifact,Weak,,,71,2.32,0.3,1.31,5.09,Solvent,Weak + C13_Sat,,,98,1.13,0,0.82,0.09,Impurity,Weak,,,125,0.71,0,2.34,0.13,Artifact,Weak,,
18,6.97,0.1,28.81,19.88,Compound,None,,,45,3.42,0,1.89,0.57,Artifact,Weak,,,72,2.32,0.1,1.24,1.78,Solvent,Weak + C13_Sat,,,99,1.13,0,1.34,0.22,Compound,None,,,126,0.13,0,0.93,0.18,Impurity,None,,
19,6.62,0,1.35,0.09,Artifact,Weak,,,46,3.41,0,1.87,0.46,Artifact,Weak,,,73,2.23,0,1.71,0.19,Compound,None,,,100,1.11,0,6.32,0.88,Compound,None,,,127,0.09,0,1.22,0.14,Compound,None,,
20,6.53,0,1.28,0.53,Compound,None,,,47,3.39,0,48.98,14.31,Artifact,Weak,,,74,2.21,0,6.48,1.39,Compound,None,,,101,1.11,0,1.06,0.11,Compound,Weak,,,128,0.08,0.3,0.79,2.83,Compound,None,,
21,6.52,0.2,1.23,3.75,Compound,None,,,48,3.17,0,1.08,0.1,Artifact,Weak,,,75,2.18,0,1.43,0.09,Impurity,Weak,,,102,1.1,0,0.82,0.06,Impurity,Weak,,,129,0.07,0,0.88,0.11,Impurity,Weak,,
22,5.75,0,1.03,0.14,Impurity,Weak,,,49,3.16,0,1.03,0.08,Artifact,Weak,,,76,2.16,0,0.92,0.06,Artifact,Weak,,,103,1.07,0.1,0.76,1.02,Compound,None,,,130,0.07,0,0.81,0.23,Compound,None,,
23,5.42,0,6.24,0.6,Compound,None,,,50,2.96,0,2.62,0.49,Compound,None,,,77,2.13,0,0.77,0.05,Artifact,Weak,,,104,1.05,0.2,0.79,2.22,Compound,None,,,131,0.07,0,1.58,0.42,Compound,None,,
24,4.36,0,1.41,0.33,Compound,None,,,51,2.95,0,2.6,0.61,Compound,None,,,78,2.12,0,0.99,0.09,Impurity,Weak,,,105,1.05,0.1,2.6,2.98,Compound,None,,,132,-0.09,0,0.54,0.04,Artifact,Weak,,
25,4.34,0,1.51,0.7,Compound,None,,,52,2.95,0,1.43,0.27,Compound,None,,,79,2.1,0,0.61,0.04,Impurity,Weak,,,106,1.04,0.1,1.8,1.88,Compound,None,,,133,-2.39,0,0.49,0.02,Artifact,Weak,,
26,4.33,0,1.66,0.45,Compound,None,,,53,2.94,0,1.22,0.1,Artifact,Weak,,,80,2.08,0,0.83,0.22,Impurity,None,,,107,1.04,0.1,0.62,0.94,Compound,None,,,134,-2.45,0,0.54,0.04,Artifact,Weak,,
27,4.31,0,1.41,0.09,Artifact,Weak,,,54,2.92,0,7.89,1.09,Compound,None,,,81,1.91,0.2,0.8,2.36,Compound,None,,,108,1.03,0.1,2.58,3.46,Compound,None,,,,,,,,,,,
