,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.72,78.5,2.66,2018.43,Artifact,Weak,,,29,5.78,143.4,1.91,3598.08,Impurity,Weak,,,,,,,,,,,,85,4.47,3096.5,2.57,99616.91,Compound,None,,,113,1.35,815.6,1.66,18148.03,Compound,None,,,141,1,301.8,3.2,11451.46,Compound,None,,
2,10.2,421.8,1.69,8822.95,Compound,None,,,30,5.75,83.1,2.2,2496.71,Impurity,Weak,,,,,,,,,,,,86,4.45,1567,2.69,54386.45,Compound,None,,,114,1.33,107.5,2.5,3919.36,Compound,None,,,142,0.99,120.8,1.33,2234.12,Compound,Weak,,
3,8.14,122.3,4.03,6105.63,Impurity,None,,,31,5.63,61,1.62,1433.04,Artifact,Weak,,,,,,,,,,,,87,4.44,2463.6,2.45,73067.71,Compound,None,,,115,1.32,119.7,3.3,5474.35,Impurity,Weak,,,143,0.91,142.5,1.01,1658.88,Impurity,Weak,,
4,7.94,190.8,1.4,3162.07,Impurity,Weak,,,32,5.55,73.5,3.38,3624.37,Artifact,Weak,,,,,,,,,,,,88,4.42,2657.5,2.45,81396.38,Compound,None,,,116,1.3,90.6,2.74,2335.84,Impurity,Weak,,,144,0.9,90.7,1.83,2423.23,Compound,Weak,,
5,7.87,76.6,1.4,1006.64,Artifact,Weak,,,33,5.46,365.4,357.04,1679271.12,Compound,None,,,,,,,,,,,,89,4.4,242.2,3.26,8837.83,Compound,None,,,117,1.3,174.5,2.24,5691.82,Impurity,None,,,145,0.9,153.3,1.37,2633.54,Compound,Weak,,
6,7.69,140.1,2.23,3213.41,Impurity,Weak,,,34,5.46,113.5,6.31,9863.75,Impurity,None,,,,,,,,,,,,90,4.39,338.3,4.82,21497.89,Compound,None,,,118,1.28,149.4,3.63,7910.96,Impurity,None,,,146,0.89,375.9,8.45,46272.01,Compound,None,,
7,7.27,717.2,118.28,1235917.07,Compound,None,,,35,5.42,92.3,1.52,2049.48,Compound,None,,,,,,,,,,,,91,4.38,187.3,3.59,7411.74,Compound,None,,,119,1.26,928.9,7.54,100122.81,Compound,None,,,147,0.87,893.1,9.14,114502.45,Compound,None,,
8,7.14,171.9,2,4070.02,Impurity,None,,,36,5.41,160.1,6.76,14266.22,Compound,None,,,,,,,,,,,,92,4.36,2141.1,3.22,90130.45,Compound,None,,,120,1.24,1716.7,4.35,91789.03,Compound,None,,,148,0.86,1079.9,2.65,39818.7,Compound,None,,
9,7.1,107.4,4.01,6266.8,Impurity,Weak,,,37,5.39,93.1,1.74,1563.58,Compound,None,,,,,,,,,,,,93,4.35,4959.4,3.31,193913.16,Compound,None,,,121,1.23,2443.5,3.62,114135.59,Compound,None,,,149,0.85,1786.8,2.82,65038.29,Compound,None,,
10,7.08,72.2,2.88,2759.71,Artifact,Weak,,,38,5.32,253.3,9.27,27504.98,Compound,None,,,,,,,,,,,,94,4.33,4843.5,3.43,212343.72,Compound,None,,,122,1.22,270.5,2.12,8358,Impurity,None,,,150,0.85,1653.5,3.67,80440.22,Compound,None,,
