,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.07,306,1.02,3782.88,Impurity,None,,,26,1.74,56.4,0.72,471.33,Artifact,Weak,,
2,10.22,89,0.82,915.55,Impurity,Weak,,,27,1.5,194.8,38.59,104595.45,Compound,None,,
3,9.65,88.5,1.71,1739.91,Impurity,Weak,,,28,1.36,198.3,2.87,8282.24,Compound,None,,
4,9.65,58.8,0.64,408.55,Impurity,Weak,,,29,1.3,117.5,1.39,2376.96,Impurity,None,,
5,8.13,867.5,2.44,26741.92,Compound,None,,,30,1.27,183,15.32,38742.92,Compound,None,,
6,7.99,65.7,13.71,12954.96,Compound,None,,,31,1.26,153.8,1.86,4069.33,Impurity,None,,
7,7.35,49.8,333.26,155959.72,Artifact,Weak,,,32,1.24,627.8,12.6,115206.14,Compound,None,,
8,7.27,144.9,43.81,60944.32,Compound,None,,,33,1.23,1804.2,4.23,109057.46,Compound,None,,
9,7.21,1476.1,34.49,626486.56,Compound,None,,,34,1.21,80.7,2.75,3237.06,Impurity,Weak,,
10,7.1,2118.4,44.28,1041253.2,Compound,None,,,35,1.16,60.7,1.65,1219.65,Compound,Weak,,
11,7,1157.9,45.97,500583.47,Compound,None,,,36,1.14,450.5,3.74,23050.51,Compound,None,,
12,6.52,543.2,1.37,9737.77,Compound,None,,,37,1.12,199.3,18.99,46020.38,Compound,None,,
13,6.02,52.6,3.07,2351.9,Artifact,Weak,,,38,1.11,50.3,1.52,1116.94,Artifact,Weak,,
14,5.75,103.6,2.1,3019.52,Impurity,None,,,39,1.11,1686.3,0.91,19833.78,Compound,None,,
15,5.26,49.3,3.19,1613.71,Artifact,Weak,,,40,1.1,45,0.67,437.01,Artifact,Weak,,
16,5.14,49,2.75,1265.11,Artifact,Weak,,,41,1.1,94.6,2.45,3371.14,Compound,None,,
17,4.86,483.8,418.84,2881218.5,Compound,None,,,42,1.07,4238.6,0.83,40645.89,Compound,None,,
18,4.36,618.5,1.94,15017.69,Compound,None,,,43,1.05,8634.6,0.83,85804.93,Compound,None,,
19,4.35,1490.4,2.1,39076.32,Compound,None,,,44,1.05,1621.8,2.48,52567.31,Compound,None,,
20,4.34,899.7,1.79,19909.39,Compound,None,,,45,1.04,5507.7,1.25,97319.2,Compound,None,,
21,4.31,62,1.79,1592.97,Impurity,Weak,,,46,1.04,4555.1,0.91,50179.34,Compound,None,,
22,1.91,8087.7,0.86,85006.05,Compound,None,,,47,1.03,5490.2,1.48,111870.09,Compound,None,,
23,1.9,101.9,7.03,10061.44,Compound,None,,,48,1.02,457.2,4.65,30978.31,Compound,None,,
24,1.84,102.7,26.4,26437.91,Compound,None,,,49,1,232.2,4.71,13293.95,Compound,None,,
25,1.75,372.7,1.31,5740.04,Impurity,None,,,50,0.98,142.8,1.33,2696.28,Compound,None,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,51,0.89,99.6,2.02,2307.97,Impurity,Weak,,
,,,,,,,,,52,0.89,155.2,3.39,5550.54,Impurity,None,,
,,,,,,,,,53,0.88,174.5,4.39,10232.14,Impurity,None,,
,,,,,,,,,54,0.87,348,4.69,18413.81,Compound,None,,
,,,,,,,,,55,0.86,884.5,2.77,34911.46,Compound,None,,
,,,,,,,,,56,0.85,1027.9,3.27,41546.51,Compound,None,,
,,,,,,,,,57,0.85,1117.5,3.54,54477.66,Compound,None,,
,,,,,,,,,58,0.84,998.9,3.59,46508.83,Compound,None,,
,,,,,,,,,59,0.83,616.3,4.22,32731.52,Compound,None,,
,,,,,,,,,60,0.82,417.5,3.73,19262.74,Compound,None,,
,,,,,,,,,61,0.81,368.5,4.36,23416.51,Compound,None,,
,,,,,,,,,62,0.8,415.3,8.58,49494.63,Compound,None,,
,,,,,,,,,63,0.79,164.1,1.81,3707.01,Impurity,None,,
,,,,,,,,,64,0.78,224.5,1.64,4568.59,Impurity,None,,
,,,,,,,,,65,0.78,135.6,1.39,2100.43,Impurity,None,,
,,,,,,,,,66,0.77,55.1,1.71,1175.88,Artifact,Weak,,
,,,,,,,,,67,0.76,192.9,5.88,15082.68,Impurity,None,,
,,,,,,,,,68,0.74,161.9,3.58,7805.97,Impurity,None,,
,,,,,,,,,69,0.73,175.8,1.88,4121.99,Impurity,None,,
,,,,,,,,,70,0.71,118.5,2.93,4099.85,Impurity,None,,
,,,,,,,,,71,0.69,45.6,1.71,1138.25,Artifact,Weak,,
,,,,,,,,,72,0.07,167.9,2,3825.89,CS Reference,None,,
,,,,,,,,,73,-0.09,48.5,1.65,971.61,Artifact,Weak,,
