,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.64,0,1.03,0.07,Artifact,Weak,,,31,2.66,0.1,1.59,2.18,Solvent,Weak + C13_Sat,,,61,1.23,0.3,3.51,12.03,Compound,None,,
2,12.05,0,0.53,0.05,Artifact,Weak,,,32,2.52,0.6,17.28,156.69,Solvent,Weak,,,62,1.22,0,1.49,0.37,Impurity,None,,
3,11.72,0,1.44,0.13,Impurity,Weak,,,33,2.51,20.7,1.79,451.25,Solvent,None,,,63,1.15,0.1,3.49,2.43,Compound,None,,
4,10.2,0,1.65,0.97,Compound,None,,,34,2.5,56.6,1.98,1508.69,Solvent,None,,,64,1.13,0,5.42,0.41,Artifact,Weak,,
5,8.14,0,1.71,0.16,Artifact,Weak,,,35,2.5,74.9,1.73,1685.29,Solvent,None,,,65,1.11,0,1.55,1,Compound,None,,
6,7.09,0.1,95.49,100.06,Compound,None,,,36,2.5,52.7,1.79,1190,Solvent,None,,,66,1.06,0,2.14,0.67,Impurity,None,,
7,7,0,1.12,0.07,Artifact,Weak,,,37,2.49,19.6,1.52,340.42,Solvent,None,,,67,1.05,0.3,3.68,12.91,Compound,None,,
8,6.52,0,1.71,0.47,Impurity,None,,,38,2.42,0,0.5,0.03,Artifact,Weak,,,68,1.03,0.3,4.1,15.11,Compound,None,,
9,5.82,0,1.22,0.1,Artifact,Weak,,,39,2.34,0.1,1.65,2.58,Solvent,Weak + C13_Sat,,,69,1,0,4.27,1.2,Impurity,None,,
10,5.75,0,1.11,0.22,Impurity,Weak,,,40,2.33,0.3,1.89,7.1,Solvent,Weak + C13_Sat,,,70,0.89,0,2.78,0.55,Impurity,None,,
11,5.26,0,3.78,0.4,Artifact,Weak,,,41,2.33,0.4,1.98,11.46,Solvent,Weak + C13_Sat,,,71,0.86,0.1,7.3,6.43,Compound,None,,
12,5.22,0,4.14,0.98,Compound,None,,,42,2.32,0.3,1.75,6.03,Solvent,Weak + C13_Sat,,,72,0.86,0.1,3.23,2.24,Compound,None,,
13,5.14,0,3.39,0.31,Artifact,Weak,,,43,2.32,0.1,1.57,1.87,Solvent,Weak + C13_Sat,,,73,0.85,0.1,5.2,4.92,Compound,None,,
14,4.3,0,3.76,0.44,Artifact,Weak,,,44,2.28,0,1.74,0.12,Artifact,Weak,,,74,0.84,0,2.63,1.63,Compound,None,,
15,3.95,0,11.74,3.39,Compound,None,,,45,2.23,0,3.06,0.66,Compound,None,,,75,0.83,0.1,30.35,37.68,Compound,None,,
16,3.57,0,0.88,0.08,Artifact,Weak,,,46,2.21,0,4.15,2.73,Compound,None,,,76,0.79,0,1.63,0.19,Impurity,Weak,,
17,3.5,0.4,2.9,15.27,Compound,None,,,47,2.19,0,3.03,1.04,Compound,None,,,77,0.74,0,1.43,0.18,Impurity,Weak,,
18,3.48,0,3.46,1.88,Artifact,Weak,,,48,2.18,0,2.35,0.42,Compound,None,,,78,0.73,0,2.23,0.39,Impurity,None,,
19,3.47,0,0.92,0.08,Artifact,Weak,,,49,2.16,0,1.61,0.11,Artifact,Weak,,,79,0.72,0,3.92,0.31,Artifact,Weak,,
20,3.45,0,3.16,0.72,Artifact,Weak,,,50,2.08,0,0.87,0.09,Artifact,Weak,,,80,0.13,0,1.14,0.6,Impurity,None,,
21,3.42,0,4.56,2.61,Artifact,Weak,,,51,2.06,0,27.54,5.71,Compound,None,,,81,0.09,0,1.52,0.82,Compound,None,,
22,3.38,0.2,102.72,282.26,Artifact,Weak,,,52,1.91,0.1,1.23,1.01,Compound,None,,,82,0.08,1.3,1.31,21.75,Compound,None,,
23,3.37,0.1,14.17,22.17,Artifact,Weak,,,53,1.84,0,36.63,2.63,Artifact,Weak,,,83,0.07,0,1.65,0.59,Compound,None,,
24,2.93,0,14.16,4.74,Compound,None,,,54,1.51,0,26.44,8.62,Compound,None,,,84,0.07,0.3,1.61,6.08,Compound,None,,
25,2.92,0,2.46,0.41,Compound,None,,,55,1.51,0,2.31,0.51,Compound,None,,,85,0.07,0.1,1.69,2.48,Compound,None,,
26,2.76,0,26.49,3.68,Compound,None,,,56,1.35,0,2.14,1.3,Compound,None,,,86,0.06,0,1.96,0.44,Compound,None,,
27,2.68,0.1,1.91,2.84,Solvent,Weak + C13_Sat,,,57,1.33,0,1.34,0.2,Compound,None,,,87,0,0,0.9,0.08,CS Reference,Weak,,
28,2.67,0.3,1.98,7.95,Solvent,Weak + C13_Sat,,,58,1.3,0,2.39,0.54,Impurity,None,,,88,-1.06,0,0.93,0.07,Artifact,Weak,,
29,2.67,0.4,1.73,9.11,Solvent,Weak + C13_Sat,,,59,1.26,0,6.65,4.53,Compound,None,,,,,,,,,,,
30,2.66,0.3,1.8,6.56,Solvent,Weak + C13_Sat,,,60,1.24,0.1,5.58,7.92,Compound,None,,,,,,,,,,,
