,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,9.37,0,0.54,0.05,Artifact,Weak,,,25,3.48,0.1,8.23,7.32,Artifact,Weak,,,49,2.33,0.3,1.99,7.76,Solvent,Weak + C13_Sat,,,73,1.26,0.1,12,9.87,Compound,None,,
2,9.35,0,0.83,0.07,Artifact,Weak,,,26,3.47,0,1.92,0.28,Artifact,Weak,,,50,2.33,0.4,1.91,9.95,Solvent,Weak + C13_Sat,,,74,1.24,0.1,5.66,8.24,Compound,None,,
3,7.62,0,56.36,11.51,Compound,None,,,27,3.45,0,2.09,0.51,Artifact,Weak,,,51,2.32,0.3,1.92,7.13,Solvent,Weak + C13_Sat,,,75,1.23,0.3,3.38,11.22,Compound,None,,
4,7.22,0.1,18.64,16.78,Compound,None,,,28,3.45,0,3.43,1.1,Artifact,Weak,,,52,2.32,0.1,1.49,1.83,Solvent,Weak + C13_Sat,,,76,1.22,0,3.2,1.21,Compound,None,,
5,7.09,0.1,17.77,17.99,Compound,None,,,29,3.42,0,3.82,2.08,Artifact,Weak,,,53,2.3,0,0.89,0.09,Artifact,Weak,,,77,1.2,0,26.67,11.05,Compound,None,,
6,6.97,0.1,15.8,13.3,Compound,None,,,30,3.41,0,2.71,0.58,Artifact,Weak,,,54,2.28,0,3.42,0.34,Impurity,Weak,,,78,1.19,0,1.56,0.66,Compound,None,,
7,6.92,0,1.57,0.32,Impurity,None,,,31,3.39,0.3,38.84,118.08,Artifact,Weak,,,55,2.23,0,2.81,1.7,Compound,None,,,79,1.16,0,2.22,0.72,Compound,None,,
8,6.7,0,2.12,0.22,Impurity,Weak,,,32,3.24,0,1.37,0.13,Artifact,Weak,,,56,2.21,0.1,2.46,2.89,Compound,None,,,80,1.15,0.1,3.07,2.42,Compound,None,,
9,6.53,0,2.24,0.42,Compound,None,,,33,2.93,0,17.08,6.33,Compound,None,,,57,2.2,0,2.11,0.26,Compound,Weak,,,81,1.13,0,2.45,0.24,Artifact,Weak,,
10,6.52,0.1,1.68,2.48,Compound,None,,,34,2.77,0,20.28,8.86,Compound,None,,,58,2.19,0,2.53,1.58,Compound,None,,,82,1.11,0,1.71,0.4,Impurity,None,,
11,6.28,0,0.63,0.05,Artifact,Weak,,,35,2.7,0,0.72,0.07,Artifact,Weak,,,59,2.18,0,1.33,0.24,Compound,None,,,83,1.08,0,1.45,0.34,Impurity,None,,
12,5.26,0,6.63,0.46,Impurity,Weak,,,36,2.68,0.1,1.52,1.61,Solvent,Weak + C13_Sat,,,60,2.04,0,10.72,2.39,Compound,None,,,84,1.06,0,1.95,0.55,Compound,None,,
13,5.22,0,3.82,0.4,Artifact,Weak,,,37,2.67,0.3,2.12,8.29,Solvent,Weak + C13_Sat,,,61,1.91,0.1,1.42,1.34,Compound,None,,,85,1.05,0.4,3.54,14.15,Compound,None,,
14,5.14,0,2.82,0.26,Artifact,Weak,,,38,2.67,0.4,1.87,9.42,Solvent,Weak + C13_Sat,,,62,1.87,0,27.45,3.42,Compound,None,,,86,1.03,0.4,4.07,20.94,Compound,None,,
15,4.32,0,2.77,0.34,Impurity,Weak,,,39,2.66,0.3,1.88,6.8,Solvent,Weak + C13_Sat,,,63,1.54,0,2.64,0.84,Compound,None,,,87,1.02,0,1.91,0.49,Compound,None,,
16,4.31,0,1.7,0.37,Impurity,None,,,40,2.66,0.1,1.52,1.95,Solvent,Weak + C13_Sat,,,64,1.52,0.1,9,6.73,Compound,None,,,88,1,0,2.46,0.65,Impurity,None,,
17,4.29,0,2.24,0.19,Artifact,Weak,,,41,2.57,0,30.41,10.33,Artifact,Weak,,,65,1.5,0,4.39,2.73,Compound,None,,,89,0.89,0,2.55,0.31,Impurity,None,,
18,4.02,0,19.73,4.37,Compound,None,,,42,2.52,0.1,1.08,1.08,Artifact,Weak,,,66,1.49,0,6.21,2.88,Compound,None,,,90,0.86,0,3.32,1.74,Compound,None,,
19,3.97,0,1.15,0.13,Impurity,Weak,,,43,2.51,18.9,1.46,296.86,Solvent,None,,,67,1.47,0,1.26,0.12,Artifact,Weak,,,91,0.85,0.1,32.89,30.87,Compound,None,,
20,3.95,0,9.82,3.31,Compound,None,,,44,2.5,52.7,1.92,1308.81,Solvent,None,,,68,1.35,0.2,2.1,4.17,Compound,None,,,92,0.85,0,2.34,0.58,Compound,None,,
21,3.57,0,1.4,0.16,Artifact,Weak,,,45,2.5,80.4,2.07,2182.97,Solvent,None,,,69,1.33,0,37.03,15.29,Compound,None,,,93,0.07,0,2.01,1.09,Compound,None,,
22,3.54,0,2.41,0.26,Artifact,Weak,,,46,2.5,49.2,1.75,1085.8,Solvent,None,,,70,1.3,0,1.99,0.25,Impurity,None,,,94,-2.93,0,0.6,0.05,Artifact,Weak,,
23,3.51,0.6,2.69,20.73,Compound,None,,,47,2.49,19.5,1.65,344.74,Solvent,None,,,71,1.3,0,2.25,0.17,Impurity,Weak,,,,,,,,,,,
24,3.49,0,145.67,101.72,Artifact,Weak,,,48,2.34,0.1,1.63,1.86,Solvent,Weak + C13_Sat,,,72,1.28,0,1.9,0.33,Compound,None,,,,,,,,,,,
