,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.29,0,0.49,0.03,Artifact,Weak,,,27,3.45,0,4.27,1.87,Artifact,Weak,,,53,2.32,0.3,1.56,5.68,Solvent,Weak + C13_Sat,,,79,1.15,0.1,3.31,2.11,Compound,None,,
2,14.79,0,0.82,0.06,Artifact,Weak,,,28,3.43,0,3.45,0.25,Artifact,Weak,,,54,2.32,0.1,1.47,2.04,Solvent,Weak + C13_Sat,,,80,1.12,0,0.63,0.05,Impurity,Weak,,
3,10.23,0,0.61,0.03,Artifact,Weak,,,29,3.42,0,2.92,1.01,Artifact,Weak,,,55,2.23,0,2.2,1.08,Compound,None,,,81,1.11,0,1.99,0.26,Impurity,Weak,,
4,10.2,0,0.91,0.13,Impurity,Weak,,,30,3.42,0.1,4.6,3.35,Artifact,Weak,,,56,2.21,0.1,2.43,2.2,Compound,None,,,82,1.09,0,1.98,0.12,Artifact,Weak,,
5,9.45,0,0.75,0.05,Artifact,Weak,,,31,3.41,0,4.4,1.96,Artifact,Weak,,,57,2.2,0,2.47,0.25,Compound,None,,,83,1.07,0,0.96,0.13,Compound,Weak,,
6,7.77,0,1,0.06,Artifact,Weak,,,32,3.39,0,19.84,0.99,Artifact,Weak,,,58,2.19,0,1.96,0.88,Compound,None,,,84,1.06,0,12.57,1.52,Compound,None,,
7,7.39,0,0.77,0.05,Artifact,Weak,,,33,3.24,0,7.17,0.53,Artifact,Weak,,,59,2.18,0,2.99,0.28,Compound,None,,,85,1.05,0,1.55,0.54,Compound,None,,
8,7.25,0,1.73,0.09,Artifact,Weak,,,34,2.92,0,21.65,3.07,Compound,None,,,60,2.04,0,2.52,0.58,Impurity,None,,,86,1.05,0.3,3.28,12.49,Compound,None,,
9,6.8,0,0.94,0.1,Impurity,Weak,,,35,2.79,0,2.82,0.53,Compound,None,,,61,1.91,0.1,1.2,1.13,Compound,None,,,87,1.03,0.4,4.42,19.15,Compound,None,,
10,6.53,0.1,1.4,1.8,Compound,None,,,36,2.77,0,8.02,3.52,Compound,None,,,62,1.87,0,27.43,3.25,Compound,None,,,88,1.02,0,2.02,1.08,Compound,None,,
11,6.52,0.6,1.34,9.8,Compound,None,,,37,2.75,0,2.8,0.58,Compound,None,,,63,1.54,0,2.42,0.29,Impurity,None,,,89,1,0,2.75,0.96,Compound,None,,
12,6.29,0,1.7,0.16,Artifact,Weak,,,38,2.68,0.1,1.3,1.47,Solvent,Weak + C13_Sat,,,64,1.52,0,9.36,6.65,Compound,None,,,90,0.98,0,1.02,0.07,Impurity,Weak,,
13,5.74,0,4.12,0.77,Compound,None,,,39,2.67,0.3,1.9,7.88,Solvent,Weak + C13_Sat,,,65,1.5,0,2.66,1.13,Compound,None,,,91,0.89,0,3.96,0.66,Compound,None,,
14,5.22,0,2.53,0.22,Impurity,Weak,,,40,2.67,0.4,1.72,9.49,Solvent,Weak + C13_Sat,,,66,1.5,0,2.6,0.72,Compound,None,,,92,0.86,0,12.31,8.37,Compound,None,,
15,4.49,0,7.95,0.56,Artifact,Weak,,,41,2.66,0.3,1.72,6.47,Solvent,Weak + C13_Sat,,,67,1.49,0,3.96,1.56,Compound,None,,,93,0.85,0,1.41,0.46,Compound,None,,
16,4.31,0,3.31,0.33,Impurity,Weak,,,42,2.66,0.1,1.41,1.79,Solvent,Weak + C13_Sat,,,68,1.47,0,1.72,0.22,Impurity,Weak,,,94,0.85,0,2.88,0.63,Compound,None,,
17,4.03,0,17.23,2.18,Compound,None,,,43,2.63,0,16.18,3.03,Compound,None,,,69,1.35,0,2.52,0.4,Impurity,None,,,95,0.84,0,3.69,1.09,Compound,None,,
18,3.95,0,9.88,2,Compound,None,,,44,2.52,0.1,1.06,1.67,Artifact,Weak,,,70,1.32,0,2.95,0.52,Compound,None,,,96,0.13,0,0.99,0.21,Impurity,None,,
19,3.67,0,3.38,0.32,Artifact,Weak,,,45,2.51,20.4,1.39,297.31,Solvent,None,,,71,1.3,0,4.45,1,Compound,None,,,97,0.09,0,1.51,0.17,Compound,None,,
20,3.65,0,1.73,0.2,Impurity,Weak,,,46,2.5,57.2,1.73,1294.52,Solvent,None,,,72,1.28,0,3.09,0.37,Compound,None,,,98,0.08,0.3,1.01,3.57,Compound,None,,
21,3.58,0,1.3,0.12,Artifact,Weak,,,47,2.5,79.4,1.73,1718.69,Solvent,None,,,73,1.26,0,7.33,4.32,Compound,None,,,99,0.07,0,1.12,0.07,Artifact,Weak,,
22,3.57,0,1.18,0.21,Artifact,Weak,,,48,2.5,56.5,1.69,1221.29,Solvent,None,,,74,1.24,0.1,4.34,7.81,Compound,None,,,100,0.07,0,1.44,0.45,Compound,None,,
23,3.55,0,11.4,3.57,Artifact,Weak,,,49,2.49,20.7,1.37,307.88,Solvent,None,,,75,1.23,0.2,3.22,7.5,Compound,None,,,101,0.06,0,1.78,0.24,Compound,None,,
24,3.51,0.5,2.71,16.54,Compound,None,,,50,2.34,0.1,1.31,1.75,Solvent,Weak + C13_Sat,,,76,1.19,0,1.66,0.88,Compound,None,,,,,,,,,,,
25,3.48,0.1,12.41,9.42,Artifact,Weak,,,51,2.33,0.3,1.84,6.73,Solvent,Weak + C13_Sat,,,77,1.17,0,1.81,0.17,Compound,Weak,,,,,,,,,,,
26,3.46,0,1.08,0.11,Artifact,Weak,,,52,2.33,0.4,1.73,9.88,Solvent,Weak + C13_Sat,,,78,1.16,0,2.62,0.57,Compound,None,,,,,,,,,,,
