,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.72,0,1.09,0.11,Artifact,Weak,,,30,4.56,0,4.32,0.56,Compound,None,,,59,3.42,0.1,2.23,3.83,Artifact,Weak,,,88,2.21,0.1,2.24,1.94,Impurity,None,,,117,1.16,0.1,1.79,1.54,Compound,None,,
2,10.2,0,1.34,0.48,Impurity,Weak,,,31,4.45,0,15.35,6.84,Compound,None,,,60,3.4,0.2,3.6,8.15,Artifact,Weak,,,89,2.2,0,6.97,0.7,Artifact,Weak,,,118,1.16,0.1,2.54,2.55,Compound,None,,
3,9.65,0,1.37,0.14,Artifact,Weak,,,32,4.41,0,11.29,1.96,Impurity,None,,,61,3.25,0.1,85.13,96.02,Artifact,Weak,,,90,2.19,0,3.17,1.46,Impurity,None,,,119,1.14,0.1,2.5,3.63,Compound,None,,
4,9.59,0,1.27,0.14,Artifact,Weak,,,33,4.38,0,2.24,0.14,Artifact,Weak,,,62,3.23,0,1.75,0.27,Artifact,Weak,,,91,2.18,0,1.96,0.94,Impurity,None,,,120,1.12,0,2.67,1.48,Impurity,None,,
5,9.31,0,0.67,0.08,Artifact,Weak,,,34,4.36,0.1,2.01,1.63,Compound,None,,,63,3.22,0,2.49,0.24,Artifact,Weak,,,92,2.16,0,2.98,0.49,Impurity,Weak,,,121,1.08,0,2.53,0.55,Compound,Weak,,
6,8.14,0,3.26,0.52,Impurity,Weak,,,35,4.35,0.1,1.95,3.01,Compound,None,,,64,2.95,0,7.13,0.87,Artifact,Weak,,,93,2.13,0,1.11,0.17,Impurity,Weak,,,122,1.07,0.3,1.3,3.9,Compound,None,,
7,7.75,0,12.26,1.49,Artifact,Weak,,,36,4.33,0.1,2.05,1.58,Compound,None,,,65,2.68,0.1,1.53,1.53,Solvent,Weak + C13_Sat,,,94,2.12,0,1.2,0.15,Impurity,Weak,,,123,1.05,0.5,1.23,5.99,Compound,None,,
8,7.51,0,10.5,1.11,Artifact,Weak,,,37,4.21,0,2.58,0.6,Compound,None,,,66,2.67,0.3,1.92,6.65,Solvent,Weak + C13_Sat,,,95,2.08,0,1.36,0.2,Impurity,Weak,,,124,1.04,1.5,3.71,62.57,Compound,None,,
9,7.22,0.1,27.09,20.76,Compound,None,,,38,4.2,0,7.62,2.15,Compound,None,,,67,2.67,0.4,2,11.02,Solvent,Weak + C13_Sat,,,96,2.04,0,2.72,1.47,Impurity,None,,,125,1.04,0.2,1.54,4.12,Compound,None,,
10,7.22,0.1,14.68,14.02,Compound,None,,,39,4.13,0,12.44,2.5,Compound,None,,,68,2.66,0.3,1.91,6.8,Solvent,Weak + C13_Sat,,,97,2.01,0,4.56,0.5,Impurity,Weak,,,126,1.03,1.6,4.19,81.87,Compound,None,,
11,7.17,0,2.6,0.34,Impurity,Weak,,,40,4.09,0,12.18,0.97,Artifact,Weak,,,69,2.66,0.1,1.64,2.07,Solvent,Weak + C13_Sat,,,98,1.95,0,2.03,0.28,Impurity,Weak,,,127,1.02,0.2,3.47,10.29,Compound,None,,
12,7.15,0,2.57,0.48,Impurity,Weak,,,41,4.03,0,1.25,0.08,Artifact,Weak,,,70,2.53,0.4,51.2,255.02,Artifact,Weak,,,99,1.91,0.1,1.41,1.97,Impurity,None,,,128,1,0.2,3.39,9.15,Compound,None,,
13,7.09,0.1,19.69,36.01,Compound,None,,,42,3.86,0.1,134.54,86.67,Compound,None,,,71,2.52,0.1,1.06,1.34,Artifact,Weak,,,100,1.87,0,40.43,15.51,Compound,None,,,129,0.98,0,1.25,0.26,Artifact,Weak,,
14,6.99,0,16.14,4.79,Compound,None,,,43,3.82,0,1.49,0.6,Impurity,None,,,72,2.51,18.1,1.43,251.24,Solvent,None,,,101,1.69,0,0.49,0.04,Artifact,Weak,,,130,0.96,0,1.14,0.16,Artifact,Weak,,
15,6.98,0,4.42,0.66,Compound,Weak,,,44,3.75,0,0.57,0.04,Artifact,Weak,,,73,2.5,53.8,1.91,1251.9,Solvent,None,,,102,1.54,0.1,22.5,25.57,Compound,None,,,131,0.87,0,4.34,1.73,Compound,None,,
16,6.96,0.1,10.38,11.7,Compound,None,,,45,3.64,0,1.84,0.32,Artifact,Weak,,,74,2.5,77.7,1.75,1687.92,Solvent,None,,,103,1.52,0,1.22,0.21,Impurity,Weak,,,132,0.86,0,2.28,0.34,Impurity,Weak,,
17,6.82,0,18.46,4.75,Compound,None,,,46,3.57,0,1.73,0.9,Impurity,Weak,,,75,2.5,56.5,1.92,1360.05,Solvent,None,,,104,1.52,0,3.96,1.37,Compound,None,,,133,0.85,0,2.48,1.08,Compound,None,,
