,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
,,,,,,,,,64,1.24,1178.5,4.61,69951.17,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,65,1.23,2556.4,3.58,121545.09,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66,1.22,131.3,0.97,1681.24,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,67,1.22,228.6,7.41,21690.01,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,1.18,374.2,1.44,6446.05,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,69,1.16,247.3,2.37,6013.57,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,70,1.16,160.5,1.65,3112.83,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,71,1.14,672.2,3.27,28139.34,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,1.13,417.3,81.91,338668.9,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,73,1.12,168.7,2.56,5114.81,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,74,1.11,126.7,2.93,5382.18,Compound,None,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75,1.11,163.4,0.85,1796.03,Compound,None,,,,,,,,,,,,,,,,,,,,
