,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.23,0,1,0.08,Artifact,Weak,,,27,3.46,0.1,3.02,2.54,Artifact,Weak,,,53,2.33,0.2,1.96,5.87,Solvent,Weak + C13_Sat,,,79,1.38,0,5.77,3.29,Compound,None,,
2,10.2,0,1.86,0.23,Impurity,Weak,,,28,3.44,0.2,4.25,7.96,Artifact,Weak,,,54,2.33,0.4,2.07,11.38,Solvent,Weak + C13_Sat,,,80,1.32,0,3.82,1.56,Compound,None,,
3,8.13,0,2.69,0.2,Artifact,Weak,,,29,3.42,0.1,3.16,5.21,Artifact,Weak,,,55,2.32,0.3,1.9,7.39,Solvent,Weak + C13_Sat,,,81,1.3,0,2.37,0.4,Compound,None,,
4,8.13,0,0.62,0.06,Impurity,Weak,,,30,3.42,0.2,3.25,6.43,Artifact,Weak,,,56,2.32,0.1,1.92,3.49,Solvent,Weak + C13_Sat,,,82,1.24,0.4,7.4,40.35,Compound,None,,
5,7.62,0,41.05,10.37,Compound,None,,,31,3.41,0.1,5.18,7.69,Artifact,Weak,,,57,2.3,0,3.1,0.61,Compound,None,,,83,1.23,0.2,3.82,7.67,Compound,None,,
6,7.22,0.2,10.1,24.01,Compound,None,,,32,3.39,0,159.8,54.58,Artifact,Weak,,,58,2.28,0,12.13,6.98,Compound,None,,,84,1.18,0,2.56,0.25,Compound,Weak + C13_Sat,,
7,7.09,0.2,11.14,26.76,Compound,None,,,33,3.24,0,3.06,0.22,Artifact,Weak,,,59,2.23,0,2.38,1.26,Compound,None,,,85,1.14,0,4.03,2.15,Compound,None,,
8,6.98,0,16.85,7.59,Compound,None,,,34,3.23,0,3.22,0.5,Artifact,Weak,,,60,2.21,0.1,2.58,2.96,Compound,None,,,86,1.07,0,1.02,0.26,Artifact,Weak,,
9,6.96,0.2,9.19,18.09,Compound,None,,,35,3.21,0,2.67,0.72,Artifact,Weak,,,61,2.2,0,1.1,0.1,Artifact,Weak,,,87,1.04,1.4,4.16,67.7,Compound,None,,
10,6.79,0,0.81,0.07,Artifact,Weak,,,36,3.2,0,4.58,0.9,Artifact,Weak,,,62,2.19,0,2.59,1.74,Compound,None,,,88,1.03,1.4,4.08,67.43,Compound,None,,
11,6.52,0.1,2.24,1.95,Compound,None,,,37,3.19,0,1.52,0.2,Artifact,Weak,,,63,2.18,0,3.35,0.58,Compound,None,,,89,1.01,0.2,3.14,6.64,Compound,None,,
