,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.54,0,0.52,0.05,Artifact,Weak,,,29,2.93,0,17.23,4.83,Compound,None,,,57,1.5,0,4.99,3.37,Compound,None,,
2,10.42,0,1.36,0.11,Artifact,Weak,,,30,2.77,0,21.14,8.68,Compound,None,,,58,1.49,0,5.13,1.62,Compound,None,,
3,7.64,0,75.4,12.2,Compound,None,,,31,2.68,0.1,1.58,1.59,Solvent,Weak + C13_Sat,,,59,1.47,0,1.78,0.19,Artifact,Weak,,
4,7.22,0.1,16.24,11.47,Compound,None,,,32,2.67,0.3,2.32,8.34,Solvent,Weak + C13_Sat,,,60,1.35,0,2.59,0.78,Compound,None,,
5,7.1,0.1,18.71,14.27,Compound,None,,,33,2.67,0.4,2.26,11.9,Solvent,Weak + C13_Sat,,,61,1.34,0,6.34,0.8,Compound,None,,
6,7.08,0,6.74,0.95,Impurity,None,,,34,2.66,0.3,2.14,6.78,Solvent,Weak + C13_Sat,,,62,1.32,0,3.52,0.5,Compound,None,,
7,6.99,0,20.49,3.15,Compound,None,,,35,2.66,0.1,1.56,1.69,Solvent,Weak + C13_Sat,,,63,1.3,0,4.22,1.1,Compound,None,,
8,6.97,0,11.26,3.55,Compound,None,,,36,2.63,0,59.73,21.05,Artifact,Weak,,,64,1.28,0,1.89,0.37,Impurity,None,,
9,6.97,0,10.13,3,Compound,None,,,37,2.58,0.1,101.51,190.92,Artifact,Weak,,,65,1.24,0.1,10.71,20.34,Compound,None,,
10,6.96,0,5.88,1.38,Compound,None,,,38,2.51,20.9,1.86,478.91,Solvent,None,,,66,1.23,0.2,3.04,7.41,Compound,None,,
11,6.53,0,2.73,0.22,Artifact,Weak,,,39,2.5,52.1,2.09,1390.38,Solvent,None,,,67,1.22,0,1.04,0.07,Artifact,Weak,,
12,6.52,0.1,2.02,1.84,Compound,None,,,40,2.5,76.2,2.12,2022.36,Solvent,None,,,68,1.15,0.1,3.99,2.37,Compound,None,,
13,5.26,0,5.1,0.47,Artifact,Weak,,,41,2.5,50.9,2.05,1249.05,Solvent,None,,,69,1.11,0,1.69,0.7,Compound,None,,
14,5.12,0,1.44,0.15,Impurity,Weak,,,42,2.49,18.2,1.68,302.86,Solvent,None,,,70,1.08,0,1.8,0.45,Impurity,None,,
15,4.31,0,1.3,0.15,Artifact,Weak,,,43,2.43,0,1.61,0.22,Artifact,Weak,,,71,1.05,0.4,3.7,16.78,Compound,None,,
16,4.02,0,15.65,3.28,Compound,None,,,44,2.34,0.1,1.51,1.63,Solvent,Weak + C13_Sat,,,72,1.03,0.4,4.02,18.44,Compound,None,,
17,3.95,0,12.21,3.17,Compound,None,,,45,2.33,0.3,2.38,8.16,Solvent,Weak + C13_Sat,,,73,1.02,0,3.51,2.02,Compound,None,,
18,3.55,0,9,2.48,Compound,None,,,46,2.33,0.4,2.17,11.3,Solvent,Weak + C13_Sat,,,74,1,0,2.82,0.85,Compound,None,,
19,3.51,0.5,3.02,19.95,Compound,None,,,47,2.32,0.3,2.01,6.22,Solvent,Weak + C13_Sat,,,75,0.89,0,5.17,1.16,Compound,None,,
20,3.48,0.1,7.41,5.71,Artifact,Weak,,,48,2.32,0.1,1.78,1.95,Solvent,Weak + C13_Sat,,,76,0.87,0,9.23,3.27,Compound,None,,
21,3.46,0,2.01,0.34,Artifact,Weak,,,49,2.23,0,3.5,1.6,Compound,None,,,77,0.85,0,2.52,0.64,Compound,None,,
22,3.45,0,2.01,0.46,Artifact,Weak,,,50,2.21,0.1,2.51,2.61,Compound,None,,,78,0.85,0,5.39,1.78,Compound,None,,
23,3.45,0,3.8,2.12,Artifact,Weak,,,51,2.19,0,2.51,1.26,Compound,None,,,79,0.83,0,24.26,14.89,Compound,None,,
24,3.42,0.2,121.32,256.27,Artifact,Weak,,,52,2.18,0,1.17,0.12,Artifact,Weak,,,80,0.07,0.1,2.43,2.04,Compound,None,,
25,3.42,0.1,8.53,14.72,Artifact,Weak,,,53,2.08,0,2.7,0.25,Artifact,Weak,,,81,-0.09,0,2.37,0.19,Artifact,Weak,,
26,3.41,0.1,5.58,4,Artifact,Weak,,,54,1.91,0.1,1.59,1.38,Compound,None,,,82,-2.58,0,0.71,0.07,Artifact,Weak,,
27,3.39,0,5.06,2.63,Artifact,Weak,,,55,1.54,0,4.09,0.95,Compound,None,,,,,,,,,,,
28,3.38,0.3,30.24,76.12,Artifact,Weak,,,56,1.52,0.1,6.72,4.91,Compound,None,,,,,,,,,,,
