,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.89,68.8,1.25,994.85,Artifact,Weak,,,40,6.1,83.3,1.89,1483.68,Impurity,Weak,,,,,,,,,,,,98,4.62,1996.3,2.45,64395.52,Compound,None,,,127,4.16,73.8,0.61,578.58,Impurity,Weak,,,156,2.01,176.8,3.42,8060.47,Compound,None,,,185,1.2,61.2,7.46,6336.01,Artifact,Weak,,,214,0.81,935.6,9.39,118713.61,Compound,None,,
12,7.87,56.9,1.28,731.69,Artifact,Weak,,,41,6.09,168.6,1.93,4006.58,Impurity,None,,,,,,,,,,,,99,4.61,1921.3,2.32,57330.07,Compound,None,,,128,4.13,207.9,2.71,6150.12,Compound,None,,,157,2,151.8,1.69,3744.67,Compound,None,,,186,1.16,77.6,1.61,1460.6,Compound,Weak,,,215,0.8,412.2,8.63,51819.82,Compound,None,,
13,7.69,93.8,2.87,3455.45,Impurity,Weak,,,42,5.81,59.2,1.12,911.42,Artifact,Weak,,,,,,,,,,,,100,4.59,1955.9,1.96,49167.62,Compound,None,,,129,4.13,100.4,2.82,2666.69,Compound,None,,,158,1.98,62.2,0.86,768.97,Artifact,Weak,,,187,1.14,509.2,3.55,22703.85,Compound,None,,,216,0.79,259.7,1.66,5879.93,Compound,None,,
14,7.22,970.1,28.47,339245.84,Compound,None,,,43,5.78,140.4,3.46,7064.92,Compound,None,,,,,,,,,,,,101,4.57,2046.8,2.08,52737.96,Compound,None,,,130,4.12,257.1,2.85,9521.38,Compound,None,,,159,1.91,9222.4,0.95,102329.92,Compound,None,,,188,1.12,116.3,1.59,1990.35,Compound,Weak,,,217,0.78,318.2,1.9,8507.81,Compound,None,,
15,7.1,477.9,57.65,309465.14,Compound,None,,,44,5.77,77.3,1.48,1666.46,Compound,None,,,,,,,,,,,,102,4.56,113,1.91,2069.82,Compound,Weak,,,131,4.1,111.8,1.47,2291.59,Compound,None,,,160,1.89,95.1,31.22,27932.77,Compound,None,,,189,1.11,1714,0.96,21804.73,Compound,None,,,218,0.78,142.5,1.56,2464.18,Compound,None,,
16,7.1,740.1,25.28,232100.74,Compound,None,,,45,5.75,108.6,4.52,6626.18,Compound,None,,,,,,,,,,,,103,4.53,60.7,1.89,1653.43,Artifact,Weak,,,132,2.29,537,2.32,16205.25,Compound,None,,,161,1.84,186.9,14.13,37963.26,Compound,None,,,190,1.1,218.5,3.82,12170.52,Compound,None,,,219,0.77,90.2,2.35,2465.65,Compound,Weak,,
17,6.98,933.4,27.07,296751.1,Compound,None,,,46,5.71,70.6,0.96,960.86,Artifact,Weak,,,,,,,,,,,,104,4.49,314.4,4.63,19708.57,Compound,None,,,133,2.28,256.7,1.58,5178.9,Compound,None,,,162,1.82,251.7,1.84,6649.69,Compound,None,,,191,1.09,2108.9,1.19,32239.78,Compound,None,,,220,0.76,320.5,2.83,12259.06,Compound,None,,
18,6.83,148.1,2.37,5112.63,Compound,None,,,47,5.45,66.8,12.5,9714.12,Artifact,Weak,,,,,,,,,,,,105,4.48,1576.5,2.2,43268.29,Compound,None,,,134,2.28,690.7,1.52,13718.04,Compound,None,,,163,1.81,116.1,1.67,2756.59,Compound,None,,,192,1.07,1825.1,1.16,25594.14,Compound,None,,,221,0.75,90.7,2.02,1763.14,Compound,Weak,,
19,6.82,159.6,1.97,4576.6,Compound,None,,,48,5.44,71.6,1.86,1296.76,Artifact,Weak,,,,,,,,,,,,106,4.47,3068,2.32,90735.65,Compound,None,,,135,2.27,341.3,2.35,10399.65,Compound,None,,,164,1.77,318.4,1.41,5581.49,Compound,None,,,193,1.07,5050.4,0.93,60796.7,Compound,None,,,222,0.75,78.8,1.24,1251.2,Compound,Weak,,
20,6.7,71,1.12,983.79,Artifact,Weak,,,49,5.43,87.3,1.4,1774.23,Compound,None,,,,,,,,,,,,107,4.45,1493.3,2.2,42463.09,Compound,None,,,136,2.26,113,1.33,2072.47,Compound,Weak,,,165,1.77,270.1,1.22,4008.24,Compound,None,,,194,1.06,216.1,2.47,7791.86,Compound,None,,,223,0.74,228.6,2.85,9184.17,Compound,None,,
