"Mass","C","H","O","N","S","P","El_comp","Class_old","Class","AImod","NOSC","HC","OC","formula_c","formula_h","formula_o","formula_n","formula_s","formula_p","formula"
276.10054284609,11,20,5,1,0,1,"CHONP","Protein","aliphatic+N",-0.2308,-0.6364,1.82,0.45,"C11","H20","O5","N1",NA,"P1","C11H20O5N1P1"
276.12010527565,10,19,6,3,0,0,"CHON","AminoSugar","aliphatic+N",-0.75,0.2,1.9,0.6,"C10","H19","O6","N3",NA,NA,"C10H19O6N3"
276.175079223933,12,27,2,3,1,0,"CHONS","Lipid","saturated",-0.5714,-1,2.25,0.17,"C12","H27","O2","N3","S1",NA,"C12H27O2N3S1"
277.030383677385,10,15,5,0,1,1,"CHOSP","Protein","unsaturated aliphatic",-0.0909,-0.3,1.5,0.5,"C10","H15","O5",NA,"S1","P1","C10H15O5S1P1"
277.035352606697,13,10,7,0,0,0,"CHO","ConHC","aromatic",0.5789,0.3077,0.77,0.54,"C13","H10","O7",NA,NA,NA,"C13H10O7"
277.07175609709,14,14,6,0,0,0,"CHO","Lignin","unsaturated/lignin",0.4545,-0.1429,1,0.43,"C14","H14","O6",NA,NA,NA,"C14H14O6"
277.108134864556,15,18,5,0,0,0,"CHO","Lignin","unsaturated/lignin",0.36,-0.5333,1.2,0.33,"C15","H18","O5",NA,NA,NA,"C15H18O5"
277.144526866366,16,22,4,0,0,0,"CHO","Lignin","unsaturated/lignin",0.2857,-0.875,1.38,0.25,"C16","H22","O4",NA,NA,NA,"C16H22O4"
277.180856443564,17,26,3,0,0,0,"CHO","Lipid","unsaturated aliphatic",0.2258,-1.1765,1.53,0.18,"C17","H26","O3",NA,NA,NA,"C17H26O3"
277.925213992363,9,2,2,3,2,1,"CHONSP","ConHC","condensed aromatic",2,1.6667,0.22,0.22,"C9","H2","O2","N3","S2","P1","C9H2O2N3S2P1"
277.949561687901,10,2,7,1,0,1,"CHONP","ConHC","condensed aromatic",1.2222,1.5,0.2,0.7,"C10","H2","O7","N1",NA,"P1","C10H2O7N1P1"
277.974713117271,7,11,1,3,2,2,"CHONSP","Lipid","condensed aromatic",5,0.5714,1.57,0.14,"C7","H11","O1","N3","S2","P2","C7H11O1N3S2P2"
278.150985407897,14,21,3,3,0,0,"CHON","Lipid","aliphatic+N",0.1579,-0.4286,1.5,0.21,"C14","H21","O3","N3",NA,NA,"C14H21O3N3"
278.966772385311,7,9,4,2,2,1,"CHONSP","Lignin","unsaturated/lignin",-Inf,1.2857,1.29,0.57,"C7","H9","O4","N2","S2","P1","C7H9O4N2S2P1"
279.014628330916,12,8,8,0,0,0,"CHO","ConHC","aromatic",0.625,0.6667,0.67,0.67,"C12","H8","O8",NA,NA,NA,"C12H8O8"
279.050994974185,13,12,7,0,0,0,"CHO","Lignin","unsaturated/lignin",0.4737,0.1538,0.92,0.54,"C13","H12","O7",NA,NA,NA,"C13H12O7"
279.087375577583,14,16,6,0,0,0,"CHO","Lignin","unsaturated/lignin",0.3636,-0.2857,1.14,0.43,"C14","H16","O6",NA,NA,NA,"C14H16O6"
279.123791042798,15,20,5,0,0,0,"CHO","Lignin","unsaturated/lignin",0.28,-0.6667,1.33,0.33,"C15","H20","O5",NA,NA,NA,"C15H20O5"
279.160283042907,16,24,4,0,0,0,"CHO","Lipid","unsaturated aliphatic",0.2143,-1,1.5,0.25,"C16","H24","O4",NA,NA,NA,"C16H24O4"
279.16353997121,13,28,4,0,1,0,"CHOS","Protein","saturated",-0.3,-1.3846,2.15,0.31,"C13","H28","O4",NA,"S1",NA,"C13H28O4S1"
279.175946707553,12,30,1,2,0,2,"CHONP","Other","saturated",-0.6,-1.8333,2.5,0.08,"C12","H30","O1","N2",NA,"P2","C12H30O1N2P2"
280.913801413775,10,3,4,0,2,1,"CHOSP","ConHC","condensed aromatic",1,0.9,0.3,0.4,"C10","H3","O4",NA,"S2","P1","C10H3O4S2P1"
280.916614361997,9,4,1,2,2,2,"CHONSP","ConHC","condensed aromatic",1.4,0.8889,0.44,0.11,"C9","H4","O1","N2","S2","P2","C9H4O1N2S2P2"
281.030298651836,12,10,8,0,0,0,"CHO","Tannin","unsaturated/lignin",0.5,0.5,0.83,0.67,"C12","H10","O8",NA,NA,NA,"C12H10O8"
281.045678196588,16,10,5,0,0,0,"CHO","ConHC","condensed aromatic",0.7037,0,0.62,0.31,"C16","H10","O5",NA,NA,NA,"C16H10O5"
281.066651061134,13,14,7,0,0,0,"CHO","Lignin","unsaturated/lignin",0.3684,0,1.08,0.54,"C13","H14","O7",NA,NA,NA,"C13H14O7"
281.070015238901,10,18,7,0,1,0,"CHOS","Carb","unsaturated aliphatic",-0.4545,-0.2,1.8,0.7,"C10","H18","O7",NA,"S1",NA,"C10H18O7S1"
