"Core","treatment","texture","Core_assignment","Moisture_perc","sat_level","DryWt_g","Carbon_g"
95,"Wetting","SL","Soil_sand_dry_W",47.28,"5",29.91,1.66
96,"Drying","SL","Soil_sand_dry_D",47.42,"5",29.86,1.66
97,"Drying","SL","Soil_sand_dry_D",47.38,"5",29.82,1.65
98,"Drying","SL","Soil_sand_dry_D",47.24,"5",29.91,1.65
99,"Drying","SL","Soil_sand_dry_D",47.31,"5",29.89,1.66
100,"Drying","SL","Soil_sand_dry_D",47.39,"5",29.88,1.66
111,"Wetting","SCL","Soil_50_W",71.25,"35",30.05,2.51
112,"Wetting","SCL","Soil_50_W",71.21,"35",30.08,2.51
113,"Wetting","SCL","Soil_50_W",71.21,"35",30.11,2.51
114,"Wetting","SCL","Soil_50_W",71.21,"35",30.11,2.51
115,"Wetting","SCL","Soil_50_W",71.24,"35",30.15,2.51
116,"Drying","SCL","Soil_50_D",71.25,"35",29.84,2.49
117,"Drying","SCL","Soil_50_D",71.2,"35",29.97,2.5
118,"Drying","SCL","Soil_50_D",71.24,"35",30.08,2.51
119,"Drying","SCL","Soil_50_D",71.23,"35",30.07,2.51
120,"Drying","SCL","Soil_50_D",71.23,"35",30.03,2.5
121,"Wetting","SL","Soil_sand_50_W",47.37,"50",29.85,1.66
122,"Wetting","SL","Soil_sand_50_W",47.29,"50",29.92,1.66
123,"Wetting","SL","Soil_sand_50_W",47.35,"50",29.86,1.66
124,"Wetting","SL","Soil_sand_50_W",47.3,"50",29.83,1.65
125,"Wetting","SL","Soil_sand_50_W",47.32,"50",29.84,1.65
126,"Drying","SL","Soil_sand_50_D",47.38,"50",29.91,1.66
127,"Drying","SL","Soil_sand_50_D",47.28,"50",29.93,1.66
128,"Drying","SL","Soil_sand_50_D",47.36,"50",29.88,1.66
129,"Drying","SL","Soil_sand_50_D",47.24,"50",29.87,1.65
130,"Drying","SL","Soil_sand_50_D",47.28,"50",29.91,1.66
131,"FM","SCL","Soil_fm",71.23,,29.82,2.49
132,"FM","SCL","Soil_fm",71.22,,29.74,2.48
133,"FM","SCL","Soil_fm",71.25,,29.81,2.49
134,"FM","SCL","Soil_fm",71.23,,29.79,2.48
135,"FM","SCL","Soil_fm",71.23,,29.79,2.48
136,"FM","SL","Soil_sand_fm",47.31,,29.93,1.66
137,"FM","SL","Soil_sand_fm",47.32,,29.9,1.66
138,"FM","SL","Soil_sand_fm",47.4,,29.83,1.66
139,"FM","SL","Soil_sand_fm",47.4,,29.83,1.66
140,"FM","SL","Soil_sand_fm",47.29,,29.94,1.66
141,"Wetting","SCL","Soil_100_W",71.25,"75",29.77,2.48
142,"Wetting","SCL","Soil_100_W",71.23,"75",29.82,2.49
143,"Wetting","SCL","Soil_100_W",71.25,"75",29.77,2.48
144,"Wetting","SCL","Soil_100_W",71.21,"75",29.77,2.48
145,"Wetting","SCL","Soil_100_W",71.22,"75",29.81,2.49
146,"Drying","SCL","Soil_100_D",71.25,"75",29.81,2.49
147,"Drying","SCL","Soil_100_D",71.24,"75",29.76,2.48
148,"Drying","SCL","Soil_100_D",71.25,"75",29.77,2.48
149,"Drying","SCL","Soil_100_D",71.25,"75",29.81,2.49
150,"Drying","SCL","Soil_100_D",71.24,"75",29.8,2.49
